Pos;Sail #;Bow;Crew / Club;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;MR;Total;Net
86;CZE 130;;LAVICKY, Karel;25;7;11;19;37;-66;-41;38;13;14;8;8;16;3;-18;13;DNC (41);11;17;13;;419;253
87;ESP 1;;GRANDA ROQUE, Angel;9;31;31;BFD 41;-48;40;-46;35;-21;8;7;7;9;BFD (78);8;3;3;3;17;5;;450;257
88;JPN 11;;MAKOTO, Tomizawa;15;29;13;19;-36;-44;36;29;-37;18;6;6;7;8;-20;20;17;13;17;13;;403;266
89;POL 82;;MYSZKA, Piotr;15;21;15;5;-57;45;-49;40;14;-43;-26;26;19;1;14;22;5;13;5;7;;442;267
90;JPN 5;;IKEDA, Kensei;13;17;11;17;-49;-43;38;37;17;10;-45;-45;18;5;11;41;9;9;7;15;;457;275
91;ESP 3;;CARDONA BOCARANDO,;17;25;19;17;-57;-60;34;27;16;17;-34;-34;8;14;29;18;13;1;21;11;;472;287
92;ISR 8;;ELIMELECH , Ofek;DNC 41;23;31;BFD 41;-61;50;-59;16;8;4;14;14;4;20;1;17;1;-21;5;DNC (41);;472;290
93;ESP 339;;TOMAS CARDELL, Bernat;33;33;11;7;42;-61;-48;33;18;6;9;9;15;-35;-28;19;7;21;23;7;;465;293
94;ITA 345;;GAVIOLI, Jacopo;17;25;27;27;24;16;-48;-46;22;21;-29;-29;22;16;21;23;11;5;13;7;;449;297
95;ESP 100;;BORONAT SUAY, Jose Luis;15;17;13;23;60;-64;54;BFD (78);1;1;-27;27;6;18;9;-32;17;11;19;7;;499;298
96;ITA 333;;CAPPUZZO, Francesco;23;17;15;23;47;-62;-51;41;-27;-38;11;11;17;11;25;24;5;5;3;21;;477;299
97;NZL 35;;LIEFTING, Eli;13;BFD 41;DNC 41;BFD 41;51;-56;-52;22;-29;26;5;5;27;10;6;BFD (78);1;5;27;1;;537;322
98;NZL 27;;CROOK, Thomas;DNC 41;25;31;21;-76;-48;30;43;15;16;23;23;2;BFD (78);BFD (78);1;3;23;23;13;;613;333
99;ARU 31;;HOVELING, Malik;21;17;23;BFD (41);35;39;40;-41;-38;7;31;31;32;21;15;8;7;5;DNC (41);5;;498;337
100;POL 163;;ROMANOWSKI, Tomasz;17;37;17;23;29;-55;-45;37;3;-30;21;21;21;2;-30;25;25;25;23;19;;505;345
101;USA 11;;PASCUAL SUITT, Pedro;21;35;19;15;-52;-50;50;48;-32;22;22;22;-31;29;7;6;31;7;7;15;;521;356
102;DEN 444;;DIXEN, Alfred Tang;35;BFD 41;23;13;23;-67;21;-51;24;-48;42;42;10;-47;32;16;9;7;9;11;;571;358
103;HUN 77;;BORS, Máté;27;29;19;BFD 41;-48;-53;44;45;11;20;18;18;28;-44;19;-33;11;11;11;9;;539;361
104;KOR 153;;KIM, Chaneui;19;37;19;17;34;36;-39;-45;31;23;-44;44;34;9;BFD (78);28;17;7;5;15;;581;375
105;DEN 34;;DAMGAARD, Christoffer;37;27;17;BFD 41;-64;42;42;-48;-49;32;10;10;12;-56;12;5;21;9;37;29;;600;383
106;UKR 13;;TUGARYEV, Oleksandr;21;31;35;21;-39;38;35;-50;-53;12;-39;39;24;25;24;26;13;13;9;19;;566;385
107;HUN 196;;SANTA, Bence;21;13;19;27;-53;51;-62;51;-39;-41;17;17;38;24;34;31;17;11;13;9;;588;393
108;CYP 1;;CARIOLOU, Andreas;33;31;33;29;41;42;-58;-44;12;25;19;19;25;-39;37;-39;15;13;25;11;;590;410
109;KOR 248;;KANG, Hyeongjung;27;25;33;25;-66;58;52;-67;33;-42;16;16;20;12;BFD (78);27;23;19;19;19;;677;424
110;SVK 2;;KUBIN, Robert;DSQ 41;15;29;21;44;-48;-54;47;28;29;-40;-40;36;22;31;30;9;15;11;19;;609;427
111;FRA 997;;ALEXIS, Mathis;19;25;23;17;-54;30;-56;43;-66;-69;36;36;46;28;48;29;11;19;3;15;;673;428
112;USA 96;;TEMKO, Alexander;11;15;21;BFD (41);-36;18;36;RDG 30;6;28;35;35;DNF (78);DNF (78);DNF 78;DNF 78;5;7;9;17;;662;429
113;AUS 22;;JOYNER, Harry H;11;11;21;23;-68;-65;61;61;25;36;32;32;-47;-61;33;35;13;23;3;11;;672;431
114;AUS 674;;WINCHCOMBE, Caelin;31;25;23;11;-65;49;-59;46;-57;27;33;33;40;17;-41;37;11;25;7;35;;672;450
115;JPN 54;;KURAMOCHI , Daiya;29;25;27;25;-63;-57;57;50;19;31;43;43;BFD (78);-48;16;45;15;29;11;9;;720;474
116;ITA 155;;TOMASINI, Leonardo;21;29;27;11;-52;52;-53;38;40;39;-46;-46;29;37;36;34;13;31;15;23;;672;475
117;AUS 42;;JOYNER, Jack H G;35;21;29;19;DNF (78);DNF (78);DNF 78;DNF 78;35;24;12;12;-52;26;23;21;27;17;BFD (41);21;;727;478
118;POR 23;;ABREU, Tiago;23;15;27;25;45;47;-60;-53;-52;-54;28;28;43;6;43;46;15;25;DNC 41;23;;699;480
119;GRE 1;;KALPOGIANNAKIS ,;27;29;15;BFD 41;-71;49;41;-56;20;-49;-41;41;41;34;22;36;9;17;BFD 41;DNC 41;;721;504
120;ISR 253;;COHEN, Yoav;21;23;17;-27;-32;26;23;25;DNC (78);DNC (78);DNC 78;DNC 78;26;BFD 78;26;15;25;3;DNC 41;3;;723;508
121;JPN 60;;ANAMI, Tomonori;35;23;21;25;55;54;-62;RDG (57);26;33;-54;54;-60;33;39;38;21;27;13;17;;747;514
122;DOM 3;;PEREZ HULTS, Samuel;29;33;35;BFD 41;-58;54;47;-65;-45;35;24;24;23;31;BFD (78);42;35;19;19;29;;766;520
123;SGP 52;;OH, Elkan;29;27;25;17;47;-65;-55;54;51;-63;-52;52;37;36;40;47;19;35;5;25;;781;546
124;ESP 359;;RIUTORT GARCIA, Joan;23;19;33;17;56;-57;45;-61;44;57;-58;-58;39;27;42;52;25;21;21;27;;782;548
125;CZE 63;;DRDA, David;35;35;21;29;50;-60;-57;52;36;40;-53;-53;42;30;45;40;33;DNC 41;19;5;;776;553
126;FRA 307;;CHANTREL, Jules;25;29;29;27;60;-62;-63;58;34;-62;49;49;48;46;-54;44;19;17;23;21;;819;578
127;TUR 2094;;GÖKTEPE, Luis;31;19;23;31;-74;-68;60;57;-55;47;-51;51;35;42;44;51;29;27;11;27;;833;585
128;EST 28;;ROOLAHT, Renar;29;27;35;21;63;-71;-67;60;58;-72;20;20;-69;41;35;56;35;23;DNC 41;33;;876;597
129;CRO 75;;ANIC, Ian;25;27;35;13;-71;59;66;-71;-59;51;50;50;-68;38;50;53;23;31;27;9;;876;607
130;TUR 2004;;DERINLER, Dora;33;33;25;35;-72;55;-61;53;42;65;-67;-67;44;52;55;54;27;23;15;23;;901;634
131;LAT 29;;MAZAIS, Davis;19;BFD 41;29;19;-67;-68;67;57;47;55;-68;-68;54;50;62;48;21;33;15;21;;909;638
132;TUR 8911;;GIRITLIOGLU, Kerim;27;23;33;21;62;-63;-71;62;-68;-68;66;66;53;32;60;59;19;25;25;17;;920;650
133;TUR 9999;;ARSLAN, Batuhan;27;29;37;BFD 41;64;-72;-68;63;-65;53;-56;56;45;40;46;55;31;21;21;25;;915;654
134;DEN 234;;STORVANG, Kasper;37;17;29;35;-65;-69;63;59;-64;-58;47;47;58;53;38;43;29;DNC 41;29;31;;912;656
135;GER 204;;DITZEN, Jakob;33;31;31;31;46;59;-71;-65;-69;-70;60;60;64;51;51;64;19;31;9;31;;946;671
136;JPN 1151;;SAITO, Yugo;27;33;37;31;-74;-66;64;63;60;59;59;59;-61;45;49;-62;23;19;15;31;;937;674
137;DEN 84;;ELIASEN, Anders;31;33;37;BFD 41;55;-56;53;-56;30;37;37;37;DNF (78);43;DNF (78);DNF 78;DNC 41;DNC 41;DNC 41;DNC 41;;944;676
138;JPN 16;;KANAGAMI, Sota;31;37;39;37;54;61;-65;-70;56;50;-70;-70;49;64;57;68;21;17;13;25;;954;679
139;AUS 5225;;MARQUARDT, Jack;29;27;35;39;51;-67;-70;59;46;45;-64;64;50;60;47;DNF (78);33;15;DNC 41;DNS 41;;961;682
140;EST 143;;ROOLAHT, Romek;37;37;37;15;69;-73;-72;66;50;-71;48;48;-59;49;52;58;29;29;35;37;;971;696
141;ESP 995;;MANCHON, Curro;31;35;31;BFD 41;58;-75;-68;64;54;46;55;55;-63;DNF (78);61;50;33;27;25;31;;981;697
142;LAT 188;;DZIRNIEKS, Martins;33;37;33;BFD 41;59;-74;-65;64;62;44;38;38;-70;65;-67;49;31;DNC 41;BFD 41;29;;981;705
143;ESP 502;;COSTA HOEVEL, Santiago;31;29;19;33;56;-58;-58;RDG 57.33;48;34;RET (78);RET (78);RET 78;DNF 78;DNF 78;DNF 78;15;33;21;17;;977,33;705,33
144;FRA 20;;DESTOMBES, Clément;25;31;33;33;-75;-70;66;67;-71;60;65;65;55;54;56;-70;23;31;25;27;;1002;716
145;UKR 5;;MENDELENKO , Oleksandr;DNC 41;35;25;23;-70;70;-73;70;43;52;61;61;57;BFD (78);-69;60;27;37;33;25;;1010;720
146;BEL 250;;EVRARD, Cyril;35;35;37;31;-73;-63;56;62;61;-73;63;63;51;-67;64;66;27;33;29;29;;1018;742
147;TUR 1826;;TUNCER, Ali Berk;33;37;27;37;-67;-69;64;55;-67;67;57;57;-71;63;65;57;33;35;29;33;;1023;749
148;SGP 21;;LO, Jun Hao;35;39;33;BFD 41;72;-76;RDG 47.45;DNC (78);-70;61;-69;69;62;58;63;61;29;29;17;35;;1044,45;751,45
149;HUN 401;;KOSSOVICS, Mate;29;33;37;29;-77;-72;69;66;63;56;-73;73;BFD (78);62;58;63;25;27;31;33;;1054;754
150;AUT 53;;PETER, Theo;29;31;35;33;68;64;-74;-69;-75;66;62;62;66;57;53;-71;35;33;33;33;;1049;760
151;ITA 7355;;TARLAO, Zeno;31;37;31;25;70;-71;-72;68;-74;-75;74;74;65;59;59;65;31;15;27;35;;1058;766
152;EST 36;;MIK, Joonas;31;33;29;33;69;-74;-70;69;-73;-74;71;71;56;55;68;69;37;29;31;23;;1065;774
153;TUN 48;;GUEMBRI, Mehdi;33;21;25;35;-73;-75;69;68;-72;64;-72;72;67;66;66;67;37;DNC 41;27;27;;1077;785
154;ITA 9114;;LAURENZA, Michele;DNC 41;BFD 41;DNC 41;DNC 41;DNF (78);DNF (78);DNF 78;DNF 78;DNC (78);DNC (78);DNC 78;DNC 78;DNF 78;DNF 78;DNF 78;DNF 78;DNC 41;DNC 41;DNC 41;DNC 41;;1264;952
