Identificador,Nome Competição,Regata,Nome Competidor,Pontuação Regata (Nha),Classe Vela,Flag Name,Posição Geral,Pontuação Regata,Descarte,Punição,Flotilha,Total,Net,ID Competição
BENYAPA JANTAWAN - Kite Fem. - World Championship 2024,World Championship 2024,Q2,BENYAPA JANTAWAN,21.0-0-0,Kite Fem.,Silver,20,21.0,0,0,GERAL,393.0,393.0,
MARIJA DOLENC - Kite Fem. - World Championship 2024,World Championship 2024,Q2,MARIJA DOLENC,23.0-0-0,Kite Fem.,Silver,21,23.0,0,0,GERAL,413.0,413.0,
AIJA AMBRASA - Kite Fem. - World Championship 2024,World Championship 2024,Q2,AIJA AMBRASA,22.0-0-0,Kite Fem.,Silver,22,22.0,0,0,GERAL,412.0,412.0,
SOPHIE RENNIE - Kite Fem. - World Championship 2024,World Championship 2024,Q2,SOPHIE RENNIE,21.0-0-0,Kite Fem.,Silver,23,21.0,0,0,GERAL,412.0,412.0,
EMILIA KOSTI - Kite Fem. - World Championship 2024,World Championship 2024,Q2,EMILIA KOSTI,24.0-0-0,Kite Fem.,Silver,24,24.0,0,0,GERAL,441.0,441.0,
MARTYNA DAKOWICZ - Kite Fem. - World Championship 2024,World Championship 2024,Q2,MARTYNA DAKOWICZ,27.0-0-DNC,Kite Fem.,Silver,25,27.0,0,DNC,GERAL,450.0,450.0,
MAGDALENA WOYCIECHOWSKA - Kite Fem. - World Championship 2024,World Championship 2024,Q2,MAGDALENA WOYCIECHOWSKA,27.0-0-DNC,Kite Fem.,Silver,26,27.0,0,DNC,GERAL,513.0,513.0,
DERIN ATAKAN - Kite Fem. - World Championship 2024,World Championship 2024,Q3,DERIN ATAKAN,12.0-0-0,Kite Fem.,Silver,1,12.0,0,0,GERAL,162.0,162.0,
HELOISE PEGOURIE - Kite Fem. - World Championship 2024,World Championship 2024,Q3,HELOISE PEGOURIE,11.0-0-0,Kite Fem.,Silver,2,11.0,0,0,GERAL,165.0,165.0,
ZOE BOUTANG - Kite Fem. - World Championship 2024,World Championship 2024,Q3,ZOE BOUTANG,13.0-0-0,Kite Fem.,Silver,3,13.0,0,0,GERAL,189.0,189.0,
JUSTINA KITCHEN - Kite Fem. - World Championship 2024,World Championship 2024,Q3,JUSTINA KITCHEN,13.0-0-0,Kite Fem.,Silver,4,13.0,0,0,GERAL,207.0,207.0,
ALEXIA FANCELLI - Kite Fem. - World Championship 2024,World Championship 2024,Q3,ALEXIA FANCELLI,17.0-0-0,Kite Fem.,Silver,5,17.0,0,0,GERAL,204.0,204.0,
NOORA RUSKOLA - Kite Fem. - World Championship 2024,World Championship 2024,Q3,NOORA RUSKOLA,12.0-0-0,Kite Fem.,Silver,6,12.0,0,0,GERAL,204.0,204.0,
