Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
GOLANI Omer Boaz,,Ilca 7,120,O,30,,277.0,189.0,European Championship 2021,Q2
COCCOLUTO Giovanni,,Ilca 7,110,O,31,,278.0,190.0,European Championship 2021,Q2
SAMPAIO Santiago,,Ilca 7,150,O,32,,288.0,191.0,European Championship 2021,Q2
PLANCHESTAINER Gianmarco,,Ilca 7,220,O,33,,274.0,194.0,European Championship 2021,Q2
ABAY Berkay,,Ilca 7,210,O,34,,285.0,198.0,European Championship 2021,Q2
CITAK Yigit Yalcin,,Ilca 7,240,O,35,,309.0,199.0,European Championship 2021,Q2
PERONI Dimitri,,Ilca 7,270,O,36,,299.0,209.0,European Championship 2021,Q2
NAUJOCK Nico,,Ilca 7,170,O,37,,338.0,223.0,European Championship 2021,Q2
BENGTSON Emil,,Ilca 7,240,O,38,,353.0,235.0,European Championship 2021,Q2
BARTH Justin,,Ilca 7,30,O,39,,325.0,236.0,European Championship 2021,Q2
RODZIEWICZ Kuba,,Ilca 7,160,O,40,,327.0,239.0,European Championship 2021,Q2
PANAGIOTIDIS Anastasios,,Ilca 7,140,O,41,,330.0,250.0,European Championship 2021,Q2
TAPPER Aleksi,,Ilca 7,250,O,42,,350.0,259.0,European Championship 2021,Q2
GLYNN Liam,,Ilca 7,260,O,43,,363.0,267.0,European Championship 2021,Q2
KARK Wilhelm,,Ilca 7,280,O,44,,364.0,267.0,European Championship 2021,Q2
PAJARSKAS Martis,,Ilca 7,-480,O,45,,382.0,277.0,European Championship 2021,Q2
VAN OFWEGEN Thomas,,Ilca 7,230,O,46,,371.0,279.0,European Championship 2021,Q2
MATEUS Lourenco,,Ilca 7,290,O,47,,370.0,285.0,European Championship 2021,Q2
FARREN-PRICE Jacob,,Ilca 7,260,O,48,,402.0,289.0,European Championship 2021,Q2
MARKOVIC Ilija,,Ilca 7,-470,O,49,,404.0,301.0,European Championship 2021,Q2
UUSITALO Valtteri,,Ilca 7,(59.0 RET),P,1,,178.0,60.0,European Championship 2021,Q2
ROLAZ Nicolas,,Ilca 7,40.0,P,2,,183.0,93.0,European Championship 2021,Q2
HOFFMANN Julian,,Ilca 7,(46.0),P,3,,205.0,100.0,European Championship 2021,Q2
BOS Marnix,,Ilca 7,34.0,P,4,,187.0,113.0,European Championship 2021,Q2
WIERSEMA Willem,,Ilca 7,(45.0),P,5,,230.0,135.0,European Championship 2021,Q2
KRASODOMSKI Michal,,Ilca 7,(41.0),P,6,,216.0,139.0,European Championship 2021,Q2
VOETS Erik,,Ilca 7,(39.0),P,7,,221.0,146.0,European Championship 2021,Q2
PAULON Matteo,,Ilca 7,15.0,P,8,,267.0,149.0,European Championship 2021,Q2
LINDQVIST Ludde,,Ilca 7,27.0,P,9,,254.0,158.0,European Championship 2021,Q2
BARABINO Cesare,,Ilca 7,(40.0),P,10,,250.0,166.0,European Championship 2021,Q2
BHOGAL Krishan,,Ilca 7,34.0,P,11,,260.0,172.0,European Championship 2021,Q2
ALPKOCAK Umut,,Ilca 7,42.0,P,12,,289.0,181.0,European Championship 2021,Q2
MUSONE Giacomo,,Ilca 7,35.0,P,13,,285.0,184.0,European Championship 2021,Q2
MIDDELTHON Theodor,,Ilca 7,(49.0),P,14,,283.0,191.0,European Championship 2021,Q2
KLASEN Linus,,Ilca 7,(50.0),P,15,,302.0,193.0,European Championship 2021,Q2
WALKENBACH Philip,,Ilca 7,32.0,P,16,,283.0,197.0,European Championship 2021,Q2
BENHAROCH Maor,,Ilca 7,21.0,P,17,,278.0,197.0,European Championship 2021,Q2
MCMAHON Jamie,,Ilca 7,(53.0),P,18,,312.0,200.0,European Championship 2021,Q2
VERHULST Gauthier,,Ilca 7,25.0,P,19,,300.0,203.0,European Championship 2021,Q2
HALOUZKA Jakub,,Ilca 7,35.0,P,20,,312.0,207.0,European Championship 2021,Q2
CONRADI Tim,,Ilca 7,36.0,P,21,,308.0,209.0,European Championship 2021,Q2
BINKHORST Teun,,Ilca 7,(44.0),P,22,,312.0,221.0,European Championship 2021,Q2
FARLEY Arthur,,Ilca 7,39.0,P,23,,346.0,249.0,European Championship 2021,Q2
MALINOWSKI Piotr,,Ilca 7,37.0,P,24,,354.0,257.0,European Championship 2021,Q2
KRABBE-CHRISTENSEN Andreas,,Ilca 7,52.0,P,25,,377.0,266.0,European Championship 2021,Q2
DAHLBERG Otto,,Ilca 7,32.0,P,26,,371.0,267.0,European Championship 2021,Q2
PERCIVAL-COOKE James,,Ilca 7,46.0,P,27,,391.0,273.0,European Championship 2021,Q2
SILNY Mikolaj,,Ilca 7,42.0,P,28,,375.0,274.0,European Championship 2021,Q2
GUERRA Filippo,,Ilca 7,33.0,P,29,,374.0,278.0,European Championship 2021,Q2
CVINAR Alec,,Ilca 7,(51.0),P,30,,376.0,280.0,European Championship 2021,Q2
HOPKINS Jack,,Ilca 7,(50.0),P,31,,389.0,280.0,European Championship 2021,Q2
TODOROV Ivo,,Ilca 7,(47.0),P,32,,375.0,281.0,European Championship 2021,Q2
HAGLAND Olai,,Ilca 7,(54.0),P,33,,389.0,285.0,European Championship 2021,Q2
KUBBER Clemens,,Ilca 7,(53.0),P,34,,399.0,295.0,European Championship 2021,Q2
HEBEL Juliusz,,Ilca 7,49.0,P,35,,417.0,311.0,European Championship 2021,Q2
MADYTSKI Yauheni,,Ilca 7,30.0,P,36,,415.0,311.0,European Championship 2021,Q2
STRELCIUNAS Vejas,,Ilca 7,41.0,P,37,,426.0,321.0,European Championship 2021,Q2
HANEVIK August,,Ilca 7,(59.0 SCP),P,38,,440.0,329.0,European Championship 2021,Q2
PRIKRYL Benjamin,,Ilca 7,(54.0),P,39,,436.0,329.0,European Championship 2021,Q2
DEMIRCAN Doruk,,Ilca 7,48.0,P,40,,468.0,360.0,European Championship 2021,Q2
JANULIONIS Radvilas,,Ilca 7,44.0,P,41,,477.0,367.0,European Championship 2021,Q2
LINDEMARK Anders,,Ilca 7,51.0,P,42,,495.0,385.0,European Championship 2021,Q2
CHATZISTAMATIOU Aristotelis,,Ilca 7,(55.0),P,43,,498.0,389.0,European Championship 2021,Q2
ATANASOV Zlatko,,Ilca 7,55.0,P,44,,520.0,404.0,European Championship 2021,Q2
BOBOTAS Chris,,Ilca 7,52.0,P,45,,526.0,412.0,European Championship 2021,Q2
FILCHEV Ivo,,Ilca 7,56.0,P,46,,542.0,427.0,European Championship 2021,Q2
MLADENOV Hristo,,Ilca 7,57.0,P,47,,562.0,444.0,European Championship 2021,Q2
PENEV Martin,,Ilca 7,56.0,P,48,,568.0,450.0,European Championship 2021,Q2
ANASTASIADIS Dimitrios,,Ilca 7,57.0,P,49,,584.0,466.0,European Championship 2021,Q2
BECKETT Michael,,Ilca 7,4.0,O,1,,43.0,23.0,European Championship 2021,Q3
JURISIC Filip,,Ilca 7,5.0,O,2,,71.0,39.0,European Championship 2021,Q3
VADNAI Jonatan,,Ilca 7,2.0,O,3,,75.0,43.0,European Championship 2021,Q3
NIKOLAEV Maxim,,Ilca 7,3.0,O,4,,78.8,44.8,European Championship 2021,Q3
KONTIDES Pavlos,,Ilca 7,1.0,O,5,,72.0,47.0,European Championship 2021,Q3
CHIAVARINI Lorenzo Brando,,Ilca 7,4.0,O,6,,85.0,55.0,European Championship 2021,Q3
LYNCH Finn,,Ilca 7,3.0,O,7,,153.0,64.0,European Championship 2021,Q3
BOS Duko,,Ilca 7,9.0,O,8,,115.0,70.0,European Championship 2021,Q3
VAN LAER Wannes,,Ilca 7,7.0,O,9,,134.0,87.0,European Championship 2021,Q3
