,Position,Athlete,Nacionalidade,Regata,Pontuação Regata,Total,Net,Classe Vela,Nome Competição
139,7,"?ARGO, PALMA / WAYPOINT //",CRO,MR,7.0,182,108,IQFOIL FEM.,European Championship 2023
140,8,"WENNEKES, SARA / SEVERNE,",NED,1Q,2,152,99,IQFOIL FEM.,European Championship 2023
141,8,"WENNEKES, SARA / SEVERNE,",NED,2Q,1,152,99,IQFOIL FEM.,European Championship 2023
142,8,"WENNEKES, SARA / SEVERNE,",NED,3Q,2,152,99,IQFOIL FEM.,European Championship 2023
143,8,"WENNEKES, SARA / SEVERNE,",NED,4Q,1,152,99,IQFOIL FEM.,European Championship 2023
144,8,"WENNEKES, SARA / SEVERNE,",NED,5Q,2,152,99,IQFOIL FEM.,European Championship 2023
145,8,"WENNEKES, SARA / SEVERNE,",NED,6Q,-4,152,99,IQFOIL FEM.,European Championship 2023
146,8,"WENNEKES, SARA / SEVERNE,",NED,7Q,-11,152,99,IQFOIL FEM.,European Championship 2023
147,8,"WENNEKES, SARA / SEVERNE,",NED,8Q,3,152,99,IQFOIL FEM.,European Championship 2023
148,8,"WENNEKES, SARA / SEVERNE,",NED,9F,9,152,99,IQFOIL FEM.,European Championship 2023
149,8,"WENNEKES, SARA / SEVERNE,",NED,10F,3,152,99,IQFOIL FEM.,European Championship 2023
150,8,"WENNEKES, SARA / SEVERNE,",NED,11F,10,152,99,IQFOIL FEM.,European Championship 2023
151,8,"WENNEKES, SARA / SEVERNE,",NED,12F,11,152,99,IQFOIL FEM.,European Championship 2023
152,8,"WENNEKES, SARA / SEVERNE,",NED,13F,7,152,99,IQFOIL FEM.,European Championship 2023
153,8,"WENNEKES, SARA / SEVERNE,",NED,14F,9,152,99,IQFOIL FEM.,European Championship 2023
154,8,"WENNEKES, SARA / SEVERNE,",NED,15F,-17,152,99,IQFOIL FEM.,European Championship 2023
155,8,"WENNEKES, SARA / SEVERNE,",NED,16F,7,152,99,IQFOIL FEM.,European Championship 2023
156,8,"WENNEKES, SARA / SEVERNE,",NED,17F,-21,152,99,IQFOIL FEM.,European Championship 2023
157,8,"WENNEKES, SARA / SEVERNE,",NED,18F,16,152,99,IQFOIL FEM.,European Championship 2023
