Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,Total,Nett
130,KIRICHUK ILIA,2579,,29.0,17.0,27.0,(33.0),31.0,57.0,49.0,60.0,57.0,53.0,(68.0),(68.0),549.0,380.0
131,KUZEY OZTAS,2655,,27.0,23.0,(35.0),31.0,(68.0),53.0,51.0,(57.0),46.0,56.0,54.0,48.0,549.0,389.0
132,BERKE OZAY,536,,(29.0),17.0,17.0,25.0,(68.0),(68.0),68.0,68.0,51.0,40.0,55.0,52.0,558.0,393.0
133,MATE  KOSSOVICS,3264,,23.0,23.0,21.0,(33.0),56.0,(60.0),55.0,(58.0),58.0,57.0,57.0,51.0,552.0,401.0
134,KASPER STORVANG,2494,DEN,(37.0),29.0,19.0,29.0,52.3,52.3,(68.0),(68.0),68.0,52.0,51.0,54.0,579.6,406.6
135,DNIEL CZIRJAK,1150,,31.0,23.0,(33.0),33.0,57.0,56.0,57.0,(59.0),55.0,(60.0),52.0,55.0,571.0,419.0
136,ELKAN OH,1257,,29.0,(35.0),33.0,33.0,53.0,58.0,56.0,56.0,53.0,(61.0),(59.0),53.0,579.0,424.0
137,MEHDI GUEMBRI,3413,,(36.0),29.0,35.0,31.0,54.0,(68.0),54.0,55.0,56.0,58.0,58.0,(68.0),602.0,430.0
138,ANDRE PEREIRA,228,,17.0,17.0,25.0,(29.0),(68.0),(68.0),68.0,68.0,68.0,68.0,68.0,68.0,632.0,467.0
139,JONATHAN ASHWORTH,2299,,25.0,29.0,27.0,(37.0),(68.0),49.0,(68.0),68.0,68.0,68.0,68.0,68.0,643.0,470.0
140,NIKLAS LILLELUND,3705,DEN,(25.0),25.0,15.0,23.0,(68.0),(68.0),68.0,68.0,68.0,68.0,68.0,68.0,632.0,471.0
141,NICOLIN MADIER,3690,,21.0,29.0,33.0,(37.0),(68.0),(68.0),68.0,68.0,68.0,68.0,68.0,68.0,664.0,491.0
