Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,MRQ,Total,Nett
7,LINE FLEM HOEST,2826,NOR,5.0,17.0,13.0,17.0,13.0,2.0,3.0,11.0,22.0,18.0,-,-,-,-,-,-,-,4.0,125.0,103.0
7,MERVE VATAN,3432,TUR,9.0,3.0,20.0,17.0,5.0,23.0,23.0,13.0,2.0,8.0,19.0,7.0,8.0,10.0,-,-,-,7.0,167.0,101.0
7,ALEXIS MATHIS,142,,6.0,6.0,15.0,4.0,8.0,6.0,18.0,16.0,15.0,6.0,22.0,11.0,14.0,6.0,-,-,-,7.0,153.0,97.0
7,MARKUS EDEGRAN,3189,USA,2.0,4.0,3.0,4.0,5.0,15.0,23.0,16.0,7.0,5.0,6.0,9.0,12.0,4.0,11.0,14.0,9.0,7.0,149.0,105.0
7,"IAN BARROWS, HANS HENKEN",1956,USA,1.0,3.0,3.0,4.0,6.0,16.0,4.0,19.0,21.0,3.0,10.0,11.0,1.0,-,-,-,-,18.0,120.0,99.0
7,"JEREMIE MION, CAMILLE LECOINTRE",2180,,14.0,15.0,11.0,12.0,11.0,7.0,1.0,3.0,1.0,18.0,-,-,-,-,-,-,-,8.0,101.0,83.0
8,BENOIT GOMEZ,523,FRA,6.0,5.0,3.0,16.0,3.0,11.0,7.0,14.0,9.0,14.0,8.0,7.0,28.0,19.0,4.0,1.0,7.0,8.0,162.0,99.0
8,LINA ERZEN,2814,,23.0,15.0,3.0,1.0,8.0,6.0,5.0,18.0,8.0,13.0,6.0,12.0,9.0,8.0,-,-,-,8.0,135.0,79.0
8,"LISA DARMANIN, JASON WATERHOUSE",2838,,1.0,1.0,4.0,12.0,6.0,8.0,13.0,6.0,13.0,10.0,7.0,19.0,-,-,-,-,-,14.0,114.0,95.0
8,LOUISE CERVERA,2886,FRA,13.0,9.0,9.0,2.0,11.0,7.0,18.0,23.0,6.0,23.0,-,-,-,-,-,-,-,6.0,127.0,104.0
8,"MAGGIE SHEA, STEPHANIE ROBLE",3004,,3.0,9.0,7.0,10.0,12.0,9.0,18.0,12.0,7.0,6.0,16.0,4.0,3.0,-,-,-,-,20.0,136.0,118.0
8,ANNELOUS LAMMERTS,320,,9.0,7.0,6.0,4.0,2.0,10.0,6.0,5.0,16.0,7.0,6.0,15.0,7.0,17.0,16.0,16.0,-,8.0,149.0,107.0
8,"ERWAN FISCHER, YOUENN BERTIN",1353,,4.0,3.0,2.0,23.0,10.0,4.0,14.0,11.0,9.0,5.0,15.0,9.0,19.0,-,-,-,-,6.0,134.0,111.0
8,ROMAIN GHIO,4204,,3.0,10.0,9.0,6.0,4.0,1.0,9.0,14.0,8.0,4.0,6.0,9.0,10.0,7.0,-,-,-,8.0,100.0,66.0
8,TONCI STIPANOVIC,4903,CRO,3.0,9.0,11.2,9.0,5.0,30.0,2.0,21.0,24.0,2.0,-,-,-,-,-,-,-,6.0,122.2,92.2
8,"NOA LASRY, NITAI HASSON",3741,,4.0,4.0,5.0,4.0,12.0,12.0,7.0,12.0,19.0,16.0,-,-,-,-,-,-,-,14.0,109.0,90.0
9,"TETSUYA ISOZAKI, YURIE SEKI",4727,JPN,8.0,9.0,1.0,17.0,14.0,21.0,5.0,29.0,2.0,1.0,-,-,-,-,-,-,-,20.0,127.0,98.0
9,"LAILA VAN DER MEER, BJARNE BOUWER",2665,,9.0,5.0,5.0,1.0,8.0,10.0,6.0,14.0,11.0,7.0,12.0,12.0,-,-,-,-,-,18.0,118.0,104.0
9,MADELEINE ANDERSON,2986,GBR,2.0,3.0,7.0,1.0,10.0,5.0,12.0,9.0,10.0,11.0,26.0,17.0,9.0,4.0,11.0,15.0,-,9.0,152.0,102.0
9,VASILEIA KARACHALIOU,4996,POR,10.0,5.0,2.0,19.0,6.0,10.0,36.0,3.0,5.0,28.0,-,-,-,-,-,-,-,16.0,140.0,104.0
9,"OSCAR GUNN, LOGAN DUNNING-BECK",3834,,2.0,1.0,1.0,11.0,1.0,10.0,19.0,12.0,16.0,6.0,6.0,12.0,17.0,-,-,-,-,16.0,130.0,111.0
9,COLIN HERMITANT,931,,11.0,5.0,21.0,10.0,9.0,15.0,4.0,6.0,9.0,12.0,7.0,10.0,5.0,9.0,-,-,-,9.0,133.0,85.0
9,DILARA URALP PALOMBO,1130,TUR,4.0,8.0,7.0,6.0,7.0,4.0,7.0,5.0,4.0,15.0,7.0,5.0,3.0,15.0,-,-,-,9.0,97.0,59.0
9,HERMANN TOMASGAARD,1886,NOR,9.0,5.0,1.0,4.0,12.0,1.0,3.0,8.0,46.0,30.0,-,-,-,-,-,-,-,20.0,139.0,93.0
9,THEO DE RAMECOURT,4734,FRA,4.0,1.0,2.0,1.0,4.0,6.0,3.0,4.0,4.0,28.0,16.0,28.0,14.0,14.0,23.0,2.0,3.0,9.0,157.0,97.0
9,"PARIS HENKEN, ANNA TOBIAS",3880,USA,23.0,26.0,4.0,6.0,3.0,3.0,7.0,10.0,8.0,16.0,26.0,1.0,4.0,-,-,-,-,8.0,145.0,119.0
10,KAREL LAVICKY,2476,CZE,7.0,8.0,4.0,11.0,7.0,5.0,13.0,7.0,11.0,5.0,4.0,8.0,4.0,22.0,-,-,-,10.0,116.0,70.0
10,"NORA EDLAND, PIA DAHL ANDERSEN",3758,,2.0,26.0,6.0,8.0,1.0,16.0,11.0,2.0,10.0,7.0,8.0,13.0,24.0,-,-,-,-,14.0,148.0,122.0
10,JULIA BUESSELBERG,2382,GER,18.0,19.0,18.0,1.0,3.0,17.0,12.0,30.0,11.0,2.0,-,-,-,-,-,-,-,14.0,145.0,115.0
10,"ERICA DAWSON, MICAH WILKINSON",1329,,6.0,15.0,14.0,1.0,11.0,7.0,8.0,16.0,1.0,14.0,4.0,17.0,-,-,-,-,-,20.0,134.0,117.0
