Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
20,"KLAUS LANGE, YAGO LANGE",2593,,41.0,19.0,11.0,23.0,11.0,9.0,34.0,33.0,14.0,22.0,5.0,18.0,-,240.0,199.0
21,"FEDERICO ALONSO TELLECHEA, ARTURO ALONSO TELLECHEA",1421,,41.0,1.0,8.0,37.0,30.0,14.0,14.0,28.0,9.0,10.0,24.0,26.0,-,242.0,201.0
21,JEAN BAPTISTE BERNAZ,2154,FRA,10.0,19.0,10.0,21.0,14.0,31.0,24.0,34.0,-,-,-,-,-,163.0,129.0
21,"TESS LLOYD, CAITLIN ELKS",4721,AUS,15.0,10.0,40.0,32.0,16.0,26.0,8.0,20.0,31.0,17.0,17.0,6.0,-,238.0,198.0
21,"NICOLA BONIFACE, TOM PHIPPS",3670,,10.0,28.0,22.0,40.0,7.0,24.0,26.0,23.0,8.0,26.0,14.0,-,-,228.0,188.0
21,SARA WINTHER,4345,NZL,26.0,11.0,19.0,32.0,30.0,6.0,12.0,34.0,-,-,-,-,-,170.0,136.0
22,"IKER MARTINEZ DE LIZARDUY, MARINA LOPEZ",1980,,9.0,4.0,9.0,13.0,26.0,9.0,35.0,21.0,40.0,40.0,40.0,-,-,246.0,206.0
22,RYAN PALK,4258,AUS,37.0,10.0,17.0,35.0,28.0,7.0,15.0,18.0,-,-,-,-,-,167.0,130.0
22,"PETAR CUPAC, PAVLE KOSTOV",3964,,20.0,8.0,4.0,41.0,21.0,30.0,13.0,19.0,38.0,12.0,19.0,17.0,-,242.0,201.0
22,VIKTORIJA ANDRULYTE,5044,LTU,15.0,14.0,28.0,23.0,2.0,34.0,30.0,26.0,-,-,-,-,-,172.0,138.0
22,"JULIE BOSSARD, LILI SEBESI",2407,,2.0,2.0,26.0,16.0,24.0,17.0,22.0,3.0,36.0,24.0,40.0,32.0,-,244.0,204.0
23,"ENRIQUE FIGUEROA SUAREZ, FRANCHESCA VALDES ORTEGA",1318,,29.0,27.0,15.0,31.0,38.0,20.0,1.0,32.0,24.0,28.0,11.0,-,-,256.0,218.0
23,"JACOPO PLAZZI MARZOTTO, UMBERTO MOLINERIS",2066,,31.0,13.0,22.0,3.0,10.0,18.0,33.0,14.0,25.0,30.0,22.0,15.0,-,236.0,203.0
23,MANAMI DOI,3044,JPN,27.0,13.0,32.0,25.0,10.0,13.0,24.0,37.0,-,-,-,-,-,181.0,144.0
23,PAVLOS KONTIDES,3933,CYP,23.0,3.0,26.0,3.0,16.0,35.0,31.0,33.0,-,-,-,-,-,170.0,135.0
23,"CHARLOTTE DOBSON, SOPHIE AINSWORTH",825,GBR,5.0,37.0,23.0,30.0,30.0,11.0,20.0,16.0,7.0,40.0,16.0,9.0,-,244.0,204.0
24,"RYAN SEATON, MATTHEW MCGOVERN",4263,,21.0,26.0,25.0,17.0,9.0,28.0,29.0,34.0,10.0,8.0,11.0,23.0,-,241.0,207.0
24,ASHLEY STODDART,403,AUS,34.0,35.0,27.0,6.0,28.0,29.0,13.0,12.0,-,-,-,-,-,184.0,149.0
24,"SARA TAN, GRISELDA KHNG",4343,,13.0,31.0,10.0,15.0,35.0,31.0,6.0,40.0,13.0,21.0,25.0,18.0,-,258.0,218.0
24,"VALENTIN BELLET, FLORA LAUGIER",4961,,20.0,20.0,10.0,26.0,31.0,33.0,22.0,10.0,29.0,22.0,28.0,-,-,251.0,218.0
24,KACPER ZIEMINSKI,2446,POL,28.0,11.0,24.0,27.0,21.0,24.0,14.0,17.0,-,-,-,-,-,166.0,138.0
25,"SARAH NEWBERRY MOORE, MATTHEW WHITEHEAD",4351,,22.0,19.0,26.0,24.0,22.0,12.0,30.0,29.0,12.0,31.0,29.0,-,-,256.0,225.0
25,"BRADLEY FUNK, TREVOR BURD",644,,29.0,35.0,15.0,15.0,23.0,12.0,21.0,4.0,23.0,37.0,20.0,20.0,-,254.0,217.0
25,"ANIKA LORENZ, VICTORIA JURCZOK",283,,31.0,26.0,17.0,1.0,25.0,22.0,28.0,5.0,29.0,28.0,27.0,20.0,-,259.0,228.0
25,MILIVOJ DUKIC,3492,MNE,24.0,5.0,25.0,20.0,30.0,34.0,27.0,16.0,-,-,-,-,-,181.0,147.0
25,JOYCE FLORIDIA,2351,ITA,14.0,22.0,24.0,36.0,19.0,21.0,41.0,14.0,-,-,-,-,-,191.0,150.0
26,LUKE ELLIOTT,2961,AUS,38.0,27.0,34.0,15.0,26.0,16.0,23.0,9.0,-,-,-,-,-,188.0,150.0
26,"ANDREA BREWSTER, SASKIA TIDEY",231,IRL,35.0,23.0,22.0,21.0,20.0,13.0,38.0,27.0,6.0,13.0,14.0,36.0,-,268.0,230.0
26,"MATHIEU FREI, YANN ROCHERIEUX",3290,,24.0,37.0,10.0,25.0,28.0,18.0,25.0,20.0,5.0,35.0,27.0,2.0,-,256.0,219.0
26,"SOFIA BEKATOROU, KONSTANTINOS TRIGONIS",4524,,36.0,36.0,7.0,22.0,28.0,27.0,21.0,13.0,25.0,15.0,32.0,-,-,262.0,226.0
26,MARIE BOLOU,3141,FRA,18.0,16.0,34.0,41.0,4.0,32.0,23.0,27.0,-,-,-,-,-,195.0,154.0
27,"GIACOMO CAVALLI, RUGGERO TITA",1654,,32.0,17.0,17.0,18.0,29.0,26.0,2.0,39.0,28.0,19.0,30.0,5.0,-,262.0,223.0
27,GIOVANNI COCCOLUTO,1678,ITA,32.0,23.0,37.0,40.0,13.0,4.0,7.0,35.0,-,-,-,-,-,191.0,151.0
27,MARTHE EIDE,3218,NOR,9.0,36.0,12.0,20.0,29.0,27.0,32.0,30.0,-,-,-,-,-,195.0,159.0
27,"NOORA RUSKOLA, CAMILLA CEDERCREUTZ",3755,FIN,27.0,6.0,27.0,26.0,29.0,23.0,21.0,14.0,28.0,18.0,29.0,22.0,-,270.0,241.0
27,"THIJS VISSER, NICOLE VAN DER VELDEN",4752,,32.0,25.0,27.0,20.0,5.0,22.0,31.0,40.0,2.0,33.0,31.0,-,-,268.0,228.0
28,MAXIME JONKER,3375,NED,28.0,25.0,16.0,26.0,34.0,25.0,16.0,29.0,-,-,-,-,-,199.0,165.0
28,"VICTOR VASTERNAS, VICTOR BERGSTROM",5027,,7.0,6.0,9.0,35.0,6.0,16.0,28.0,30.0,34.0,31.0,36.0,27.0,-,265.0,229.0
28,"RAGNA AGERUP, MAIA AGERUP",4093,NOR,21.0,30.0,11.0,19.0,26.0,36.0,25.0,21.0,16.0,29.0,40.0,16.0,-,290.0,250.0
28,"GEORGIA DA SILVA, SAMUEL ALBRECHT",1637,,33.0,14.0,24.0,29.0,25.0,35.0,16.0,26.0,28.0,25.0,26.0,-,-,281.0,246.0
28,BRUNO FONTES FERREIRA DA SILVA,675,,36.0,26.0,22.0,24.0,24.0,33.0,12.0,13.0,-,-,-,-,-,190.0,154.0
29,"JAN HAUKE ERICHSEN, LEA SPITZMANN",2115,,12.0,40.0,34.0,28.0,27.0,26.0,28.0,19.0,30.0,23.0,25.0,-,-,292.0,252.0
29,"LAURA SCHOFEGGER, ELSA LOVREK",2709,AUT,24.0,19.0,33.0,7.0,32.0,34.0,16.0,7.0,33.0,33.0,32.0,30.0,-,300.0,266.0
29,ANNA WEINZIEHER,304,POL,21.0,33.0,25.0,27.0,37.0,18.0,25.0,17.0,-,-,-,-,-,203.0,166.0
29,DANIEL MIHELIC,1026,CRO,27.0,16.0,11.0,26.0,35.0,32.0,41.0,15.0,-,-,-,-,-,203.0,162.0
29,"GIUSEPPE ANGILELLA, PIETRO ZUCCHETTI",1693,,10.0,25.0,31.0,2.0,37.0,41.0,18.0,23.0,22.0,33.0,9.0,36.0,-,287.0,246.0
30,ANNALISE MURPHY,313,IRL,38.0,32.0,38.0,5.0,36.0,36.0,9.0,20.0,-,-,-,-,-,214.0,176.0
30,"KAYLA MCCOMB, MAYUMI ROLLER",2518,,36.0,36.0,4.0,29.0,34.0,29.0,3.0,4.0,34.0,36.0,33.0,40.0,-,318.0,278.0
30,WANNES VAN LAER,5088,BEL,30.0,40.0,27.0,14.0,15.0,21.0,32.0,23.0,-,-,-,-,-,202.0,162.0
30,"ALIZEE DESBORDES, CHARLES HAINNEVILLE",164,,27.0,26.0,35.0,34.0,35.0,28.0,3.0,22.0,22.0,32.0,27.0,-,-,291.0,256.0
30,"JOEL TURNER, LEWIS BRAKE",2253,,8.0,36.0,36.0,13.0,7.0,4.0,38.0,37.0,19.0,27.0,34.0,32.0,-,291.0,253.0
