Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,Total,Nett
13,"ANDRES BARRIO GARCIA, ANTONIO TORRADO MARTINEZ",247,,6.0,18.0,20.0,2.0,21.0,5.0,3.0,2.0,2.0,6.0,20.0,15.0,11.0,13.0,(26.0),-,-,-,-,-,-,-,-,-,-,170.0,144.0
13,WHITELEY DANIEL,5121,,7.0,90.0,10.0,(21.0),19.0,-,-,-,-,-,-,-,-,-,-,7.0,25.0,23.0,(38.0),13.0,-,-,-,-,-,172.0,113.0
13,"CARLOTTA OMARI, SVEVA CARRARO",753,,3.0,11.0,27.0,14.0,10.0,26.0,8.0,(28.0),18.0,4.0,14.0,17.0,22.0,15.0,-,-,-,-,-,-,-,-,-,-,-,217.0,189.0
13,CATTAROZZI FEDERICA,790,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,9.0,31.0,11.0,13.0,9.0,(48.0),20.0,(32.0),22.0,205.0,125.0
14,"NICK ROBINS, SAM BATTEN",3652,,15.0,17.0,11.0,12.0,7.0,3.0,(21.0),10.0,12.0,18.0,7.0,6.0,21.0,1.0,8.0,-,-,-,-,-,-,-,-,-,-,169.0,148.0
14,AKKERMAN MIRTHE,62,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.0,(36.0),11.0,15.0,9.0,(41.0),9.0,14.0,21.0,30.0,203.0,126.0
14,MIDDELTHON THEODOR,3468,,(43.0),(49.0),32.0,43.0,23.0,-,-,-,-,-,-,-,-,-,-,16.0,24.0,24.0,12.0,17.0,-,-,-,-,-,283.0,191.0
14,"ISABELLE FELLOWS, NICOLA BONIFACE",2020,,8.0,13.0,28.0,15.0,5.0,12.0,26.0,22.0,13.0,15.0,24.0,12.0,(33.0),12.0,-,-,-,-,-,-,-,-,-,-,-,238.0,205.0
14,LAUKKANEN NOOA,2694,,8.0,110.0,(22.0),7.0,13.0,-,-,-,-,-,-,-,-,-,-,(59.0),39.0,26.0,9.0,11.0,-,-,-,-,-,205.0,124.0
15,KOMISSAROV SERGEI,2608,,12.0,130.0,(59.0),10.0,5.0,-,-,-,-,-,-,-,-,-,-,10.0,9.0,9.0,(21.0),59.0,-,-,-,-,-,207.0,127.0
15,"SVEA KARSENBARG, CECILE JANMAAT",4645,,24.0,14.0,29.0,16.0,(38.0),8.0,15.0,14.0,1.0,38.0,13.0,9.0,19.0,9.0,-,-,-,-,-,-,-,-,-,-,-,247.0,209.0
15,KLASEN LINUS,2591,,40.0,(50.0),26.0,46.0,(59.0),-,-,-,-,-,-,-,-,-,-,24.0,28.0,13.0,13.0,3.0,-,-,-,-,-,302.0,193.0
15,MCMAHON EVE,3400,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(28.0),(58.0),21.0,20.0,20.0,5.0,14.0,1.0,27.0,23.0,217.0,131.0
15,"JAKOB MEGGENDORFER, ANDREAS SPRANGER",2080,GER,13.0,13.0,10.0,18.0,1.0,6.0,15.0,17.0,15.0,12.0,5.0,16.0,3.0,5.0,(19.0),-,-,-,-,-,-,-,-,-,-,168.0,149.0
16,SNELLGROVE HANNAH,4517,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,30.0,(36.0),7.0,29.0,19.0,11.0,2.0,29.0,(45.0),213.0,132.0
