Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,Total,Nett
26,BERGAMO GERMANI,531,ITA,20.0,15.0,26.0,23.0,(27.0),27.0,27.0,24.0,18.0,25.0,27.0,20.0,20.0,11.0,17.0,-,-,327,300
27,ZIELINSKA ZIELINSKA,5277,POL,22.0,23.0,25.0,21.0,16.0,24.0,7.0,25.0,23.0,(31.0),20.0,(31.0),(31.0),23.0,14.0,-,-,336,305
27,"SEATON RYAN, GUILFOYLE SEAFRA",4403,IRL,26.0,7.0,5.0,6.0,15.0,(31.0),11.0,10.0,8.0,16.0,11.0,4.0,3.0,2.0,-,-,-,155,124
28,VADUROVA TKADLECOVA,4954,SVK,25.0,21.0,20.0,27.0,20.0,26.0,26.0,27.0,24.0,27.0,(29.0),25.0,16.0,19.0,27.0,-,-,359,330
28,"STEPHENSEN LUBECK MADS, BAY MARCUS",4612,DEN,15.0,10.0,14.0,7.0,20.0,18.0,2.0,(24.0),2.0,5.0,23.0,6.0,1.0,4.0,-,-,-,151,127
29,"KOHLENDORFE, FARTHOFER",2603,AUT,27.0,28.0,29.0,25.0,29.0,29.0,24.0,23.0,28.0,28.0,28.0,27.0,(31.0),28.0,28.0,-,-,412,381
29,"HEDSTROM FRITIOF, HAMEL OTTO",1843,SWE,8.0,4.0,22.0,(31.0),26.0,19.0,1.0,5.0,1.0,24.0,7.0,7.0,4.0,8.0,-,-,-,167,136
30,"MILLS HANNAH, SIGN ALAIN",3496,GBR,(31.0),(31.0),(31.0),(31.0),(31.0),(31.0),(31.0),(31.0),(31.0),(31.0),(31.0),(31.0),(31.0),(31.0),(31.0),-,-,465,434
30,"FILIPOWICZ PRZEMYSLAW, NOWAK JACEK",1465,POL,9.0,9.0,13.0,(31.0),28.0,17.0,17.0,6.0,4.0,1.0,13.0,8.0,9.0,5.0,-,-,-,170,139
31,"PRZYBYTEK LUKASZ, KOLODZINSKI PAWEL",4071,POL,(31.0),29.0,3.0,(31.0),2.0,3.0,7.0,14.0,(35.0),6.0,3.0,5.0,2.0,6.0,-,-,-,177,142
