Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
84,BROOKE BOGDAN,662,,41.0,41.0,(44.0),41.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(43.0),38.0,39.0,33.0,40.0,39.0,36.0,38.0,473.0,386.0
84,YOSHIHIRO SUZUKI,5231,JPN,42.0,41.0,(47.0),44.0,25.0,(46.0),-,-,-,-,-,-,-,-,-,-,-,7.0,17.0,32.0,33.0,10.0,-,-,-,-,-,-,-,344,251.0
85,CHRISTA ANN GEORGESON,870,,42.0,42.0,(44.0),42.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.0,39.0,40.0,(43.0),43.0,43.0,43.0,43.0,500.0,413.0
85,BO JEONG,599,KOR,31.0,(53.0),39.0,(40.0),34.0,29.0,-,-,-,-,-,-,-,-,-,-,-,23.0,27.0,19.0,28.0,26.0,-,-,-,-,-,-,-,349,256.0
86,MAOR BEN HAROSH,3067,ISR,(45.0),37.0,45.0,(51.0),27.0,36.0,-,-,-,-,-,-,-,-,-,-,-,33.0,38.0,2.0,22.0,20.0,-,-,-,-,-,-,-,356,260.0
87,LUKE DEEGAN,2960,NZL,42.0,(52.0),40.0,38.0,(46.0),30.0,-,-,-,-,-,-,-,-,-,-,-,16.0,28.0,37.0,25.0,15.0,-,-,-,-,-,-,-,369,271.0
88,WILHELM KARK,5126,SWE,27.0,45.0,(49.0),(64.0),33.0,48.0,-,-,-,-,-,-,-,-,-,-,-,13.0,11.0,49.0,27.0,19.0,-,-,-,-,-,-,-,385,272.0
89,ONDREJ TEPLY,3823,CZE,(54.0),48.0,47.0,36.0,(57.0),33.0,-,-,-,-,-,-,-,-,-,-,-,36.0,12.0,23.0,21.0,18.0,-,-,-,-,-,-,-,385,274.0
90,BEN FLOWER,492,CAN,(55.0),30.0,35.0,(64.0),19.0,37.0,-,-,-,-,-,-,-,-,-,-,-,28.0,44.0,29.0,26.0,27.0,-,-,-,-,-,-,-,394,275.0
91,THOMAS VAN OFWEGEN,4781,NED,11.0,44.0,23.0,(64.0),36.0,53.0,-,-,-,-,-,-,-,-,-,-,-,12.0,2.0,48.0,47.0,(64.0),-,-,-,-,-,-,-,404,276.0
92,DIMITRIS PAPADIMITRIOU,1134,GRE,(51.0),25.0,38.0,45.0,43.0,(54.0),-,-,-,-,-,-,-,-,-,-,-,43.0,39.0,6.0,4.0,33.0,-,-,-,-,-,-,-,381,276.0
93,LUKE CASHMORE,2959,NZL,37.0,34.0,34.0,39.0,(40.0),(45.0),-,-,-,-,-,-,-,-,-,-,-,26.0,36.0,25.0,37.0,8.0,-,-,-,-,-,-,-,361,276.0
94,RYAN ANDERSON,4255,CAN,31.0,31.0,(43.0),35.0,41.0,40.0,-,-,-,-,-,-,-,-,-,-,-,(64.0),46.0,13.0,30.0,12.0,-,-,-,-,-,-,-,386,279.0
95,AGUSTIN VIDAL,40,,39.0,42.0,43.0,38.0,(45.0),32.0,-,-,-,-,-,-,-,-,-,-,-,30.0,21.0,28.0,10.0,(64.0),-,-,-,-,-,-,-,392,283.0
96,CESARE BARABINO,807,ITA,22.0,39.0,(50.0),40.0,47.0,32.0,-,-,-,-,-,-,-,-,-,-,-,(64.0),64.0,21.0,11.0,16.0,-,-,-,-,-,-,-,406,292.0
97,MATTEO PAULON,3320,,39.0,(46.0),31.0,42.0,34.0,42.0,-,-,-,-,-,-,-,-,-,-,-,10.0,37.0,30.0,38.0,(64.0),-,-,-,-,-,-,-,413,303.0
98,CHUSITT PUNJAMALA,898,THA,43.0,46.0,48.0,48.0,36.0,(52.0),-,-,-,-,-,-,-,-,-,-,-,34.0,(64.0),7.0,9.0,64.0,-,-,-,-,-,-,-,451,335.0
99,FREDERICK VRANIZAN,1556,USA,49.0,(53.0),(54.0),52.0,44.0,47.0,-,-,-,-,-,-,-,-,-,-,-,42.0,31.0,10.0,36.0,30.0,-,-,-,-,-,-,-,448,341.0
100,HYEONSU YOON,1951,KOR,50.0,50.0,44.0,(56.0),43.0,(57.0),-,-,-,-,-,-,-,-,-,-,-,9.0,40.0,20.0,50.0,36.0,-,-,-,-,-,-,-,455,342.0
101,CAMPBELL PATTON,710,BER,(56.0),(54.0),49.0,51.0,47.0,46.0,-,-,-,-,-,-,-,-,-,-,-,35.0,15.0,44.0,34.0,31.0,-,-,-,-,-,-,-,462,352.0
102,GITESH NAIN,1685,,35.0,52.0,(54.0),44.0,(57.0),37.0,-,-,-,-,-,-,-,-,-,-,-,39.0,43.0,38.0,44.0,32.0,-,-,-,-,-,-,-,475,364.0
103,HARUTO KURODA,1822,JPN,(56.0),50.0,(57.0),52.0,56.0,52.0,-,-,-,-,-,-,-,-,-,-,-,40.0,35.0,17.0,35.0,39.0,-,-,-,-,-,-,-,489,376.0
104,CALEB YOSLOV,703,,53.0,(56.0),(55.0),46.0,53.0,50.0,-,-,-,-,-,-,-,-,-,-,-,44.0,33.0,40.0,29.0,34.0,-,-,-,-,-,-,-,493,382.0
105,NORMAN STRUTHERS,3763,CAN,53.0,(56.0),56.0,55.0,52.0,38.0,-,-,-,-,-,-,-,-,-,-,-,17.0,34.0,41.0,39.0,(64.0),-,-,-,-,-,-,-,505,385.0
106,OTTO DAHLBERG,3843,FIN,51.0,47.0,51.0,49.0,53.0,(54.0),-,-,-,-,-,-,-,-,-,-,-,20.0,29.0,33.0,56.0,(64.0),-,-,-,-,-,-,-,507,389.0
107,NICHOLAS SESSIONS,3649,,33.0,(51.0),46.0,50.0,49.0,35.0,-,-,-,-,-,-,-,-,-,-,-,37.0,48.0,45.0,48.0,(64.0),-,-,-,-,-,-,-,506,391.0
108,MALCOLM BENN SMITH,3028,BER,52.0,49.0,53.0,(59.0),(56.0),51.0,-,-,-,-,-,-,-,-,-,-,-,49.0,51.0,14.0,45.0,35.0,-,-,-,-,-,-,-,514,399.0
109,GERARDO BENITEZ,1647,MEX,(55.0),(55.0),52.0,48.0,48.0,33.0,-,-,-,-,-,-,-,-,-,-,-,45.0,45.0,52.0,46.0,37.0,-,-,-,-,-,-,-,516,406.0
110,LIAM OREL,2788,,44.0,(64.0),59.0,(64.0),64.0,64.0,-,-,-,-,-,-,-,-,-,-,-,48.0,14.0,18.0,32.0,64.0,-,-,-,-,-,-,-,535,407.0
111,SEBASTIAN KEMPE,4408,BER,(61.0),58.0,50.0,(60.0),58.0,58.0,-,-,-,-,-,-,-,-,-,-,-,41.0,54.0,27.0,31.0,40.0,-,-,-,-,-,-,-,538,417.0
112,ARTHUR FARLEY,387,GBR,(57.0),57.0,56.0,47.0,55.0,53.0,-,-,-,-,-,-,-,-,-,-,-,46.0,50.0,(64.0),41.0,22.0,-,-,-,-,-,-,-,548,427.0
113,EWAN MCMAHON,1385,IRL,32.0,40.0,(45.0),41.0,33.0,44.0,-,-,-,-,-,-,-,-,-,-,-,(64.0),47.0,64.0,64.0,64.0,-,-,-,-,-,-,-,538,429.0
114,JUAN IGNACIO PEREZ SOLTERO,2363,MEX,58.0,45.0,53.0,43.0,(59.0),56.0,-,-,-,-,-,-,-,-,-,-,-,50.0,49.0,(59.0),55.0,24.0,-,-,-,-,-,-,-,551,433.0
115,JAMES GOLDEN,2090,USA,(59.0),(58.0),52.0,58.0,54.0,49.0,-,-,-,-,-,-,-,-,-,-,-,53.0,41.0,36.0,49.0,41.0,-,-,-,-,-,-,-,550,433.0
116,JACK HOPKINS,2047,,47.0,(57.0),57.0,57.0,54.0,41.0,-,-,-,-,-,-,-,-,-,-,-,38.0,25.0,54.0,(64.0),64.0,-,-,-,-,-,-,-,558,437.0
117,RICARDO SEGUEL LACAMARA,4141,CHI,(60.0),55.0,55.0,53.0,55.0,(57.0),-,-,-,-,-,-,-,-,-,-,-,47.0,42.0,55.0,40.0,38.0,-,-,-,-,-,-,-,557,440.0
118,VICTOR GOROSTEGUI,5022,,48.0,39.0,58.0,54.0,50.0,(64.0),-,-,-,-,-,-,-,-,-,-,-,56.0,(64.0),46.0,64.0,64.0,-,-,-,-,-,-,-,607,479.0
119,ENRIQUE FELIU,1317,,(61.0),60.0,(62.0),53.0,60.0,55.0,-,-,-,-,-,-,-,-,-,-,-,57.0,52.0,53.0,53.0,46.0,-,-,-,-,-,-,-,612,489.0
120,ADIL KHALID,20,,59.0,59.0,(60.0),(62.0),58.0,55.0,-,-,-,-,-,-,-,-,-,-,-,55.0,53.0,56.0,54.0,44.0,-,-,-,-,-,-,-,615,493.0
121,SHUSUKE TAKEUCHI,4466,JPN,57.0,(61.0),58.0,54.0,(61.0),58.0,-,-,-,-,-,-,-,-,-,-,-,59.0,56.0,58.0,52.0,43.0,-,-,-,-,-,-,-,617,495.0
122,NAMKHAI BOURQUIN,3601,,(62.0),60.0,(62.0),61.0,59.0,56.0,-,-,-,-,-,-,-,-,-,-,-,52.0,55.0,50.0,57.0,45.0,-,-,-,-,-,-,-,619,495.0
123,JULIAN SOTO,2399,,58.0,59.0,61.0,55.0,(64.0),(64.0),-,-,-,-,-,-,-,-,-,-,-,51.0,59.0,51.0,64.0,42.0,-,-,-,-,-,-,-,628,500.0
124,HAMZA AL ALI,1781,,60.0,(61.0),60.0,56.0,60.0,59.0,-,-,-,-,-,-,-,-,-,-,-,54.0,58.0,60.0,51.0,(64.0),-,-,-,-,-,-,-,643,518.0
125,ALEJANDRO PEREZ,91,,(64.0),62.0,63.0,(64.0),64.0,64.0,-,-,-,-,-,-,-,-,-,-,-,58.0,57.0,57.0,64.0,64.0,-,-,-,-,-,-,-,681,553.0
126,MATT WEARN,3315,AUS,(64.0),(64.0),64.0,64.0,64.0,64.0,-,-,-,-,-,-,-,-,-,-,-,64.0,64.0,64.0,64.0,64.0,-,-,-,-,-,-,-,704,576.0
