Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
19,"KIMBERLY LIM, CECILIA LOW",2573,SGP,13.0,20.0,6.0,6.0,22.0,22.0,6.0,(30.0),24.0,26.0,28.0,-,203.0,173.0
19,CHRISTOPHER BARNARD,892,USA,9.0,34.0,11.0,(58.0),22.0,18.0,27.0,18.0,25.0,44.0,-,-,266.0,208.0
20,"ANDREW MOLLERUS, IAN MACDIARMID",260,USA,25.0,10.0,11.0,27.0,(32.0),28.0,4.0,-,-,-,-,-,137.0,105.0
20,"ANDREW , MCKENZIE",256,,22.0,7.0,12.0,24.0,(58.0),43.0,25.0,10.0,57.0,14.0,-,-,272.0,214.0
20,"VILMA BOBECK, MALIN TENGSTROM",5049,,18.0,28.0,28.0,21.0,14.0,33.0,16.0,2.0,(40.0),1.0,24.0,-,225.0,185.0
21,MICHAEL BECKETT,3441,GBR,6.0,51.0,48.0,16.0,39.0,41.0,5.0,3.0,(59.0),8.0,-,-,276.0,217.0
21,"FREDERIK RASK, MARCUS BAY",1560,,34.0,20.0,3.0,25.0,10.0,18.0,(37.0),-,-,-,-,-,147.0,110.0
21,"NOORA RUSKOLA, MIKAELA WULFF",3756,,30.0,19.0,22.0,17.0,17.0,3.0,19.0,(32.0),28.0,14.0,16.0,-,217.0,185.0
22,"ENIA NINCEVIC, MIHAELA DE MICHELI VITTURI",1311,,(37.0),33.0,9.0,30.0,16.0,4.0,17.0,19.0,29.0,18.0,21.0,-,233.0,196.0
22,"SIME FANTELA, MIHOVIL FANTELA",4491,,15.0,9.0,16.0,10.0,(41.0),30.0,33.0,-,-,-,-,-,154.0,113.0
22,CHARLIE BUCKINGHAM,816,USA,27.0,37.0,15.0,(59.0),5.0,4.0,14.0,37.0,35.0,47.0,-,-,280.0,221.0
23,"SAYOKO HARADA, SERA NAGAMATSU",4372,,(33.0),12.0,31.0,9.0,23.0,25.0,28.0,20.0,9.0,23.0,20.0,-,233.0,200.0
23,"LUCAS RUAL, EMILE AMOROS",2911,FRA,10.0,39.0,(41.0),6.0,7.0,39.0,14.0,-,-,-,-,-,156.0,115.0
23,THEODOR BAUER,4742,GER,(51.0),14.0,6.0,23.0,46.0,27.0,51.0,13.0,30.0,12.0,-,-,273.0,222.0
24,"JULIA GROSS, CECILE JANMAAT",2387,,20.0,21.0,36.0,22.0,21.0,(40.0),4.0,33.0,18.0,24.0,4.0,-,243.0,203.0
24,JACK WETHERELL,2051,GBR,28.0,9.0,23.0,(54.0),35.0,23.0,20.0,21.0,26.0,41.0,-,-,280.0,226.0
24,"CARLOS ROBLES LORENTE, MARCO SOFFIATTI GRAEL",748,,(41.0),25.0,2.0,20.0,33.0,19.0,19.0,-,-,-,-,-,159.0,118.0
25,VIKTOR TEPLY,5043,CZE,30.0,15.0,30.0,37.0,(53.0),46.0,24.0,44.0,10.0,3.0,-,-,292.0,239.0
25,"DEWI COUVERT, JESKE KISTERS",1108,,(34.0),22.0,30.0,33.0,33.0,34.0,14.0,16.0,4.0,17.0,8.0,-,245.0,211.0
25,"JACK HAWKINS, CHRISTOPHER THOMAS",2046,GBR,16.0,15.0,(31.0),31.0,23.0,21.0,15.0,-,-,-,-,-,152.0,121.0
26,KAARLE TAPPER,2443,FIN,34.0,(61.0),49.0,19.0,14.0,25.0,23.0,50.0,3.0,24.0,-,-,302.0,241.0
26,"SEBASTIEN SCHNEITER, LUCIEN CUJEAN",4420,SUI,18.0,21.0,(41.0),17.0,2.0,41.0,24.0,-,-,-,-,-,164.0,123.0
26,"LAURA SCHOFEGGER, ANNA BOUSTANI",2708,,26.0,14.0,10.0,20.0,9.0,13.0,23.0,36.0,30.0,(40.0),32.0,-,253.0,213.0
27,HENRY MARSHALL,1883,USA,63.0,17.0,8.0,38.0,21.0,2.0,15.0,45.0,34.0,(69.0),-,-,312.0,243.0
