Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
35,"ANAND THAKUR, SATYAM RANGAD",201,,17.0,12.0,17.0,13.0,16.0,17.0,(19.0),18.0,16.0,4.0,4.0,10.0,12.0,2.0,8.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,193.0,174.0
35,BLANCA ALABAU,589,,40.0,(46.0),31.0,25.0,27.0,17.0,2.0,32.0,45.0,34.0,34.0,(51.0),40.0,(73.0),24.0,3.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,526.0,356.0
35,PAWEL TARNOWSKI,3934,POL,10.0,10.0,15.0,(27.0),8.0,9.0,-,-,-,-,-,-,-,-,-,-,-,52.0,40.0,34.0,35.0,5.0,5.0,13.0,(59.0),(65.0),47.5,13.0,6.0,453.5,302.5
36,"DANIEL NYBORG, SEBASTIAN WRIGHT OLSEN",1029,,14.0,13.0,15.0,11.0,11.0,11.0,(16.0),7.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,194.0,178.0
36,STEVEN VAN-BROECKHOVEN,4615,,30.0,(26.6),(40.0),29.0,19.0,15.0,-,-,-,-,-,-,-,-,-,-,-,15.0,(56.0),36.0,(48.0),11.0,5.0,13.0,39.0,16.0,38.0,5.0,6.0,447.6,303.6
36,MINA MOBEKK,3502,NOR,(37.0),31.0,(37.0),37.0,36.0,8.0,7.0,36.0,26.0,(41.0),37.0,27.0,37.0,28.0,21.0,11.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,471.0,356.0
37,ANDREA TORRES,236,,34.0,34.0,36.0,22.0,(39.0),36.0,8.0,31.0,30.0,18.0,(42.0),30.0,34.0,(73.0),37.0,7.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,515.0,361.0
37,BENJAMIN TILLIER,519,,17.0,9.0,20.0,(26.0),10.0,17.0,-,-,-,-,-,-,-,-,-,-,-,36.0,22.0,35.0,(80.0),21.0,2.0,15.0,42.0,43.0,(74.0),11.0,11.0,491.0,311.0
38,ODA SVERRE,3775,NOR,(44.0),39.0,29.0,41.0,18.0,19.0,19.0,37.0,41.0,(44.0),(47.0),18.0,33.7,29.0,32.0,18.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,517.7,382.7
38,TOMAS VIEITO-COBIN,4884,,29.0,28.0,(34.0),29.0,14.0,15.0,-,-,-,-,-,-,-,-,-,-,-,45.0,28.0,33.0,(58.0),3.0,15.0,11.0,(46.0),19.0,20.0,18.0,12.0,457.0,319.0
