Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
53,"UBERTO CRIVELLI VISCONTI, GIANMARCO TOGNI",4929,ITA,21.0,21.0,9.0,18.0,16.0,(23.0),2.0,8.0,2.0,3.0,1.0,-,-,-,-,-,-,-,-,124.0,101.0
54,"JACKSON KEON, SCOTT , MCKENZIE",2052,,15.0,9.0,10.0,(20.0),20.0,20.0,1.0,7.0,4.0,12.0,8.0,-,-,-,-,-,-,-,-,126.0,106.0
55,"MATT JERWOOD, MAX PAUL",3314,,(25.0),18.0,12.0,24.0,21.0,13.0,5.0,1.0,9.0,11.0,12.0,-,-,-,-,-,-,-,-,151.0,126.0
56,"ALEXANDER HEINZEMANN, JUSTIN BARNES",121,,16.0,12.0,(27.0),13.0,22.0,15.0,8.0,12.0,27.0,1.0,5.0,-,-,-,-,-,-,-,-,158.0,131.0
57,"BENJI DANIEL, ALEX BURGER",521,,24.0,13.0,14.0,11.0,18.0,21.0,11.0,11.0,(27.0),5.0,4.0,-,-,-,-,-,-,-,-,159.0,132.0
58,"JOHN COOLEY, THOMAS CUNICH",2275,,20.0,19.0,13.0,(22.0),13.0,19.0,6.0,21.0,12.0,2.0,9.0,-,-,-,-,-,-,-,-,156.0,134.0
59,"SAMUEL BACON, HENRY GAUTREY",4303,,17.0,(24.0),19.0,23.0,20.0,15.0,3.0,3.0,11.0,9.0,14.0,-,-,-,-,-,-,-,-,158.0,134.0
60,"MUSAB AL HADI, WALEED AL KINDI",3577,,12.0,21.0,24.0,14.0,15.0,16.0,7.0,5.0,22.0,10.0,(27.0),-,-,-,-,-,-,-,-,173.0,146.0
61,"LOUIS CHAMBET, MERIK REGNAULT",2879,,19.0,(27.0),7.0,24.0,21.0,22.0,27.0,14.0,3.0,6.0,6.0,-,-,-,-,-,-,-,-,176.0,149.0
62,"AKIRA SAKAI, RUSSELL AYLSWORTH",61,,16.0,22.0,(27.0),23.0,23.0,24.0,22.0,2.0,6.0,4.0,15.0,-,-,-,-,-,-,-,-,184.0,157.0
