Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
26,"TINA LUTZ, SUSANN BEUCKE",4826,GER,16.0,17.0,8.0,15.0,5.0,9.0,(25.0),16.0,12.0,24.0,13.0,23.0,-,183.0,158.0
26,CHRISTOPHER BARNARD,892,USA,2.0,17.0,(42.0),3.0,17.0,16.0,5.0,36.0,25.0,25.0,-,-,-,188.0,146.0
27,JOYCE FLORIDIA,2351,ITA,19.0,28.0,20.0,30.0,31.0,8.0,16.0,8.0,8.0,(48.0),-,-,-,216.0,168.0
27,"ENIA NINCEVIC, MIHAELA DE MICHELI VITTURI",1311,,14.0,11.0,13.0,16.0,2.0,5.0,20.0,27.0,(30.0),20.0,14.0,17.0,-,189.0,159.0
27,FILIP JURISIC,1461,CRO,12.0,27.0,(43.0),36.0,6.0,6.0,39.0,3.0,10.0,10.0,-,-,-,192.0,149.0
27,"CHARLIE WYATT, SIMON HOFFMAN",820,,9.0,9.0,16.0,9.0,5.0,13.0,(30.0),23.0,25.0,27.0,20.0,10.0,-,196.0,166.0
28,MARTINA REINO CACHO,3242,ESP,6.0,18.0,7.0,19.0,(44.0),39.0,9.0,39.0,6.0,27.0,-,-,-,214.0,170.0
28,"ANDREW , MCKENZIE",256,,6.0,4.0,31.0,17.0,5.0,12.0,37.0,(42.0),20.0,21.0,-,-,-,195.0,153.0
28,"NOORA RUSKOLA, MIKAELA WULFF",3756,,20.0,8.0,9.0,14.0,12.0,13.0,(27.0),12.0,23.0,21.0,25.0,13.0,-,197.0,170.0
28,"FREDERIK RASK, MARCUS BAY",1560,,16.0,12.0,17.0,8.0,2.0,7.0,21.0,26.0,15.0,28.0,(30.0),30.0,-,212.0,182.0
29,WANNES VAN LAER,5088,BEL,12.0,16.0,9.0,8.0,27.0,10.0,18.0,24.0,31.0,(32.0),-,-,-,187.0,155.0
29,SILVIA ZENNARO,4489,ITA,24.0,33.0,2.0,12.0,10.0,5.0,40.0,2.0,46.0,(51.0),-,-,-,225.0,174.0
29,"WILLEMIJN OFFERMAN, CECILE JANMAAT",5136,,12.0,15.0,17.0,25.0,15.0,3.0,26.0,1.0,19.0,25.0,(30.0),25.0,-,213.0,183.0
29,"IAN CHEKH, IVAN ZOTOV",1959,,6.0,18.0,10.0,24.0,11.0,3.0,(30.0),28.0,22.0,25.0,30.0,30.0,-,237.0,207.0
30,VERONIKA KOZELSKA FENCLOVA,5011,CZE,13.0,23.0,20.0,22.0,18.0,25.0,15.0,(51.0),14.0,29.0,-,-,-,230.0,179.0
30,"JACOPO PLAZZI MARZOTTO, ANDREA TESEI",2065,,11.0,(25.0),11.0,12.0,6.0,11.0,17.0,6.0,20.0,8.0,1.0,3.0,-,131.0,106.0
30,"ALEXANDRA TEN HOVE, MARIAH MILLEN",133,CAN,19.0,3.0,7.0,15.0,27.0,14.0,24.0,(30.0),29.0,27.0,26.0,22.0,-,243.0,213.0
30,BRUNO FONTES,674,BRA,8.0,8.0,6.0,12.0,39.0,11.0,13.0,20.0,40.0,(56.0),-,-,-,213.0,157.0
31,ATHANASIA FAKIDI,406,GRE,8.0,23.0,26.0,2.0,33.0,10.0,5.0,(54.0),42.0,31.0,-,-,-,234.0,180.0
31,"CARLOTTA OMARI, MATILDA DISTEFANO",752,,(23.0),23.0,10.0,21.0,15.0,3.0,9.0,2.0,10.0,3.0,4.0,2.0,-,125.0,102.0
31,"YAGO LANGE, KLAUS LANGE",5194,,1.0,11.0,24.0,(27.0),9.0,24.0,16.0,5.0,4.0,1.0,8.0,4.0,-,134.0,107.0
31,FINN LYNCH,1474,IRL,7.0,16.0,46.0,4.0,18.0,13.0,1.0,(56.0),45.0,9.0,-,-,-,215.0,159.0
32,MARIE BOLOU,3141,FRA,12.0,31.0,27.0,21.0,15.0,16.0,25.0,(36.0),17.0,20.0,-,-,-,220.0,184.0
32,GEORGE GAUTREY,1634,NZL,18.0,14.0,8.0,17.0,21.0,8.0,26.0,32.0,(33.0),15.0,-,-,-,192.0,159.0
32,"FEDERICO ALONSO TELLECHEA, ARTURO ALONSO TELLECHEA",1421,,(30.0),23.0,5.0,11.0,1.0,20.0,16.0,16.0,5.0,10.0,2.0,1.0,-,140.0,110.0
32,"TESS LLOYD, JAIME RYAN",4723,,(21.0),20.0,18.0,17.0,8.0,15.0,13.0,5.0,1.0,6.0,1.0,7.0,-,132.0,111.0
33,THEODOR BAUER,4742,GER,21.0,13.0,12.0,16.0,22.0,36.0,20.0,(48.0),3.0,17.0,-,-,-,208.0,160.0
33,HADDON HUGHES,1769,USA,27.0,9.0,8.0,17.0,3.0,26.0,46.0,15.0,38.0,(56.0),-,-,-,245.0,189.0
33,"KLARA WESTER, REBECCA NETZLER",2590,SWE,17.0,5.0,(23.0),17.0,15.0,12.0,4.0,1.0,16.0,8.0,13.0,5.0,-,136.0,113.0
33,"BENJAMIN BILDSTEIN, DAVID HUSSL",507,AUT,1.0,5.0,5.0,(22.0),18.0,21.0,19.0,1.0,2.0,18.0,14.0,7.0,-,133.0,111.0
34,JUAN IGNACIO MAEGLI AGUERO,2361,,17.0,18.0,17.0,26.0,7.0,33.0,8.0,(39.0),36.0,5.0,-,-,-,206.0,167.0
34,"KIMBERLY LIM, CECILIA LOW",2573,SGP,(28.0),10.0,24.0,9.0,19.0,8.0,2.0,12.0,2.0,17.0,14.0,3.0,-,148.0,120.0
34,MARIE BARRUE,3140,FRA,16.0,40.0,12.0,2.0,20.0,22.0,41.0,10.0,31.0,(45.0),-,-,-,239.0,194.0
34,"CHRISTOPHER RAST, TREVOR BURD",894,,7.0,5.0,13.0,17.0,(20.0),8.0,12.0,10.0,3.0,7.0,20.0,10.0,-,132.0,112.0
35,"LACHY GILMOUR, RYAN DONALDSON",2663,,20.0,13.0,7.0,(26.0),14.0,7.0,2.0,2.0,11.0,22.0,9.0,11.0,-,144.0,118.0
35,"CARLA MUNTE CARRASCO, MARTA MUNTE CARRASCO",736,,9.0,11.0,12.0,23.0,(26.0),14.0,1.0,7.0,7.0,7.0,10.0,20.0,-,147.0,121.0
35,MIRTHE AKKERMAN,3514,NED,10.0,15.0,39.0,38.0,8.0,11.0,7.0,(53.0),45.0,28.0,-,-,-,254.0,201.0
35,NIK AARON NIK AARON WILLIM,3697,,16.0,8.0,(50.0),23.0,32.0,9.0,14.0,18.0,42.0,7.0,-,-,-,219.0,169.0
36,PERNELLE MICHON,3962,FRA,30.0,13.0,24.0,22.0,11.0,9.0,38.0,47.0,(50.0),10.0,-,-,-,254.0,204.0
36,"RYAN SEATON, SEAFRA GUILFOYLE",4265,,25.0,21.0,7.0,7.0,10.0,6.0,1.0,25.0,21.0,(30.0),6.0,2.0,-,161.0,131.0
36,"MARIA OTTAVIA RAGGIO, JANA GERMANI",3128,,8.0,12.0,(26.0),19.0,10.0,15.0,11.0,14.0,3.0,5.0,8.0,26.0,-,157.0,131.0
36,GIOVANNI COCCOLUTO,1678,ITA,1.0,18.0,42.0,9.0,27.0,13.0,9.0,10.0,(56.0),41.0,-,-,-,226.0,170.0
37,"LAURA SCHOFEGGER, ANNA BOUSTANI",2708,,4.0,26.0,(31.0),21.0,22.0,12.0,5.0,9.0,5.0,10.0,12.0,6.0,-,163.0,132.0
37,JESPER STALHEIM,2195,SWE,4.0,6.0,9.0,1.0,20.0,11.0,28.0,(56.0),43.0,56.0,-,-,-,234.0,178.0
37,ISABELLA-ANNA BERTOLD,2018,,19.0,32.0,(41.0),7.0,32.0,12.0,13.0,32.0,26.0,36.0,-,-,-,250.0,209.0
37,"YANNICK LEFEBVRE, TOM PELSMAEKERS",5213,BEL,18.0,10.0,(23.0),12.0,16.0,19.0,22.0,3.0,1.0,15.0,12.0,6.0,-,157.0,134.0
38,"JAKOB MEGGENDORFER, ANDREAS SPRANGER",2080,GER,18.0,15.0,9.0,5.0,7.0,14.0,14.0,19.0,10.0,23.0,3.0,(29.0),-,166.0,137.0
38,TADEUSZ KUBIAK,4662,POL,31.0,19.0,4.0,14.0,10.0,19.0,36.0,(45.0),39.0,8.0,-,-,-,225.0,180.0
38,VALENTINA BALBI,4967,ITA,40.0,12.0,28.0,26.0,21.0,18.0,1.0,34.0,32.0,(41.0),-,-,-,253.0,212.0
38,"SAYOKO HARADA, SERA NAGAMATSU",4372,,15.0,14.0,3.0,(26.0),25.0,25.0,3.0,20.0,4.0,16.0,6.0,4.0,-,161.0,135.0
39,"PETER JANEZIC, SEBASTIAN PRINCIC",3970,,22.0,(25.0),4.0,9.0,19.0,22.0,7.0,9.0,22.0,3.0,11.0,12.0,-,165.0,140.0
39,"FRANCESCA BERGAMO, ALICE SINNO",1517,,14.0,14.0,6.0,(22.0),9.0,22.0,12.0,21.0,9.0,19.0,9.0,12.0,-,169.0,147.0
39,BENJAMIN VADNAI,520,HUN,5.0,22.0,14.0,21.0,1.0,9.0,25.0,49.0,37.0,(51.0),-,-,-,234.0,183.0
39,LUCIA FALASCA,2914,ARG,14.0,6.0,15.0,44.0,28.0,13.0,31.0,(46.0),22.0,40.0,-,-,-,259.0,213.0
40,"NEVIN SNOW, MAXIMILIANO AGNESE",3640,,3.0,13.0,22.0,19.0,18.0,3.0,4.0,(27.0),16.0,24.0,5.0,13.0,-,167.0,140.0
40,JACK WETHERELL,2051,GBR,23.0,20.0,2.0,12.0,14.0,45.0,(56.0),26.0,16.0,26.0,-,-,-,240.0,184.0
40,"RONJA GRONBLOM, SARA EHRNROOTH",4215,,17.0,4.0,11.0,13.0,24.0,(29.0),16.0,18.0,8.0,23.0,18.0,1.0,-,182.0,153.0
40,SUSANNAH PYATT,4643,NZL,31.0,18.0,41.0,10.0,12.0,29.0,42.0,25.0,(53.0),8.0,-,-,-,269.0,216.0
41,TATIANA DROZDOVSKAYA,4698,BLR,24.0,25.0,6.0,37.0,9.0,14.0,(57.0),42.0,37.0,32.0,-,-,-,283.0,226.0
41,ROBERT DAVIS,4167,CAN,9.0,17.0,27.0,11.0,8.0,21.0,(44.0),28.0,41.0,24.0,-,-,-,230.0,186.0
