Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,19Q,MRQ,Total,Nett
49,RENNA SOFIA,4131,,20.0,19.0,19.0,14.0,21.0,25.0,19.7,19.7,6.0,2.0,4.0,2.0,13.0,5.0,7.0,25.0,6.0,15.0,-,-,"242,4","156,4"
49,ONUR CAVIT BIRIZ,3826,TUR,18.0,31.0,16.0,32.0,26.0,24.0,33.0,4.0,39.0,43.0,37.0,46.0,35.0,39.0,25.0,27.0,44.0,15.0,-,-,534,379
50,JAKOB EKLUND,2076,FIN,17.0,18.0,18.4,20.0,31.0,36.0,24.0,23.0,46.0,44.0,46.0,51.0,35.0,35.0,23.0,21.0,30.0,37.0,-,-,"555,4","391,4"
50,ZHENG YAN,5274,CHN,19.0,19.0,9.0,25.0,28.0,18.0,23.0,25.0,(45.0),27.0,9.0,10.0,23.0,1.0,7.0,1.0,3.0,1.0,-,-,293,168
51,JENNIE ROBERTS,2169,GBR,24.0,23.0,13.0,34.0,26.0,17.0,10.0,25.0,5.0,5.0,7.0,1.0,13.0,9.0,21.0,14.0,(45.0),11.0,-,-,303,177
51,JORGE ARANZUEQUE CAMPELLO,2317,ESP,21.0,47.0,27.0,17.0,27.0,27.0,31.0,16.0,(58.0),51.0,35.0,50.0,25.0,31.0,23.0,9.0,49.0,44.0,-,-,588,401
52,NATASA LAPPA,3611,CYP,30.0,27.0,21.0,28.0,18.0,19.0,17.0,(46.0),4.0,3.0,8.0,7.0,5.0,13.0,5.0,9.0,9.0,9.0,-,-,278,180
52,LEONIDAS TSORTANIDIS,2760,GRE,26.0,20.0,30.0,19.0,23.0,21.0,21.0,18.0,40.0,34.0,33.0,38.0,37.0,29.0,39.0,29.0,40.0,54.0,-,-,551,401
53,HARRY JOYNER,1814,AUS,34.0,16.0,11.0,16.0,14.0,28.0,32.0,25.0,41.0,46.0,45.0,54.0,39.0,33.0,35.0,35.0,37.0,35.0,-,-,576,410
53,ANDREA TORRES FULLANA,237,ESP,23.0,29.0,11.0,18.0,31.0,28.0,20.0,24.0,9.0,11.0,14.0,11.0,3.0,3.0,1.0,17.0,11.0,12.0,-,-,276,185
54,JIE DU,2214,,26.0,21.0,15.0,31.0,25.0,19.0,21.0,22.0,18.0,17.0,3.0,6.0,21.0,5.0,9.0,2.0,4.0,21.0,-,-,286,187
54,HIDDE VAN DER MEER,1894,NED,27.0,15.0,(58.0),28.0,28.0,47.0,37.0,20.0,43.0,54.0,41.0,48.0,39.0,31.0,17.0,15.0,35.0,34.0,-,-,617,410
55,YUNXIU LU,5245,CHN,29.0,28.8,28.8,28.8,35.0,22.0,13.0,31.0,13.0,8.0,5.0,14.0,11.0,3.0,15.0,8.0,8.0,2.0,-,-,"303,4","208,4"
55,CHARLIE DIXON,817,GBR,41.0,41.0,36.0,20.0,24.0,19.0,19.0,26.0,34.0,55.0,54.0,55.0,33.0,33.0,19.0,11.0,39.0,49.0,-,-,608,416
56,FRANCISCO SAUBIDET BIRKNER,1534,,23.0,6.0,21.0,(58.0),20.0,27.0,27.0,(58.0),(58.0),(58.0),49.0,54.0,17.0,27.0,27.0,21.0,58.0,41.0,-,-,650,418
56,MERVE VATAN VATAN,3433,,27.0,24.0,26.0,30.0,35.0,28.0,31.0,(46.0),11.0,6.0,17.0,12.0,5.0,1.0,19.0,5.0,10.0,8.0,-,-,341,224
57,MATTEO BENZ,3317,,37.0,39.0,25.0,41.0,22.0,17.0,20.0,22.0,32.0,38.0,53.0,45.0,25.0,33.0,29.0,35.0,41.0,48.0,-,-,602,421
57,LINOY GEVA,2835,,33.0,30.0,22.0,22.0,29.0,17.0,24.0,24.0,14.0,20.0,(45.0),4.0,17.0,15.0,9.0,7.0,16.0,10.0,-,-,358,230
58,GASPARD CARFANTAN,1614,,22.0,(58.0),26.0,30.0,37.0,23.0,27.0,28.0,1.0,4.0,3.0,5.0,8.0,6.0,-,-,-,-,-,-,278,175
58,ALEKSANDRA BLINNIKKA,95,FIN,25.0,20.0,15.0,23.0,27.0,34.0,28.0,27.0,7.0,30.0,10.0,5.0,11.0,17.0,13.0,(45.0),18.0,(45.0),-,-,400,248
59,ENDRE FUNNEMARK,1306,,32.0,35.0,20.0,39.0,33.0,35.0,26.0,19.0,7.0,1.0,1.0,1.0,4.0,4.0,-,-,-,-,-,-,257,176
59,GIOVANNA PRADA,1677,BRA,20.0,31.0,24.0,17.0,14.0,20.0,27.0,23.0,12.0,10.0,19.0,(45.0),43.0,31.0,11.0,21.0,17.0,9.0,-,-,394,248
60,MAX BEAMAN BEAMAN,3353,,28.0,58.0,24.0,16.0,28.0,24.0,36.0,27.0,2.0,2.0,2.0,2.0,6.0,5.0,-,-,-,-,-,-,260,190
