Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,F,Q,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,SQ,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,19Q,20Q,SMQ,M/F5Q,Total,Nett
55,"THOMAS STAPLES, WILLIAM STAPLES",4779,CAN,(37.0),16.0,29.0,30.0,22.0,21.0,7.0,24.0,21.0,-,-,(47.0),40.0,25.0,8.0,35.0,26.0,37.0,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,447.0,400.0
56,"PEDRO FELIPE ROBLES, CARMINA SOFIA FUENTES",3942,CHI,30.0,26.0,29.0,27.0,26.0,18.0,22.0,26.0,21.0,-,-,20.0,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,266.0,236.0
56,"ANDER BELAUSTEGUIGOITIA, DANEL BELAUSTEGUIGOITIA",214,MEX,33.0,23.0,10.0,32.0,30.0,26.0,25.0,26.0,29.0,-,-,32.0,31.0,24.0,19.0,14.0,32.0,29.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,433.0,400.0
56,ELIA COLOMBO,1244,SUI,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,1.0,5.0,7.0,3.0,14.0,11.0,(60.0),(16.0),4.0,-,19.0,5320.0,5320.0,(60.0),(60.0),41.0,41.0,60.0,60.0,60.0,-,,-,628.4,432.4
56,HANNAH ANDERSSOHN,1788,GER,38.0,16.0,39.0,14.0,23.0,6.0,12.0,25.0,22.0,-,-,8.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213.0,174.0
56,WUNIU AYU,5174,CHN,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,17.0,29.0,31.0,27.0,27.0,24.0,32.0,26.0,(48.0),,(34.0),(22.0),5.0,1.0,7.0,(23.0),4.0,16.0,2.0,6.0,1.0,-,-,382.0,255.0
56,THEODOR MIDDELTHON,4743,NOR,26.0,19.0,(52.0),21.0,15.0,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-,8.0,5.0,10.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,190.0,138.0,
57,NELA SADILKOVA,3631,CZE,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,(29.0),23.0,15.0,23.0,21.0,25.0,(28.0),22.0,27.0,,18.0,17.0,4.0,(23.0),5.0,19.0,20.0,13.0,15.0,13.0,(33.0),-,-,393.0,280.0
57,"TAL SADE, ELY REUVENY",4670,ISR,32.0,31.0,27.0,31.0,18.0,17.0,21.0,32.0,12.0,-,-,30.0,9.0,30.0,29.0,28.0,29.0,30.0,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,437.0,405.0
57,DIMITRI PERONI,1131,ITA,14.0,35.0,21.0,(52.0),3.0,26.0,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,8.0,9.0,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,191.0,139.0,
57,FABIEN PIANAZZA,1397,FRA,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,21.0,19.0,15.0,17.0,(33.0),20.0,27.0,22.0,(36.0),-,(56.0),49.0,27.0,50.0,50.0,29.0,17.0,(55.0),32.0,46.0,-,,-,621.0,441.0
57,NANCY HIGHFIELD,3603,HKG,27.0,27.0,35.0,26.0,19.0,11.0,14.0,35.0,6.0,-,-,14.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221.0,186.0
57,"MARIA JOSE CUCALON, JONATHAN MARTINETTI",3121,ECU,28.0,26.0,26.0,26.0,27.0,25.0,16.0,25.0,20.0,-,-,(31.0),25.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,275.0,244.0
58,DUNCAN MONAGHAN,1184,GBR,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,23.0,13.0,19.0,9.0,(26.0),25.0,16.0,(50.0),17.0,-,49.0,47.0,(60.0),47.0,4.0,37.0,41.0,48.0,(54.0),53.0,-,,-,638.0,448.0
58,VIKTORIJA ANDRULYTE,5044,LTU,(52.0),26.0,37.0,10.0,22.0,14.0,22.0,5.0,4.0,-,-,6.0,(51.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,249.0,197.0
58,JULIAN HOFFMANN,2396,GER,17.0,25.0,33.0,(52.0),26.0,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,3.0,4.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,193.0,141.0,
58,"MYKHAILO BILOHORODSKYI, POLINA ZATOCHNA",3583,UKR,29.0,28.0,25.0,30.0,28.0,27.0,17.0,29.0,24.0,-,-,26.0,26.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,289.0,259.0
58,LUCY KENYON,2928,GBR,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,(37.0),(31.0),17.0,27.0,11.0,18.0,27.0,25.0,17.0,,21.0,8.0,(32.0),24.0,19.0,31.0,(36.0),8.0,7.0,15.0,7.0,-,-,418.0,282.0
58,"FIN ARMSTRONG, EWAN GRIBBIN",1467,GBR,25.0,22.0,28.0,29.0,30.0,24.0,15.0,28.0,29.0,-,-,21.0,21.0,22.0,27.0,40.0,39.0,18.0,30.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,448.0,408.0
59,"TERUAKI SHIMAKURA, KAMISONODA SHINTARO SEIJI",4720,JPN,16.0,26.0,33.0,24.0,16.0,35.0,16.0,33.0,26.0,-,-,7.0,35.0,34.0,(47.0),30.0,36.0,31.0,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,472.0,425.0
59,"MATIAS MONTINHO, MANUELA PAULO",3306,ANG,28.0,24.0,28.0,(32.0),(32.0),26.0,24.0,27.0,26.0,-,-,(31.0),(31.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,309.0,277.0
59,NOOA LAUKKANEN,3753,FIN,(38.0),11.0,8.0,14.0,29.0,28.0,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,7.0,23.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,181.0,143.0,
59,BARBARA WINAU ORDINAS,448,ESP,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,17.0,21.0,15.0,17.0,21.0,(48.0),36.0,31.0,33.0,,(41.0),(48.0),13.0,10.0,21.0,3.0,22.0,7.0,14.0,(25.0),14.0,-,-,457.0,295.0
59,WILL MCMILLAN,5131,THA,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,13.0,11.0,17.0,41.0,4.0,26.0,(44.0),8.0,(60.0),-,57.0,55.0,48.0,55.0,(60.0),41.0,41.0,(60.0),60.0,60.0,-,,-,761.0,537.0
59,STEPHANIE NORTON,4602,HKG,15.0,43.0,38.0,43.0,20.0,21.0,5.0,6.0,23.0,-,-,9.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240.0,197.0
60,"DENISE HELENA RUI PARRUQUE, ALCIDIO PORTUGAL ALMEIDA LINO",1092,MOZ,(32.0),29.0,27.0,28.0,(32.0),28.0,26.0,28.0,25.0,-,-,(31.0),28.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,314.0,282.0
60,ENDRE FUNNEMARK FUNNEMARK,1307,NOR,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,25.0,21.0,23.0,(41.0),(31.0),31.0,18.0,24.0,13.0,-,4.0,2.0,6.0,1.0,5.0,(11.0),5.0,(8.0),2.0,1.0,-,,-,272.0,181.0
60,PIA KUHLMANN,4013,GER,39.0,24.0,32.0,23.0,31.0,28.0,11.0,7.0,28.0,-,-,11.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,237.0,198.0
60,JAMES PERCIVAL,2103,GBR,GBRJP113,(37.0),24.0,28.0,11.0,28.0,-,-,-,-,-,-,-,-,-,-,-,-,-,21.0,18.0,6.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.0,194.0,157.0
60,YUKI SUNAGA,5238,JPN,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,27.0,17.0,27.0,23.0,19.0,26.0,(30.0),30.0,28.0,,(33.0),15.0,7.0,(48.0),13.0,9.0,2.0,21.0,(27.0),19.0,22.0,-,-,443.0,305.0
