Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
17,"STEFANO CHERIN, ANDREA TESEI",4588,ITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,10.0,10.0,6.0,8.0,7.0,4.0,(23.0),13.0,22.0,17.0,26.0,9.0,9.0,16.0,0.0,193,170
17,"SINEM KURTBAY, SILJA KANERVA",4507,FIN,(35.0),35.0,20.0,16.0,9.0,17.0,21.0,4.0,16.0,15.0,16.0,16.0,6.0,16.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,216.0,251.0
18,"ANDREA BREWSTER, SASKIA TIDEY",231,IRL,8.0,9.0,8.0,29.0,21.0,22.0,30.0,14.0,25.0,(35.0),35.0,5.0,9.0,3.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,224.0,259.0
18,"CARLOS ROBLES, TREVOR BURD",750,ESP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.0,8.0,12.0,6.0,14.0,9.0,(26.0),8.0,10.0,15.0,13.0,9.0,17.0,19.0,21.0,0.0,202,176
19,"LUCA DUBBINI, ROBERTO DUBBINI",2900,ITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.0,17.0,13.0,15.0,4.0,11.0,12.0,19.0,4.0,16.0,8.0,22.0,(24.0),17.0,10.0,0.0,211,187
19,"OLIVIA PRICE, ELIZA SOLLY",3812,AUS,(35.0),35.0,35.0,19.0,27.0,14.0,29.0,8.0,7.0,8.0,4.0,15.0,35.0,12.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,251.0,286.0
20,"KIMBERLY LIM, CECILIA LOW",2573,SGP,(35.0),35.0,15.0,12.0,10.0,3.0,9.0,18.0,24.0,21.0,35.0,18.0,16.0,17.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,268.0,303.0
20,"YANNICK LEFEBVRE, TOM PELSMAEKERS",5213,BEL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,(38.0),4.0,7.0,22.0,16.0,22.0,12.0,9.0,14.0,19.0,19.0,22.0,11.0,8.0,0.0,227,189
21,"PRZEMEK FILIPOWICZ, JACEK PIASECKI",4069,POL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,12.0,8.0,16.0,16.0,12.0,20.0,4.0,20.0,17.0,14.0,11.0,16.0,(23.0),15.0,0.0,216,193
21,"KATLIN TAMMISTE, ANNA MARIA SEPP",2509,EST,15.0,(35.0),22.0,31.0,16.0,35.0,2.0,30.0,18.0,22.0,15.0,17.0,18.0,10.0,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,271.0,306.0
22,"BENJAMIN JOSE GREZ AHRENS, CRISTOBAL JOSE GREZ AHRENS",515,CHI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,20.0,13.0,3.0,2.0,8.0,19.0,22.0,(26.0),21.0,16.0,21.0,23.0,15.0,6.0,0.0,226,200
22,"OTTAVIA RAGGIO, PAOLA BERGAMASCHI",3842,ITA,(35.0),35.0,35.0,13.0,11.0,2.0,22.0,9.0,20.0,35.0,17.0,20.0,11.0,22.0,21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,273.0,308.0
23,"ANNA LUSCHAN, EVA-MARIA SCHIMAK",295,AUT,9.0,(35.0),21.0,28.0,7.0,25.0,23.0,22.0,22.0,13.0,35.0,14.0,17.0,24.0,23.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,283.0,318.0
23,"FEDERICO ALONSO, ARTURO ALONSO",1422,ESP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.0,6.0,9.0,(38.0),12.0,8.0,21.0,24.0,17.0,7.0,22.0,2.0,20.0,18.0,24.0,0.0,247,209
24,"JESKE KISTERS, JOSCA HUMMEL",2191,NED,-,-,11.0,4.0,20.0,16.0,18.0,15.0,12.0,(35.0),13.0,35.0,35.0,35.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,284.8,319.8
24,"KEVIN FISCHER, YANN JAUVIN",2550,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,(26.0),14.0,9.0,9.0,11.0,23.0,13.0,23.0,19.0,20.0,13.0,14.0,14.0,23.0,0.0,245,219
25,"JACK HAWKINS, CHRISTOPHER THOMAS",2046,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(28.0),18.0,17.0,4.0,20.0,5.0,17.0,21.0,19.0,18.0,21.0,8.0,18.0,20.0,26.0,0.0,260,232
25,"MARTINE GRAEL, KAHENA KUNZE",3243,BRA,3.0,6.0,3.0,18.0,1.0,5.0,(35.0),35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,316.0,351.0
26,"CARLA MUNTE, MARTA MUNTE",737,ESP,(35.0),35.0,23.0,17.0,19.0,35.0,24.0,29.0,26.0,20.0,20.0,22.0,35.0,18.0,24.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,347.0,382.0
26,"PAVLE KOSTOV, PETAR CUPAC",3931,CRO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(38.0),9.0,5.0,12.0,38.0,6.0,1.0,5.0,5.0,1.0,17.0,13.0,0.0,0.0,0.0,0.0,150,112
27,"KATRINE BENDIX KROGH, CHRISTINA ANDERSERN",2512,DEN,(35.0),35.0,25.0,24.0,15.0,28.0,12.0,23.0,23.0,35.0,35.0,35.0,19.0,26.0,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,357.0,392.0
27,"SEBASTIEN SCHNEITER, LUCIEN CUJEAN",4420,SUI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.0,20.0,22.0,8.0,(38.0),19.0,8.0,3.0,6.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,154,116
28,"KLARA WESTER, REBECCA NETZLER",2590,SWE,(35.0),35.0,35.0,20.0,22.0,26.0,14.0,17.0,21.0,35.0,35.0,35.0,22.0,7.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,359.0,394.0
28,"FRITIOF HEDSTROM, VICTOR VASTERNAS",1576,SWE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.0,16.0,11.0,(21.0),10.0,10.0,2.0,19.0,2.0,10.0,6.0,14.0,0.0,0.0,0.0,0.0,139,118
29,"LILI SEBESI, ALBANE DUBOIS",2799,FRA,(35.0),35.0,24.0,25.0,29.0,13.0,27.0,28.0,35.0,35.0,35.0,35.0,20.0,19.0,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,379.0,414.0
29,"UBERTO CRIVELLI VISCONTI, GIANMARCO TOGNI",4929,ITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,14.0,10.0,(30.0),17.0,20.0,7.0,4.0,25.0,11.0,5.0,10.0,0.0,0.0,0.0,0.0,157,127
30,"TIM FISCHER, FABIAN GRAF",4809,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.0,21.0,23.0,5.0,11.0,24.0,20.0,(25.0),3.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,154,129
30,"ANASTASIA GUSEVA, IANA STOKOLESOVA",203,RUS,(35.0),35.0,35.0,14.0,26.0,27.0,17.0,26.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,425.0,460.0
31,"MADELEINE ZIELINSKA, NADIA ZIELINSKA",2987,POL,(35.0),35.0,35.0,26.0,30.0,35.0,19.0,32.0,35.0,35.0,35.0,35.0,21.0,35.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,443.0,478.0
31,"RORY HUNTER, NEIL HUNTER",4221,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.0,14.0,8.0,(27.0),23.0,12.0,5.0,9.0,7.0,6.0,14.0,15.0,0.0,0.0,0.0,0.0,161,134
32,"SARAH ROECK, LEA TESSA EINBRODT",4354,GER,(35.0),35.0,35.0,33.0,31.0,30.0,25.0,27.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,461.0,496.0
32,"MATHIEU FREI, SEBASTIEN SCOTTO DI FASANO",3289,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0,12.0,(28.0),14.0,28.0,13.0,9.0,12.0,25.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,166,138
33,"ANNE SCHWARZ, MARTINA SCHWARZ",315,GER,(35.0),35.0,35.0,32.0,32.0,35.0,32.0,31.0,35.0,35.0,35.0,35.0,23.0,35.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,465.0,500.0
33,"LARS VAN STEKELENBORG, FLORIS VAN DE WERKEN",2688,NED,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,10.0,19.0,(38.0),25.0,19.0,18.0,7.0,12.0,15.0,8.0,6.0,0.0,0.0,0.0,0.0,182,144
34,"ENIA NINCEVIC, MARINA DUJMOVIC",1310,CRO,(35.0),35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,490.0,525.0
34,"DOMINIK BUKSAK, SZYMON WIERZBICKI",1157,POL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.0,8.0,24.0,(25.0),10.0,15.0,25.0,14.0,4.0,16.0,7.0,8.0,0.0,0.0,0.0,0.0,171,146
35,"ERWAN FISCHER, THIBAULT JULIEN",1352,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.0,16.0,7.0,19.0,17.0,18.0,6.0,21.0,(25.0),13.0,13.0,7.0,0.0,0.0,0.0,0.0,180,155
36,"LUCAS RUAL, CLEMENT PEQUIN",2910,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.0,23.0,19.0,(29.0),13.0,15.0,12.0,6.0,8.0,12.0,15.0,16.0,0.0,0.0,0.0,0.0,192,163
37,"DYLAN FLETCHER, ALAIN SIGN",1190,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(38.0),38.0,21.0,13.0,5.0,6.0,25.0,2.0,1.0,25.0,25.0,4.0,0.0,0.0,0.0,0.0,203,165
38,"THOMAS BARROWS, JOSEPH MORRIS",4756,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.0,11.0,12.0,(28.0),26.0,23.0,25.0,13.0,16.0,4.0,16.0,11.0,0.0,0.0,0.0,0.0,194,166
39,"GABRIEL SKOCZEK, YANN ROCHERIEUX",1591,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(26.0),19.0,14.0,22.0,7.0,21.0,11.0,15.0,13.0,25.0,3.0,18.0,0.0,0.0,0.0,0.0,194,168
40,"JAKOB MEGGENDORFER, ANDREAS SPRANGER",2080,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.0,22.0,16.0,18.0,21.0,(38.0),25.0,11.0,11.0,9.0,10.0,4.0,0.0,0.0,0.0,0.0,206,168
41,"MARTI LLENA PRATS, SANTIAGO ALEGRE PARELLADA",3220,ESP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,24.0,(30.0),3.0,21.0,24.0,14.0,10.0,25.0,14.0,2.0,9.0,0.0,0.0,0.0,0.0,201,171
42,"JUDGE RYAN, HANS HENKEN",2371,USA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(32.0),24.0,21.0,14.0,5.0,23.0,13.0,16.0,25.0,7.0,9.0,19.0,0.0,0.0,0.0,0.0,208,176
43,"JORGE LIMA, JOSE COSTA",2320,POR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.0,(38.0),7.0,19.0,38.0,17.0,3.0,1.0,9.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,220,182
