Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
18,"FISCHER KEVIN, JAUVIN YANN",1481,FRA,13.0,10.0,3.0,14.0,21.0,22.0,(29.0),17.0,18.0,4.0,24.0,14.0,-,189.0,160.0
18,"MEGAN BRICKWOOD, ELEANOR ALDRIDGE",3405,,16.0,16.0,(21.0),14.0,9.0,16.0,17.0,16.0,14.0,16.0,21.0,15.0,-,191.0,170.0
18,FRANCESCA CLAPCICH,1519,,(50.0),26.0,22.0,13.0,19.0,30.0,7.0,1.0,25.0,28.0,-,-,-,221.0,171.0
19,"WILLIAM PHILLIPS, SAM PHILLIPS",5146,,21.0,19.0,21.0,8.0,(26.0),17.0,6.0,20.0,1.0,19.0,4.0,26.0,-,188.0,162.0
19,"LIVIA NAEF, NELIA PUHZE",2849,,19.0,18.0,19.0,19.0,18.0,18.0,16.0,(21.0),21.0,11.0,17.0,18.0,-,215.0,194.0
19,MONIKA MIKKOLA,3546,FIN,16.0,10.0,17.0,7.0,25.0,(45.0),25.0,18.0,29.0,34.0,-,-,-,226.0,181.0
20,"JAKOB MEGGENDORFER, ANDREAS SPRANGER",2080,GER,1.0,(27.0),26.0,17.0,7.0,16.0,12.0,27.0,25.0,18.0,15.0,12.0,-,203.0,176.0
20,"ANGELIKA KOHLENDORFER, LISA FARTHOFER",279,,20.0,17.0,18.0,20.0,(21.0),9.0,20.0,21.0,19.0,19.0,14.0,21.0,-,219.0,198.0
20,VIKTORIJA ANDRULYTE,5044,LTU,7.0,5.0,6.0,2.0,35.0,33.0,37.0,39.0,(42.0),23.0,-,-,-,229.0,187.0
21,MAITE CARLIER,3017,BEL,(48.0),24.0,46.0,9.0,11.0,21.0,9.0,20.0,35.0,16.0,-,-,-,239.0,191.0
21,"PRZEMEK FILIPOWICZ, JACEK NOWAK",4068,,6.0,5.0,23.0,(25.0),14.0,18.0,13.0,24.0,22.0,11.0,22.0,19.0,-,202.0,177.0
22,GEORGINA POVALL,1643,GBR,9.0,33.0,13.0,5.0,32.0,(40.0),22.0,38.0,22.0,25.0,-,-,-,239.0,199.0
22,"YANNICK LEFEBVRE, TOM PELSMAEKERS",5213,BEL,4.0,17.0,18.0,26.0,24.0,(28.0),17.0,21.0,15.0,6.0,21.0,13.0,-,210.0,182.0
23,"FRITIOF HEDSTROM, OTTO HAMEL",1575,,(29.0),29.0,14.0,29.0,15.0,11.0,15.0,29.0,29.0,10.0,2.0,8.0,-,220.0,191.0
23,MARIE BOLOU,3141,FRA,28.0,41.0,32.0,29.0,3.0,1.0,(56.0),24.0,7.0,35.0,-,-,-,256.0,200.0
