Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,Total,Nett
103,BRUUN KASPER,680,,(56.0),51.0,41.0,49.0,51.0,46.0,48.0,14.0,14.0,-,370.0,314.0
104,PEDERSEN ANDREAS,3938,,62.0,52.0,60.0,(76.0),35.0,76.0,13.0,20.0,3.0,-,397.0,321.0
105,GRAHAM-TROLL JACK,1716,,71.0,54.0,43.0,16.0,40.0,55.0,26.0,17.0,(77.0),-,399.0,322.0
106,HOWARTH FREDDIE,1922,,55.0,63.0,44.0,41.0,26.0,(76.0),42.0,23.0,28.0,-,398.0,322.0
107,JUNKERS KARLIS,2423,,54.0,67.0,56.0,50.0,45.0,18.0,18.0,22.0,(77.0),-,407.0,330.0
108,COLQUITT GEORGE,936,,53.0,52.0,64.0,58.0,29.0,52.0,20.0,(77.0),13.0,-,418.0,341.0
109,CASSANMAGNAGO VALERIO,777,,13.0,38.0,55.0,76.0,31.0,76.0,16.0,37.0,(77.0),-,419.0,342.0
110,BOOT MAARTEN,614,,60.0,63.0,47.0,25.0,39.0,76.0,(77.0),24.0,12.0,-,423.0,346.0
111,BAKER EDWARD,434,,40.0,47.0,58.0,(63.0),56.0,57.0,37.0,9.0,46.0,-,413.0,350.0
112,CURTIS JAMES,991,,34.0,33.0,42.0,55.0,44.0,54.0,(56.0),45.0,47.0,-,410.0,354.0
113,HUGHES OISIN,1933,,32.0,49.0,(70.0),46.0,41.0,52.0,40.0,55.0,43.0,-,428.0,358.0
114,HUIZER PIETER,1944,,50.0,21.0,45.0,57.0,58.0,49.0,(77.0),52.0,30.0,-,439.0,362.0
115,RECK SILAS,4116,,38.0,(58.0),35.0,45.0,57.0,56.0,30.0,51.0,53.0,-,423.0,365.0
116,IPSEN JOHAN,2000,,51.0,68.0,59.0,10.0,54.0,39.0,(77.0),11.0,77.0,-,446.0,369.0
117,SANTELLA STEFANO,4325,,69.0,(76.0),44.0,52.0,49.0,26.0,25.0,50.0,55.0,-,446.0,370.0
118,HOSGOR ALP,1917,,46.0,62.0,54.0,40.0,(76.0),58.0,33.0,32.0,48.0,-,449.0,373.0
119,WRIGHT ARCHIE,5170,,64.0,55.0,34.0,57.0,(76.0),59.0,14.0,58.0,35.0,-,452.0,376.0
120,JUUL ROBIN,2440,,49.0,54.0,56.0,(66.0),53.0,50.0,8.0,63.0,45.0,-,444.0,378.0
