Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,1Q,2Q,3Q,4Q,5Q,6Q,7Q,Total,Nett
40,KOWALSKI MARTIN,2622,,(50.0),37.0,33.0,29.0,-,-,30.0,36.0,37.0,(46.0),33.0,23.0,9.0,363.0,267.0
40,SEGNINI NICOL,4428,,39.0,(47.0),35.0,47.0,36.0,39.0,39.0,(50.0),30.0,31.0,-,-,-,393.0,296.0
41,PERELLO MARGA,3958,,45.0,(49.0),43.0,37.0,46.0,38.0,29.0,47.0,(57.0),13.0,-,-,-,404.0,298.0
41,HUERCANOS MACHIMBARRENA JAGOBA,1931,,30.0,38.0,18.0,(44.0),-,-,35.0,(63.0),25.0,29.0,26.0,26.0,40.0,374.0,267.0
42,SPANOS PANAGIOTIS,4564,,23.0,38.0,37.0,(41.0),-,-,(63.0),45.0,28.0,5.0,20.0,40.0,33.0,373.0,269.0
42,BAUDET LEONIE,470,,30.0,43.0,(56.0),(54.0),44.0,53.0,37.0,13.0,46.0,35.0,-,-,-,411.0,301.0
43,THOMMEN MAXIME,4786,,24.0,29.0,(30.0),19.0,-,-,(63.0),40.0,31.0,32.0,53.0,24.0,25.0,370.0,277.0
43,PORTOLOU VARVARA,4058,,(53.0),51.0,(54.0),46.0,39.0,48.0,22.0,40.0,29.0,27.0,-,-,-,409.0,302.0
44,VIRGILI PASQUAL DEL RIQUELME ADOLFO,5055,,22.0,(63.0),32.0,42.0,-,-,47.0,38.0,15.0,10.0,45.0,(54.0),31.0,399.0,282.0
44,JORDAN AGUSTINA,2313,,38.0,48.0,(51.0),48.0,41.0,44.0,(50.0),46.0,37.0,19.0,-,-,-,422.0,321.0
45,HARTENBERGER ELISA,1819,,34.0,46.0,47.0,(52.0),(52.0),47.0,23.0,49.0,42.0,37.0,-,-,-,429.0,325.0
45,GUARDIGLI MATTEO,1738,,26.0,22.0,(49.0),46.0,-,-,38.0,35.0,26.0,16.0,43.0,(60.0),42.0,403.0,294.0
46,FLACHON THOMAS,1486,,32.0,15.0,(45.0),24.0,-,-,50.0,23.0,29.0,51.0,25.0,46.0,(57.0),397.0,295.0
46,MIRZAI ELLA,3515,,46.0,25.0,50.0,(53.0),(53.0),53.0,(34.0),27.0,50.0,49.0,-,-,-,440.0,334.0
47,STRUTHERS NORMAN,4628,,(59.0),40.0,12.0,27.0,-,-,23.0,26.0,49.0,(52.0),38.0,49.0,36.0,411.0,300.0
47,AQUILINA LACEY,351,,45.0,51.0,50.0,48.0,(57.0),44.0,36.0,(53.0),18.0,50.0,-,-,-,452.0,342.0
48,MOHAMAD LATIF NUR ALIA AMERA,3529,,42.0,38.0,(52.0),49.0,51.0,52.0,34.0,29.0,(57.0),47.0,-,-,-,451.0,342.0
48,CAZADOR PEP,791,,13.0,(32.0),29.0,32.0,-,-,(63.0),27.0,11.0,63.0,34.0,30.0,63.0,397.0,302.0
49,SUAREZ PEREZ GONZALO,4637,,(57.0),23.0,28.0,22.0,-,-,(63.0),63.0,36.0,56.0,27.0,6.0,45.0,426.0,306.0
49,GUARAGNA NICOL,1736,,(54.0),39.0,49.0,45.0,43.0,49.0,44.0,33.0,45.0,(51.0),-,-,-,452.0,347.0
50,CORTE SUALON GIULIA,958,,49.0,53.0,48.0,(54.0),50.0,43.0,48.0,34.0,(57.0),42.0,-,-,-,478.0,367.0
