Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
33,PUJOL BAJO CRISTINA,4073,,7.0,26.0,8.0,(28.0),19.0,13.0,19.0,21.0,26.0,(48.0),46.0,-,261.0,185.0
34,GASPIC BRUNO,1616,,5.0,(31.0),25.0,24.0,-,-,48.0,21.0,(63.0),7.0,33.0,24.0,281.0,187.0
34,FLORIDIA JOYCE,1500,,(57.0),10.0,8.0,28.0,29.0,21.0,6.0,18.0,42.0,25.0,(50.0),-,294.0,187.0
35,TEPLY VIKTOR,4716,,6.0,(31.0),24.0,17.0,-,-,36.0,45.0,14.0,2.0,45.0,(58.0),278.0,189.0
35,LULIC SANDRA,2965,,25.0,19.0,10.0,12.0,25.0,(27.0),32.0,(54.0),22.0,11.0,44.0,-,281.0,200.0
36,BENGTSON EMIL,503,,17.0,8.0,(28.0),13.0,-,-,47.0,31.0,10.0,(52.0),42.0,27.0,275.0,195.0
36,VOROBEVA ELENA,5073,,22.0,(52.0),26.0,23.0,5.0,8.0,(36.0),16.0,35.0,32.0,34.0,-,289.0,201.0
37,BORIO ATTILIO,620,,(32.0),16.0,24.0,6.0,-,-,20.0,(54.0),26.0,31.0,36.0,39.0,284.0,198.0
37,MAKRI MARILENA,3025,,8.0,26.0,27.0,20.0,(57.0),11.0,46.0,20.0,1.0,47.0,(48.0),-,311.0,206.0
38,BOLAT EBRU,611,,27.0,4.0,29.0,10.0,17.0,(34.0),40.0,31.0,(48.0),20.0,33.0,-,293.0,211.0
38,WIERSEMA WILLEM,5123,,13.0,(32.0),9.0,9.0,-,-,45.0,(48.0),21.0,28.0,37.0,44.0,286.0,206.0
39,VERSTRAELEN ELINE,5013,,(41.0),28.0,7.0,40.0,6.0,19.0,30.0,(51.0),18.0,41.0,26.0,-,307.0,215.0
39,DICKINSON FINLEY,1116,,(38.0),31.0,14.0,12.0,-,-,(53.0),44.0,6.0,38.0,49.0,20.0,305.0,214.0
40,BARABINO CESARE,445,,20.0,9.0,(22.0),15.0,-,-,27.0,(55.0),28.0,46.0,55.0,15.0,292.0,215.0
40,ANDERSSOHN HANNAH,223,,15.0,16.0,(26.0),15.0,11.0,17.0,(55.0),50.0,27.0,53.0,13.0,-,298.0,217.0
41,FALASCA LUCIA,1404,,(37.0),25.0,25.0,25.0,16.0,19.0,(45.0),9.0,43.0,31.0,29.0,-,304.0,222.0
41,GIACOMONI PIETRO,1658,,(51.0),14.0,35.0,7.0,-,-,52.0,23.0,(57.0),25.0,23.0,43.0,330.0,222.0
42,MUSONE GIACOMO,3580,,14.0,12.0,12.0,(22.0),-,-,39.0,40.0,40.0,30.0,38.0,(46.0),293.0,225.0
42,DELLA VALLE GIORGIA,1083,,18.0,(30.0),17.0,26.0,20.0,26.0,18.0,38.0,51.0,24.0,(54.0),-,322.0,238.0
43,SCHUBERT JOHAN,4388,,2.0,(35.0),28.0,4.0,-,-,32.0,52.0,(63.0),20.0,34.0,54.0,324.0,226.0
43,KAKON SHAI,2454,,36.0,(41.0),13.0,24.0,26.0,20.0,43.0,22.0,(46.0),36.0,31.0,-,338.0,251.0
44,LITTLEWOOD ZAC,2844,,22.0,(28.0),2.0,17.0,-,-,13.0,1.0,53.0,56.0,(63.0),63.0,318.0,227.0
44,KUMPINA ESTERE,2646,,(34.0),29.0,19.0,9.0,18.0,27.0,(54.0),40.0,44.0,34.0,40.0,-,348.0,260.0
45,REINO MARTINA,4125,,10.0,(31.0),15.0,30.0,21.0,26.0,44.0,34.0,47.0,(50.0),36.0,-,344.0,263.0
45,MCMAHON EWAN,3401,,20.0,14.0,(21.0),2.0,-,-,(46.0),39.0,46.0,40.0,25.0,41.0,294.0,227.0
46,BOUGIOURIS ADONIS,635,,(60.0),10.0,37.0,5.0,-,-,38.0,(63.0),39.0,51.0,13.0,35.0,351.0,228.0
46,TOMBE YUMIKO,4896,,17.0,17.0,(31.0),25.0,27.0,31.0,47.0,30.0,24.0,45.0,(52.0),-,346.0,263.0
47,PAPADAKOS GEORGIOS,3875,,17.0,8.0,9.0,(25.0),-,-,43.0,(53.0),48.0,44.0,35.0,25.0,307.0,229.0
47,HENSEL LINDA,1885,,(50.0),29.0,12.0,11.0,16.0,23.0,50.0,49.0,39.0,38.0,(53.0),-,370.0,267.0
48,SACKER MOLLY,4272,,(35.0),19.0,19.0,27.0,27.0,25.0,41.0,42.0,30.0,(54.0),37.0,-,356.0,267.0
48,GASPIC STIPE,1617,,(31.0),24.0,22.0,2.0,-,-,15.0,49.0,50.0,13.0,57.0,(63.0),326.0,232.0
49,MARKOVIC ILIJA,3188,,25.0,2.0,15.0,(49.0),-,-,42.0,50.0,35.0,36.0,(63.0),29.0,346.0,234.0
49,TALLURI MATILDA,4673,,10.0,18.0,21.0,18.0,23.0,(28.0),48.0,43.0,(53.0),40.0,49.0,-,351.0,270.0
50,VITTECOQ CORALIE,5060,,12.0,24.0,(41.0),20.0,34.0,25.0,37.0,(52.0),37.0,35.0,47.0,-,364.0,271.0
50,ROMANYK ARTHIT MIKHAIL,4210,,9.0,8.0,(17.0),5.0,-,-,18.0,36.0,51.0,(63.0),63.0,57.0,327.0,247.0
51,BARTH JUSTIN,464,,4.0,20.0,18.0,(31.0),-,-,57.0,13.0,54.0,35.0,51.0,(63.0),346.0,252.0
51,SAVELLI SARA,4370,,22.0,37.0,11.0,35.0,(57.0),16.0,28.0,46.0,49.0,(55.0),32.0,-,388.0,276.0
52,DEWEY MAURA,1107,,11.0,28.0,(31.0),30.0,24.0,24.0,35.0,33.0,54.0,44.0,(55.0),-,369.0,283.0
52,KARK WILHELM,2481,,18.0,17.0,19.0,(39.0),-,-,29.0,46.0,33.0,47.0,(52.0),52.0,352.0,261.0
53,ESCUDERO DANIEL,1355,,(53.0),11.0,20.0,23.0,-,-,41.0,(58.0),23.0,57.0,43.0,49.0,378.0,267.0
53,RIZZARDI CARLOTTA,4164,,24.0,24.0,13.0,17.0,23.0,(29.0),56.0,37.0,40.0,49.0,(57.0),-,369.0,283.0
54,VAN OFWEGEN THOMAS,4987,,(37.0),17.0,23.0,18.0,-,-,44.0,42.0,41.0,43.0,(47.0),42.0,354.0,270.0
54,SCHEWE LAURA,4378,,19.0,10.0,22.0,31.0,31.0,(34.0),52.0,36.0,(55.0),46.0,45.0,-,381.0,292.0
55,CONRADI TIM,947,,18.0,4.0,33.0,(38.0),-,-,(58.0),37.0,47.0,45.0,50.0,38.0,368.0,272.0
55,PETEH TEA,3966,,16.0,5.0,30.0,(35.0),33.0,30.0,53.0,(56.0),41.0,56.0,43.0,-,398.0,307.0
56,ROCA DE TOGORES ASCENSION,4181,,32.0,8.0,23.0,32.0,(45.0),17.0,51.0,(53.0),52.0,52.0,51.0,-,416.0,318.0
56,MOTTE BAUDOUIN,3565,,15.0,13.0,10.0,(63.0),-,-,(59.0),57.0,36.0,55.0,53.0,37.0,398.0,276.0
57,CHEVRIER LUC,847,,6.0,(48.0),21.0,21.0,-,-,(56.0),56.0,44.0,41.0,40.0,51.0,384.0,280.0
58,JUHASZ JAMES,2374,,(63.0),9.0,22.0,15.0,-,-,51.0,43.0,37.0,(58.0),58.0,47.0,403.0,282.0
59,MADONICH OSKAR,2988,,10.0,25.0,(33.0),13.0,-,-,60.0,60.0,7.0,(63.0),54.0,59.0,384.0,288.0
60,BORCH NIKOLAJ,618,,9.0,25.0,(31.0),11.0,-,-,54.0,(59.0),45.0,54.0,48.0,48.0,384.0,294.0
61,VALENTINO LUCA,4968,,8.0,(43.0),29.0,16.0,-,-,31.0,(61.0),49.0,53.0,59.0,55.0,404.0,300.0
62,BARRETO HASCHKE LEOPOLDO,453,,21.0,21.0,14.0,(39.0),-,-,55.0,51.0,(63.0),48.0,39.0,53.0,404.0,302.0
