Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,Total,Nett
25,"ARIELLE MORGAN, HEATHER MYATT",364,CAN,15.0,9.0,7.0,5.0,19.0,21.0,23.0,24.0,9.0,14.0,(26.0),22.0,21.0,0.0,215,189
26,"RAGNA AGERUP, MAIA AGERUP",4093,NOR,15.0,13.0,5.0,(16.0),5.0,3.0,1.0,1.0,3.0,5.0,7.0,5.0,5.0,0.0,84,68
26,"LUKASZ PRZYBYTEK ,  PAWEL KOLODZINSKI",2955,POL,28.0,(38.0),3.0,4.0,2.0,10.0,7.0,2.0,1.0,3.0,5.0,4.0,26.0,-,133,95
27,"BRAD FUNK ,  TREVOR BURD",641,USA,16.0,9.0,18.0,8.0,8.0,13.0,2.0,5.0,7.0,8.0,10.0,9.0,(26.0),-,139,113
27,"GRISELDA KHNG, SARA TAN",1727,SIN,2.0,(25.0),18.0,14.0,2.0,2.0,7.0,5.0,9.0,4.0,1.0,6.0,4.0,0.0,99,74
28,"UBERTO CRIVELLI VISCONTI ,  GIANMARCO TOGNI",4928,ITA,(25.0),23.0,14.0,18.0,10.0,8.0,3.0,4.0,13.0,7.0,2.0,6.0,13.0,-,146,121
28,"SINEM KURTBAY, SILJA KANERVA",4507,FIN,(13.0),12.0,8.0,11.0,13.0,1.0,4.0,2.0,1.0,1.0,8.0,8.0,7.0,0.0,89,76
29,"LILI SEBESI, JULIE BOSSARD",2800,FRA,(25.0),10.0,9.0,17.0,8.0,13.0,10.0,4.0,2.0,3.0,4.0,3.0,2.0,0.0,110,85
29,"FEDERICO ALONSO TELLECHEA ,  ARTURO ALONSO TELLECHEA",1420,ESP,8.0,11.0,(24.0),22.0,4.0,1.0,13.0,17.0,10.0,2.0,8.0,18.0,9.0,-,147,123
30,"LAURA SCHOFEGGER, ELSA LOVREK",2709,AUT,8.0,(25.0),16.0,17.0,4.0,7.0,2.0,13.0,8.0,6.0,7.0,1.0,3.0,0.0,117,92
30,"BENJAMIN GREZ ,  CRISTOBAL GREZ",509,CHI,20.0,(21.0),6.0,6.0,6.0,2.0,14.0,12.0,12.0,16.0,4.0,11.0,14.0,-,144,123
31,"ERIN BERRY, INGRID MERRY",1344,CAN,(16.0),6.0,13.0,14.0,6.0,10.0,13.0,3.0,5.0,2.0,11.0,12.0,15.0,0.0,126,110
31,"YAGO LANGE ,  KLAUS LANGE",5193,ARG,11.0,14.0,(38.0),38.0,3.0,15.0,1.0,3.0,2.0,4.0,7.0,2.0,26.0,-,164,126
32,"ANN-KRISTIN WEDEMEYER, PIA SOPHIE WEDEMEYER",288,GER,8.0,(25.0),11.0,16.0,11.0,5.0,9.0,23.0,6.0,15.0,3.0,7.0,1.0,0.0,140,115
32,"FRITIOF HEDSTROM ,  NICLAS DURING",1573,SWE,19.0,13.0,(28.0),23.0,12.0,7.0,15.0,1.0,5.0,5.0,13.0,12.0,11.0,-,164,136
33,"DEBBIE CAPOZZI, MAGGIE SHEA",1075,USA,(16.0),14.0,15.0,6.0,10.0,6.0,16.0,6.0,4.0,9.0,12.0,13.0,11.0,0.0,138,122
33,"FREDERICK STRAMMER ,  MICHAEL KUSCHNER",1554,USA,(22.0),10.0,19.0,4.0,13.0,12.0,20.0,10.0,11.0,6.0,11.0,5.0,16.0,-,159,137
34,"MAYUMI ROLLER, KAYLA MCCOMB",3395,ISV,12.0,15.0,17.0,(21.0),9.0,9.0,4.0,14.0,13.0,10.0,11.0,2.0,13.0,0.0,150,129
34,"LEVI SLAP ,  TOM PELSMAEKERS",2770,BEL,17.0,22.0,4.0,(26.0),19.0,21.0,5.0,7.0,8.0,10.0,12.0,10.0,4.0,-,165,139
35,"CARLOS ROBLES LORENTE ,  DANIEL CANOVAS COLON",746,ESP,17.0,20.0,15.0,5.0,5.0,14.0,10.0,8.0,3.0,12.0,14.0,16.0,(26.0),-,165,139
35,"EMILY DELLENBAUGH, ELIZABETH BARRY",1297,USA,(25.0),15.0,14.0,20.0,12.0,4.0,6.0,8.0,17.0,17.0,5.0,11.0,8.0,0.0,162,137
36,"MANU DYEN ,  MARC MALLARET",3061,FRA,9.0,15.0,11.0,13.0,7.0,9.0,9.0,19.0,4.0,1.0,22.0,23.0,(26.0),-,168,142
36,"KIMBERLY LIM, CECILIA LOW",2573,SGP,(25.0),25.0,20.0,18.0,15.0,16.0,12.0,9.0,14.0,7.0,2.0,9.0,6.0,0.0,178,153
37,"GIULIA GENESIO, FRANCESCA VOLPI",1687,ITA,(25.0),15.0,25.0,18.0,3.0,19.0,18.0,10.0,10.0,8.0,15.0,15.0,10.0,0.0,191,166
37,"LUCA DUBBINI ,  ROBERTO DUBBINI",2899,ITA,10.0,5.0,27.0,(30.0),16.0,19.0,6.0,15.0,20.0,14.0,3.0,1.0,7.0,-,173,143
38,"MARIA OTTAVIA RAGGIO, PAOLA BERGAMASCHI",3129,ITA,17.0,(25.0),19.0,19.0,14.0,17.0,5.0,11.0,11.0,16.0,13.0,14.0,14.0,0.0,195,170
38,"ARTEM BASALKIN ,  NIKOLAY CHERNIKOV",380,RUS,14.0,(22.0),13.0,18.0,9.0,16.0,8.0,14.0,14.0,19.0,10.0,7.0,2.0,-,166,144
39,"JACK HAWKINS ,  CHRISTOPHER THOMAS",2043,GBR,(25.0),21.0,8.0,18.3,18.0,11.0,23.0,11.0,15.0,15.0,6.0,3.0,1.0,-,"175,3","150,3"
39,"ANNA LUSCHAN, JOHANNA DAUM",296,AUT,25.0,(25.0),25.0,19.0,7.0,11.0,15.0,12.0,16.0,13.0,10.0,10.0,9.0,0.0,197,172
40,"SEBASTIEN SCHNEITER ,  LUCIEN CUJEAN",4418,SUI,13.0,19.0,8.0,20.0,21.0,4.0,17.0,13.0,(22.0),11.0,15.0,15.0,6.0,-,184,162
40,"CLARA SCHEIWILLER, VIOLETTE LEMERCIER",909,FRA,(25.0),25.0,15.0,15.0,16.0,12.0,11.0,16.0,15.0,12.0,14.0,4.0,23.0,0.0,203,178
41,"RORY HUNTER ,  NEIL HUNTER",4220,GBR,13.0,16.0,18.0,(28.0),1.0,18.0,12.0,9.0,23.0,9.0,19.0,26.0,10.0,-,202,174
41,"JESKE KISTERS, JOSCA HUMMEL",2191,NED,25.0,(25.0),25.0,25.0,1.0,8.0,8.0,7.0,7.0,11.0,23.0,23.0,23.0,0.0,211,186
42,"DOMINIKA VADUROVA, SIMONA BOROSOVA",1163,SVK,(25.0),19.0,21.0,21.0,17.0,14.0,20.0,15.0,12.0,14.0,16.0,16.0,16.0,0.0,226,201
42,"THOMAS BARROWS BARROWS ,  JOSEPH MORRIS",4753,USA,14.0,17.0,(25.0),12.0,11.0,17.0,22.0,20.0,6.0,18.0,16.0,20.0,8.0,-,206,181
43,"ARIANNA GARISTO, VIRGINIA GARISTO",358,ITA,25.0,(25.0),25.0,22.0,17.0,21.0,23.0,17.0,23.0,18.0,19.0,18.0,18.0,0.0,271,246
43,"YANNICK LEFEBVRE ,  MAX SLAP",5211,BEL,24.0,(38.0),16.0,16.0,25.0,6.0,18.0,6.0,9.0,22.0,1.0,17.0,26.0,-,224,186
