Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,Total,Nett
19,THOMAS VAN OFWEGEN,4781,NED,18.0,27.0,(47.0),24.0,22.0,11.0,12.0,-,161.0,114.0
19,CLEMENS KUBBER,916,AUT,(47.0),33.0,25.0,32.0,29.0,21.0,15.0,-,202.0,155.0
19,OSKAR MADONICH,3839,UKR,13.0,2.0,29.0,3.0,9.0,44.0,10.0,21.0,131.0,87.0
19,KLEOPATRA ANASTASSIOU,2597,GRE,29.0,9.0,39.0,46.0,39.0,23.0,-,-,224.0,178.0
19,CHIARA BENINI FLORIANI,849,ITA,7.0,21.0,35.0,(56.0),8.0,4.0,19.0,0.0,150.0,94.0
20,ONDREJ TEPLY,3823,CZE,20.0,17.0,8.0,7.0,12.0,15.0,8.0,23.0,110.0,87.0
20,MARIO PLOMER QUIROGA,3168,ESP,25.0,7.0,20.0,28.0,19.0,17.0,27.0,-,143.0,115.0
20,MATTHEW FLORES,3330,MLT,39.0,37.0,40.0,38.0,15.0,4.0,30.0,-,203.0,163.0
20,MARGA PERELLO,3102,ESP,52.0,25.0,49.0,35.0,21.0,2.0,-,-,233.0,181.0
20,CRISTINA PUJOL BAJO,982,ESP,24.0,11.0,21.0,13.0,36.0,10.0,17.0,0.0,132.0,96.0
21,BERKAY ABAY,534,TUR,26.0,16.0,22.0,3.0,9.0,11.0,36.0,2.0,125.0,89.0
21,JAVIER SEGUI,2152,ESP,31.0,(47.0),21.0,18.0,17.0,15.0,14.0,-,163.0,116.0
21,URSULA BALAS,4943,CRO,9.0,10.0,1.0,16.0,16.0,32.0,46.0,0.0,130.0,98.0
21,LILLY MAY NIEZABITOWSKA,2805,POL,53.0,39.0,31.0,50.0,24.0,16.0,-,-,236.0,183.0
21,NIKOLA BANJAC,3707,SRB,40.0,30.0,21.0,36.0,38.0,20.0,18.0,-,203.0,163.0
22,JAMES PERCIVAL COOKE,2104,GBR,14.0,(47.0),7.0,31.0,10.0,(46.0),16.0,-,171.0,124.0
22,PIA CONRADI,4010,GER,15.0,30.0,46.0,36.0,29.0,31.0,-,-,233.0,187.0
22,ALESSIO SPADONI,106,ITA,7.0,24.0,4.0,5.0,2.0,13.0,38.0,43.0,136.0,93.0
22,BAUDOUIN MOTTE,472,FRA,34.0,35.0,22.0,35.0,24.0,23.0,25.0,-,198.0,163.0
22,EVIE SAUNDERS,1383,AUS,10.0,45.0,37.0,7.0,7.0,11.0,26.0,0.0,143.0,98.0
23,JULIAN HOFFMANN,2396,GER,4.0,(47.0),11.0,4.0,17.0,14.0,34.0,13.0,144.0,97.0
23,PANAGIOTIS SPANOS,3872,GRE,19.0,27.0,27.0,25.0,18.0,32.0,8.0,-,156.0,124.0
23,JULIA BUESSELBERG,2382,GER,2.0,16.0,11.0,36.0,24.0,(56.0),11.0,0.0,156.0,100.0
23,HANNAH ANDERSSOHN,1788,GER,24.0,38.0,35.0,39.0,(56.0),3.0,-,-,244.0,188.0
23,CHRIS BOBOTAS,864,GRE,36.0,15.0,(47.0),21.0,36.0,30.0,26.0,-,211.0,164.0
24,ANNA MUNCH,298,DEN,15.0,44.0,(56.0),2.0,6.0,6.0,28.0,0.0,157.0,101.0
24,MARTIN KOWALSKI,3231,FRA,3.0,27.0,28.0,27.0,14.0,30.0,26.0,-,155.0,125.0
24,ANDRIANI GEORGIOU,267,CYP,10.0,36.0,27.0,31.0,47.0,44.0,-,-,235.0,188.0
24,JOSHUA HIGGINS,2348,BAH,38.0,(47.0),31.0,39.0,31.0,16.0,10.0,-,212.0,165.0
