Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,Total,Nett
30,AINA BAUZA ROIG,54,ESP,(51.0),21.0,38.0,42.0,29.0,-,-,-,-,-,-,-,-,-,-,-,-,11.0,46.0,5.0,(57.0),47.0,41.0,-,-,-,-,-,-,-,-,-,-,-,-,388.0,280.0
30,"LAURA SCHOFEGGER, ANNA BOUSTANI",2708,,19.0,12.0,18.0,12.0,11.0,(32.0),19.0,16.0,16.0,6.0,1.0,21.0,21.0,4.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,214.0,182.0
30,NAZLI CAGLA DONERTAS,3624,TUR,(26.0),25.0,5.0,3.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,15.0,32.0,38.0,33.0,25.0,(49.0),-,-,-,-,-,-,-,-,-,-,-,-,258.0,183.0
30,ELIOT MERCERON,1252,SUI,2.0,(28.0),13.0,9.0,18.0,18.0,-,-,-,-,-,-,-,-,-,-,-,34.0,13.0,(50.0),32.0,34.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,265.0,187.0
30,ALP BALTALI,170,TUR,10.0,41.0,38.0,(44.0),39.0,36.0,-,-,-,-,-,-,-,-,-,-,-,(53.0),32.0,18.0,24.0,21.0,28.0,-,-,-,-,-,-,-,-,-,-,-,-,384.0,287.0
30,"JAMES GROGAN, MAX PAUL",2091,,13.0,8.0,4.0,1.0,10.0,13.0,(27.0),22.0,20.0,15.0,4.0,12.0,7.0,18.0,11.0,6.0,-,13.0,8.0,4.0,1.0,10.0,13.0,(27.0),22.0,20.0,15.0,4.0,12.0,7.0,18.0,11.0,6.0,-,-,191.0,164.0
31,JONATAN VADNAI,2298,HUN,(35.0),5.0,17.0,11.0,7.0,23.0,-,-,-,-,-,-,-,-,-,-,-,13.0,35.0,17.0,35.0,26.0,(36.0),-,-,-,-,-,-,-,-,-,-,-,-,260.0,189.0
31,"YANNICK LEFEBVRE, TOM PELSMAEKERS",5213,BEL,10.0,18.0,19.0,7.0,8.0,1.0,(23.0),13.0,22.0,3.0,3.0,7.0,13.0,15.0,4.0,23.0,-,10.0,18.0,19.0,7.0,8.0,1.0,(23.0),13.0,22.0,3.0,3.0,7.0,13.0,15.0,4.0,23.0,-,-,189.0,166.0
31,"NOORA RUSKOLA, MIKAELA WULFF",3756,,22.0,(24.0),15.0,8.0,24.0,10.0,21.0,10.0,8.0,19.0,3.0,9.0,7.0,23.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,206.0,182.0
31,RAMYA SARAVANAN,4100,IND,(47.0),(42.0),42.0,41.0,31.0,-,-,-,-,-,-,-,-,-,-,-,-,35.0,7.0,36.0,33.0,27.0,37.0,-,-,-,-,-,-,-,-,-,-,-,-,378.0,289.0
31,MARIOS KARADIMAS,3176,GRE,41.0,37.0,42.0,40.0,(45.0),(43.0),-,-,-,-,-,-,-,-,-,-,-,36.0,31.0,24.0,23.0,23.0,27.0,-,-,-,-,-,-,-,-,-,-,-,-,412.0,324.0
31,JOSH ARMIT,2343,NZL,(38.0),27.0,18.0,26.0,32.0,22.0,-,-,-,-,-,-,-,-,-,-,-,32.0,21.0,24.0,23.0,10.0,(39.0),-,-,-,-,-,-,-,-,-,-,-,-,312.0,235.0
31,SARAH DOUGLAS,4346,CAN,23.0,5.0,(57.0),(57.0),5.0,-,-,-,-,-,-,-,-,-,-,-,-,44.0,21.0,24.0,57.0,1.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,298.0,184.0
32,JOEL RODRIGUEZ PEREZ,2252,ESP,19.0,14.0,13.0,21.0,(21.0),6.0,-,-,-,-,-,-,-,-,-,-,-,44.0,28.0,6.0,16.0,28.0,(45.0),-,-,-,-,-,-,-,-,-,-,-,-,261.0,195.0
32,HIROKI KODAMA,1904,JPN,39.0,(53.0),40.0,45.0,46.0,47.0,-,-,-,-,-,-,-,-,-,-,-,31.0,2.0,(53.0),14.0,31.0,33.0,-,-,-,-,-,-,-,-,-,-,-,-,434.0,328.0
32,KANAPAN PACHATIKAPANYA,2468,THA,39.0,(41.0),38.0,(43.0),29.0,-,-,-,-,-,-,-,-,-,-,-,-,27.0,37.0,29.0,25.0,40.0,34.0,-,-,-,-,-,-,-,-,-,-,-,-,382.0,298.0
32,"ANDREW MOLLERUS, IAN MACDIARMID",260,USA,17.0,13.0,17.0,2.0,18.0,7.0,24.0,23.0,13.0,9.0,10.0,10.0,(33.0),1.0,1.0,3.0,-,17.0,13.0,17.0,2.0,18.0,7.0,24.0,23.0,13.0,9.0,10.0,10.0,(33.0),1.0,1.0,3.0,-,-,201.0,168.0
32,"ENIA NINCEVIC, MIHAELA DE MICHELI VITTURI",1311,,3.0,21.0,9.0,19.0,17.0,15.0,6.0,14.0,13.0,(22.0),19.0,4.0,13.0,19.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,208.0,186.0
32,VISHNU SARAVANAN,5056,IND,(33.0),23.0,29.0,(38.0),28.0,26.0,-,-,-,-,-,-,-,-,-,-,-,28.0,26.0,29.0,4.0,25.0,31.0,-,-,-,-,-,-,-,-,-,-,-,-,320.0,249.0
32,LUCIA FALASCA,2914,ARG,6.0,17.0,(18.0),18.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,8.0,31.0,40.0,(57.0),26.0,26.0,-,-,-,-,-,-,-,-,-,-,-,-,260.0,185.0
33,ANNA MUNCH,298,DEN,(20.0),20.0,12.0,11.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,36.0,17.0,27.0,29.0,(54.0),24.0,-,-,-,-,-,-,-,-,-,-,-,-,259.0,185.0
33,NOOA LAUKKANEN,3753,FIN,23.0,21.0,19.0,(28.0),26.0,14.0,-,-,-,-,-,-,-,-,-,-,-,(53.0),53.0,23.0,11.0,18.0,43.0,-,-,-,-,-,-,-,-,-,-,-,-,332.0,251.0
33,ANDRES BOCCALANDRO,251,VEN,39.0,38.0,44.0,46.0,(47.0),(49.0),-,-,-,-,-,-,-,-,-,-,-,30.0,15.0,37.0,32.0,34.0,21.0,-,-,-,-,-,-,-,-,-,-,-,-,432.0,336.0
33,"RYAN SEATON, SEAFRA GUILFOYLE",4265,,12.0,7.0,16.0,4.0,7.0,7.0,6.0,18.0,18.0,17.0,19.0,(22.0),16.0,8.0,10.0,5.0,-,12.0,7.0,16.0,4.0,7.0,7.0,6.0,18.0,18.0,17.0,19.0,(22.0),16.0,8.0,10.0,5.0,-,-,192.0,170.0
33,"MEGAN BRICKWOOD, STEPHANIE ORTON",3406,,25.0,18.0,(28.0),17.0,17.0,26.0,16.0,15.0,12.0,14.0,5.0,10.0,4.0,8.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,217.0,189.0
33,DUKO BOS,1182,NED,23.0,(24.0),12.0,12.0,8.0,20.0,-,-,-,-,-,-,-,-,-,-,-,12.0,24.0,37.0,(42.0),7.0,41.0,-,-,-,-,-,-,-,-,-,-,-,-,262.0,196.0
