Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,Total,Nett
26,MARIE BARRUE,3140,FRA,26.0,12.0,17.0,9.0,30.0,28.0,20.0,24.0,-,-,-,-,-,166.0,136.0
26,"CATERINA BANTI, LORENZO BRESSANI",782,,34.0,11.0,12.0,25.0,5.0,16.0,21.0,2.0,34.0,34.0,34.0,34.0,-,262.0,228.0
27,JESPER STALHEIM,2195,SWE,17.0,5.0,7.0,15.0,41.0,36.0,41.0,41.0,-,-,-,-,-,203.0,162.0
27,"YANN ROCHERIEUX, GABRIEL SKOCZEK",5210,,14.0,41.0,41.0,25.0,4.0,17.0,23.0,17.0,30.0,35.0,21.0,-,-,268.0,227.0
27,"MICHALIS PATENIOTIS, SOFIA BEKATOROU",3462,,34.0,24.0,18.0,22.0,22.0,30.0,6.0,22.0,13.0,24.0,25.0,34.0,-,274.0,240.0
27,CLARA BEN-AMOR NUNEZ,907,CHI,25.0,14.0,23.0,21.0,21.0,13.0,28.0,30.0,-,-,-,-,-,175.0,145.0
28,"UBERTO CRIVELLI VISCONTI, GIANMARCO TOGNI",4929,ITA,25.0,34.0,41.0,20.0,17.0,30.0,30.0,18.0,18.0,22.0,17.0,-,-,272.0,231.0
28,"BIANCA GUARDIGLI, FERDINANDO TRAMBAIOLO",568,,34.0,34.0,34.0,34.0,34.0,18.0,23.0,12.0,27.0,19.0,8.0,24.0,-,301.0,267.0
28,JEREMY O'CONNELL,2183,AUS,15.0,31.0,31.0,16.0,11.0,35.0,26.0,37.0,-,-,-,-,-,202.0,165.0
28,FERNANDA DECNOP COELHO,1446,,29.0,27.0,30.0,17.0,17.0,17.0,26.0,26.0,-,-,-,-,-,189.0,159.0
29,"KENJI TAKAHASHI, YUKIO MAKINO",2539,,31.0,26.0,41.0,35.0,3.0,23.0,28.0,29.0,6.0,23.0,31.0,-,-,276.0,235.0
29,MICHAEL HANSEN,3444,DEN,28.0,29.0,18.0,32.0,15.0,32.0,17.0,28.0,-,-,-,-,-,199.0,167.0
29,AGATA BARWINSKA,29,POL,28.0,25.0,21.0,27.0,30.0,27.0,22.0,25.0,-,-,-,-,-,205.0,175.0
29,"MARIE TIFFON TERRADE, THOMAS TIFFON-TERRADE",3145,,34.0,25.0,29.0,28.0,27.0,27.0,25.0,27.0,26.0,27.0,24.0,26.0,-,325.0,291.0
30,"JUSTUS SCHMIDT, MAX BOEHME",2439,GER,23.0,10.0,2.0,9.0,8.0,28.0,41.0,41.0,41.0,41.0,41.0,-,-,285.0,244.0
30,"BLANDINE MEDECIN RODELATO, JEAN RODELATO",592,,34.0,27.0,28.0,26.0,26.0,26.0,34.0,28.0,28.0,28.0,30.0,27.0,-,342.0,308.0
30,FRANCESCO MARRAI,1523,ITA,25.0,36.0,17.0,41.0,19.0,28.0,24.0,20.0,-,-,-,-,-,210.0,169.0
31,"THOMAS BARROWS, III, JOSEPH MORRIS",4755,,16.0,30.0,41.0,24.0,33.0,26.0,13.0,21.0,12.0,36.0,35.0,-,-,287.0,246.0
31,"LENA WEHRHEIM, STEFAN RUMPF",2741,,34.0,28.0,30.0,29.0,28.0,29.0,27.0,29.0,29.0,34.0,29.0,28.0,-,354.0,320.0
31,ROBERT DAVIS,4167,CAN,26.0,27.0,35.0,28.0,27.0,27.0,16.0,33.0,-,-,-,-,-,219.0,184.0
32,"TOM PHIPPS, NICOLA BONIFACE",4865,,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,-,408.0,374.0
32,"NIKOLA GIRKE, LUKE RAMSAY",3709,,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,-,408.0,374.0
32,YURI HUMMEL,5246,NED,34.0,23.0,16.0,25.0,41.0,21.0,29.0,41.0,-,-,-,-,-,230.0,189.0
32,"LOGAN DUNNING-BECK, JACK SIMPSON",2861,,18.0,31.0,19.0,15.0,37.0,39.0,25.0,34.0,1.0,37.0,32.0,-,-,288.0,249.0
33,DUKO BOS,1182,NED,29.0,14.0,36.0,31.0,30.0,34.0,22.0,32.0,-,-,-,-,-,228.0,192.0
33,"BENJAMIN JOSE GREZ AHRENS, CRISTOBAL GREZ AHRENS",514,,4.0,18.0,41.0,33.0,38.0,27.0,18.0,28.0,36.0,32.0,18.0,-,-,293.0,252.0
34,SAM VANDORMAEL,4293,BEL,33.0,33.0,26.0,24.0,21.0,38.0,28.0,31.0,-,-,-,-,-,234.0,196.0
34,"SEBASTIEN SCOTTO DI FASANO, MATHIEU FREI",4422,,34.0,33.0,41.0,30.0,39.0,21.0,5.0,11.0,38.0,31.0,25.0,-,-,308.0,267.0
35,"LUCIEN CUJEAN, SEBASTIEN SCHNEITER",2921,,26.0,9.0,41.0,23.0,36.0,31.0,35.0,24.0,37.0,27.0,20.0,-,-,309.0,268.0
35,EVERT MCLAUGHLIN,1377,CAN,32.0,28.0,27.0,33.0,26.0,23.0,33.0,27.0,-,-,-,-,-,229.0,196.0
36,CHRISTOPHER BARNARD,892,USA,38.0,38.0,41.0,7.0,24.0,31.0,36.0,30.0,-,-,-,-,-,245.0,204.0
36,"TOM SIGANTO, JOEL TURNER",4868,,35.0,24.0,41.0,37.0,40.0,10.0,19.0,32.0,16.0,26.0,30.0,-,-,310.0,269.0
37,"CHRIS TAYLOR, SAMUEL BATTEN",868,,29.0,27.0,41.0,21.0,29.0,36.0,9.0,26.0,34.0,28.0,36.0,-,-,316.0,275.0
37,AGUSTIN VIDAL INCATASCIATO,41,ARG,40.0,32.0,32.0,34.0,33.0,26.0,37.0,34.0,-,-,-,-,-,268.0,228.0
38,FILLAH KARIM,1466,CAN,36.0,37.0,39.0,5.0,38.0,40.0,38.0,38.0,-,-,-,-,-,271.0,231.0
38,"JACK HAWKINS, CHRISTOPHER THOMAS",2046,GBR,19.0,22.0,41.0,27.0,30.0,37.0,34.0,35.0,33.0,33.0,27.0,-,-,338.0,297.0
39,"HANS HENKEN, JUDGE RYAN",1803,,41.0,41.0,41.0,13.0,25.0,34.0,36.0,30.0,35.0,24.0,37.0,-,-,357.0,316.0
39,WILLIAM DE SMET,5141,BEL,39.0,39.0,38.0,37.0,36.0,33.0,14.0,35.0,-,-,-,-,-,271.0,232.0
40,STEFANO MARCIA,4590,RSA,37.0,35.0,37.0,29.0,28.0,39.0,32.0,36.0,-,-,-,-,-,273.0,234.0
40,"LEVI SLAP, MAX SLAP",2772,BEL,36.0,29.0,41.0,39.0,21.0,38.0,11.0,41.0,21.0,41.0,41.0,-,-,359.0,318.0
