Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
19,"ANDREA BREWSTER, SASKIA TIDEY",231,IRL,-,-,-,-,-,-,-,7.0,9.0,16.0,2.0,9.0,18.0,5.0,(23.0),23.0,25.0,(26.0),5.0,26.0,3.0,5.0,-,202.0,153.0
19,NICHOLAS HEINER,3648,NED,17.0,12.0,2.0,(25.0),5.0,22.0,22.0,19.0,21.0,(54.0),5.0,12.0,20.0,-,-,-,-,-,-,-,-,-,-,236.0,157.0
19,"YANNICK LEFEBVRE, TOM PELSMAEKERS",5213,BEL,-,-,-,-,-,-,-,(27.0),10.0,9.0,11.0,13.0,10.0,1.0,16.0,13.0,19.0,4.0,15.0,(24.0),21.0,14.0,-,207.0,156.0
19,GINTARE VOLUNGEVICIUTE-SCHEIDT,1672,LTU,12.0,7.0,4.0,(20.0),1.0,8.0,-,6.0,31.0,8.0,(51.0),51.0,-,-,-,-,-,-,-,-,-,-,-,199.0,128.0
19,MATHIAS MOLLATT,3284,NOR,4.0,5.0,28.0,(37.0),32.0,26.0,(41.0),31.0,2.0,32.0,14.0,35.0,-,-,-,-,-,-,-,-,-,-,-,287.0,209.0
19,PIA KUHLMANN,4013,GER,19.0,(42.0),(47.0),29.0,34.0,41.0,-,18.0,23.0,14.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,194.0,283.0
19,CHRISTIAN GULDBERG ROST,874,DEN,37.0,46.0,30.0,45.0,(52.0),17.0,20.0,(53.0),4.0,53.0,11.0,9.0,-,-,-,-,-,-,-,-,-,-,-,377.0,272.0
20,VERONIKA KOZELSKA FENCLOVA,5011,CZE,29.0,18.0,22.0,10.0,2.0,(31.0),-,7.0,19.0,24.0,8.0,(51.0),-,-,-,-,-,-,-,-,-,-,-,221.0,139.0
20,"RYAN SEATON, MATT , MCGOVERN",4260,,-,-,-,-,-,-,-,17.0,16.0,3.0,13.0,16.0,5.0,(25.0),10.0,16.0,21.0,(22.0),20.0,10.0,6.0,7.0,-,207.0,160.0
20,SOFIIA LARYCHEVA,4535,UKR,(46.0),(46.0),42.0,46.0,33.0,39.0,-,5.0,12.0,12.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,195.0,287.0
20,FIONN LYDEN,1479,IRL,10.0,(34.0),15.0,(38.0),32.0,24.0,34.0,2.0,16.0,15.0,31.0,31.0,-,-,-,-,-,-,-,-,-,-,-,282.0,210.0
20,DANIEL MIHELIC,1026,CRO,(26.0),16.0,3.0,1.0,13.0,5.0,12.0,17.0,(40.0),32.0,26.0,31.0,8.0,-,-,-,-,-,-,-,-,-,-,230.0,164.0
20,"PARIS HENKEN, HELENA SCUTT",3881,USA,-,-,-,-,-,-,-,3.0,5.0,11.0,(15.0),5.0,14.0,3.0,13.0,9.0,24.0,(26.0),20.0,21.0,12.0,13.0,-,194.0,153.0
20,MATTHEW RYDER,3335,CAN,33.0,39.0,(49.0),34.0,48.0,(50.0),46.0,7.0,22.0,2.0,21.0,23.0,-,-,-,-,-,-,-,-,-,-,-,374.0,275.0
21,BRUNO FONTES,674,BRA,6.0,5.0,11.0,9.0,(40.0),7.0,4.0,23.0,3.0,(35.0),29.0,33.0,35.0,-,-,-,-,-,-,-,-,-,-,240.0,165.0
21,LUCIA FALASCA,2914,ARG,9.0,(30.0),8.0,18.0,17.0,14.0,-,(41.0),28.0,17.0,21.0,10.0,-,-,-,-,-,-,-,-,-,-,-,213.0,142.0
21,ZAN LUKA ZELKO,5260,SLO,10.0,31.0,17.0,(52.0),43.0,(54.0),33.0,53.0,5.0,21.0,14.0,53.0,-,-,-,-,-,-,-,-,-,-,-,386.0,280.0
21,WILLIAM DE SMET,5141,BEL,(37.0),33.0,24.0,22.0,6.0,37.0,33.0,3.0,(54.0),10.0,3.0,42.0,-,-,-,-,-,-,-,-,-,-,-,304.0,213.0
21,"NINA KEIJZER, CLAIRE BLOM",3731,NED,-,-,-,-,-,-,-,8.0,7.0,(17.0),17.0,13.0,13.0,7.0,9.0,22.0,11.0,14.0,9.0,3.0,21.0,(23.0),-,194.0,154.0
21,ECEM GUZEL,1198,TUR,38.0,(41.0),34.0,(39.0),26.0,38.0,-,25.0,16.0,8.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,198.0,278.0
21,"JONAS WARRER, ANDERS THOMSEN",2293,,-,-,-,-,-,-,-,(25.0),3.0,11.0,21.0,2.0,25.0,7.0,13.0,10.0,17.0,20.0,(24.0),23.0,9.0,3.0,-,213.0,164.0
22,PAULINA CZUBACHOWSKA,3922,POL,(44.0),13.0,28.0,28.0,(37.0),13.0,-,33.0,31.0,29.0,25.0,-,-,-,-,-,-,-,-,-,-,-,-,200.0,281.0
22,"YUKIO MAKINO, KENJI TAKAHASHI",5241,,-,-,-,-,-,-,-,14.0,8.0,12.0,15.0,8.0,(21.0),18.0,3.0,12.0,2.0,19.0,17.0,17.0,(23.0),22.0,-,211.0,167.0
22,FREDRIK WESTMAN,1566,FIN,43.0,(45.0),(47.0),28.0,38.0,4.0,10.0,5.0,27.0,5.0,41.0,18.0,-,-,-,-,-,-,-,-,-,-,-,311.0,219.0
22,RUDY MCNEILL,4238,RSA,(47.0),41.0,46.0,43.0,29.0,28.0,46.0,(53.0),14.0,13.0,17.0,7.0,-,-,-,-,-,-,-,-,-,-,-,384.0,284.0
22,SARA WINTHER,4345,NZL,16.0,11.0,11.0,9.0,3.0,(33.0),-,(40.0),37.0,3.0,34.0,20.0,-,-,-,-,-,-,-,-,-,-,-,217.0,144.0
22,"JULE GORGE, LOTTA GORGE",2376,GER,-,-,-,-,-,-,-,6.0,8.0,11.0,12.0,8.0,2.0,9.0,(23.0),20.0,22.0,16.0,22.0,15.0,17.0,(24.0),-,215.0,168.0
22,ELLIOT HANSON,1263,GBR,7.0,7.0,7.0,7.0,(25.0),6.0,8.0,(40.0),4.0,34.0,38.0,38.0,9.0,-,-,-,-,-,-,-,-,-,-,230.0,165.0
23,"HELENE NAESS, MARIE RONNINGEN",1860,NOR,-,-,-,-,-,-,-,5.0,6.0,4.0,8.0,(23.0),23.0,12.0,6.0,(24.0),20.0,21.0,17.0,9.0,19.0,21.0,-,218.0,171.0
23,FILIP JURISIC,1461,CRO,16.0,15.0,39.0,(48.0),(54.0),3.0,20.0,37.0,6.0,18.0,42.0,26.0,-,-,-,-,-,-,-,-,-,-,-,324.0,222.0
23,ALICIA CEBRIAN,156,ESP,(39.0),17.0,(30.0),15.0,19.0,11.0,-,8.0,15.0,28.0,11.0,23.0,-,-,-,-,-,-,-,-,-,-,-,216.0,147.0
23,"LUCA DUBBINI, ROBERTO DUBBINI",2900,ITA,-,-,-,-,-,-,-,9.0,14.0,8.0,5.0,12.0,6.0,(21.0),21.0,25.0,8.0,(26.0),12.0,7.0,15.0,25.0,-,214.0,167.0
23,GERALD WILLIAMS,1646,TPE,(48.0),(47.0),37.0,40.0,40.0,45.0,21.0,21.0,23.0,22.0,16.0,20.0,-,-,-,-,-,-,-,-,-,-,-,380.0,285.0
23,CLARA BEN-AMOR NUNEZ,907,CHI,40.0,31.0,(42.0),35.0,41.0,13.0,-,19.0,(51.0),6.0,20.0,-,-,-,-,-,-,-,-,-,-,-,-,205.0,298.0
23,LEE PARKHILL,2725,CAN,18.0,11.0,4.0,1.0,14.0,19.0,(22.0),(44.0),23.0,25.0,8.0,22.0,33.0,-,-,-,-,-,-,-,-,-,-,244.0,178.0
24,EKATERINA ZYUZINA,1222,RUS,48.0,43.0,28.0,34.0,31.0,(51.0),-,6.0,(51.0),5.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,206.0,308.0
24,STEFANO PESCHIERA,4591,PER,15.0,16.0,(20.0),6.0,6.0,14.0,1.0,30.0,7.0,42.0,21.0,24.0,(48.0),-,-,-,-,-,-,-,-,-,-,250.0,182.0
24,JOSE GUTIERREZ,2323,VEN,31.0,(42.0),22.0,22.0,34.0,(44.0),40.0,33.0,31.0,11.0,38.0,26.0,-,-,-,-,-,-,-,-,-,-,-,374.0,288.0
24,"DAVID GILMOUR, RHYS MARA",1056,,-,-,-,-,-,-,-,5.0,(16.0),16.0,10.0,15.0,13.0,5.0,11.0,8.0,20.0,11.0,21.0,21.0,(24.0),13.0,-,209.0,169.0
24,VIKTOR TEPLY,5043,CZE,32.0,27.0,(45.0),15.0,(48.0),22.0,15.0,16.0,35.0,13.0,15.0,34.0,-,-,-,-,-,-,-,-,-,-,-,317.0,224.0
24,"ENIA NINCEVIC, MARINA DUJMOVIC",1310,CRO,-,-,-,-,-,-,-,13.0,14.0,3.0,13.0,14.0,(23.0),8.0,8.0,17.0,21.0,15.0,10.0,(24.0),15.0,22.0,-,220.0,173.0
24,HADDON HUGHES,1769,USA,22.0,25.0,32.0,3.0,3.0,(39.0),-,11.0,12.0,16.0,24.0,(51.0),-,-,-,-,-,-,-,-,-,-,-,238.0,148.0
25,MARTHA CATERINA FARAGUNA,3216,ITA,22.0,2.0,11.0,4.0,(28.0),4.0,-,19.0,30.0,18.0,44.0,(51.0),-,-,-,-,-,-,-,-,-,-,-,233.0,154.0
25,MARCUS MAGNUSSON,3098,SWE,41.0,(47.0),39.0,43.0,(48.0),33.0,25.0,26.0,16.0,16.0,20.0,29.0,-,-,-,-,-,-,-,-,-,-,-,383.0,288.0
25,ANDREA NORDQUIST,233,SUI,19.0,35.0,(41.0),27.0,35.0,24.0,-,21.0,18.0,(51.0),29.0,-,-,-,-,-,-,-,-,-,-,-,-,208.0,300.0
25,MITCHELL KENNEDY,3519,AUS,16.0,6.0,7.0,8.0,13.0,(23.0),10.0,26.0,34.0,9.0,33.0,20.0,(41.0),-,-,-,-,-,-,-,-,-,-,246.0,182.0
25,"MARIO SEGERS, FEDERICO VILLAMBROSA",3170,,-,-,-,-,-,-,-,6.0,9.0,7.0,14.0,7.0,10.0,6.0,(18.0),20.0,(26.0),25.0,26.0,22.0,25.0,26.0,-,247.0,203.0
25,"LEONIE MEYER, ELENA STOFFERS",2763,GER,-,-,-,-,-,-,-,5.0,7.0,9.0,(20.0),12.0,16.0,14.0,5.0,(25.0),15.0,17.0,25.0,20.0,11.0,17.0,-,218.0,173.0
25,JUAN PERDOMO,2370,PUR,35.0,38.0,14.0,41.0,5.0,39.0,(45.0),(54.0),28.0,21.0,4.0,2.0,-,-,-,-,-,-,-,-,-,-,-,326.0,227.0
26,YUMIKO TOMBE,5243,JPN,31.0,28.0,27.0,(42.0),28.0,(46.0),-,23.0,21.0,27.0,27.0,-,-,-,-,-,-,-,-,-,-,-,-,212.0,300.0
26,YUICHIRO KITAMURA,5237,JPN,(45.0),41.0,8.0,(47.0),39.0,41.0,40.0,20.0,45.0,20.0,39.0,5.0,-,-,-,-,-,-,-,-,-,-,-,390.0,298.0
26,"GENEVIEVE TULLOCH, MAGGIE SHEA",1627,,-,-,-,-,-,-,-,8.0,12.0,13.0,(21.0),18.0,6.0,15.0,17.0,2.0,3.0,(7.0),7.0,2.0,1.0,-,-,132.0,104.0
26,RUTGER VAN SCHAARDENBURG,4252,NED,6.0,14.0,3.0,10.0,(32.0),11.0,27.0,(29.0),25.0,24.0,27.0,25.0,19.0,-,-,-,-,-,-,-,-,-,-,252.0,191.0
26,"RUGGERO TITA, PIETRO ZUCCHETTI",4242,ITA,-,-,-,-,-,-,-,2.0,2.0,(32.0),10.0,10.0,7.0,27.0,25.0,22.0,(25.0),18.0,25.0,19.0,22.0,17.0,-,263.0,206.0
26,ENRIQUE ARATHOON,1316,ESA,32.0,13.0,31.0,29.0,(35.0),12.0,27.0,(36.0),18.0,14.0,32.0,21.0,-,-,-,-,-,-,-,-,-,-,-,300.0,229.0
26,SARAH GUNNI TOFTEDAL,4348,DEN,(24.0),5.0,17.0,9.0,6.0,4.0,-,31.0,7.0,(51.0),48.0,35.0,-,-,-,-,-,-,-,-,-,-,-,237.0,162.0
27,SCOTT SYDNEY,4396,SIN,(42.0),39.0,25.0,19.0,33.0,(42.0),16.0,29.0,10.0,7.0,20.0,40.0,-,-,-,-,-,-,-,-,-,-,-,322.0,238.0
27,THOMAS SAUNDERS,4775,NZL,26.0,10.0,13.0,12.0,18.0,(31.0),28.0,(43.0),8.0,6.0,6.0,30.0,36.0,-,-,-,-,-,-,-,-,-,-,267.0,193.0
27,CAMERON PIMENTEL,707,BER,46.0,(51.0),36.0,(50.0),50.0,32.0,39.0,15.0,37.0,14.0,22.0,11.0,-,-,-,-,-,-,-,-,-,-,-,403.0,302.0
27,ATHANASIA FAKIDI,406,GRE,27.0,24.0,(40.0),(43.0),35.0,21.0,-,32.0,29.0,20.0,31.0,-,-,-,-,-,-,-,-,-,-,-,-,219.0,302.0
27,"VICTOR BERGSTROM, VICTOR VASTERNAS",5018,,-,-,-,-,-,-,-,15.0,9.0,5.0,7.0,(32.0),18.0,27.0,16.0,2.0,(26.0),3.0,3.0,1.0,7.0,4.0,-,175.0,117.0
27,DAPHNE VAN DER VAART,1044,NED,(36.0),9.0,19.0,7.0,16.0,16.0,-,27.0,35.0,21.0,12.0,(51.0),-,-,-,-,-,-,-,-,-,-,-,249.0,162.0
27,"KIMBERLY MIN LIM, CECILIA LOW",2574,,-,-,-,-,-,-,-,17.0,15.0,6.0,10.0,16.0,10.0,(21.0),3.0,9.0,5.0,2.0,1.0,(10.0),10.0,-,-,135.0,104.0
28,"LAURA SCHOFEGGER, ELSA LOVREK",2709,AUT,-,-,-,-,-,-,-,(16.0),13.0,10.0,14.0,15.0,9.0,11.0,9.0,7.0,1.0,(12.0),8.0,5.0,5.0,-,-,135.0,107.0
28,MARIE BOLOU,3141,FRA,11.0,(39.0),16.0,19.0,15.0,25.0,-,25.0,14.0,25.0,27.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,249.0,177.0
28,JULIO ALSOGARAY,2417,ARG,5.0,15.0,10.0,18.0,(41.0),16.0,2.0,14.0,33.0,31.0,23.0,32.0,(42.0),-,-,-,-,-,-,-,-,-,-,282.0,199.0
28,MAREK ZALESKI,3100,USA,(43.0),(46.0),41.0,42.0,10.0,37.0,21.0,23.0,42.0,23.0,34.0,33.0,-,-,-,-,-,-,-,-,-,-,-,395.0,306.0
28,"MATHIEU FREI, NOE DELPECH",3288,,-,-,-,-,-,-,-,3.0,24.0,20.0,(32.0),1.0,20.0,10.0,27.0,5.0,2.0,1.0,4.0,(11.0),2.0,9.0,-,171.0,128.0
28,VASILEIA KARACHALIOU,4996,POR,34.0,33.0,(40.0),21.0,32.0,36.0,-,30.0,15.0,(51.0),19.0,-,-,-,-,-,-,-,-,-,-,-,-,220.0,311.0
28,JESUS ROGEL SANCHEZ,2201,ESP,26.0,23.0,22.0,16.0,12.0,23.0,(35.0),28.0,33.0,(49.0),27.0,33.0,-,-,-,-,-,-,-,-,-,-,-,327.0,243.0
29,MARTINA REINO CACHO,3242,ESP,(23.0),4.0,15.0,22.0,14.0,6.0,-,35.0,17.0,22.0,45.0,(51.0),-,-,-,-,-,-,-,-,-,-,-,254.0,180.0
29,COLIN CHENG,930,SIN,9.0,10.0,(33.0),22.0,25.0,2.0,1.0,34.0,(47.0),38.0,18.0,3.0,46.0,-,-,-,-,-,-,-,-,-,-,288.0,208.0
29,KIM PLETIKOS,2567,SLO,(48.0),15.0,24.0,(44.0),38.0,23.0,-,39.0,32.0,23.0,39.0,-,-,-,-,-,-,-,-,-,-,-,-,233.0,325.0
29,JACK WETHERELL,2051,GBR,17.0,21.0,38.0,(44.0),36.0,28.0,5.0,21.0,32.0,16.0,30.0,(39.0),-,-,-,-,-,-,-,-,-,-,-,327.0,244.0
29,"EMILY DELLENBAUGH, ELIZABETH BARRY",1297,USA,-,-,-,-,-,-,-,16.0,17.0,10.0,2.0,11.0,(18.0),18.0,3.0,10.0,(13.0),11.0,3.0,9.0,4.0,-,-,145.0,114.0
29,"DANTE BIANCHI, THOMAS LOW-BEER",1042,,-,-,-,-,-,-,-,13.0,18.0,18.0,3.0,(22.0),16.0,8.0,18.0,16.0,3.0,(23.0),2.0,3.0,6.0,8.0,-,177.0,132.0
29,HENRIK BEGBY,1870,NOR,45.0,14.0,(54.0),47.0,44.0,(51.0),47.0,6.0,26.0,7.0,41.0,35.0,-,-,-,-,-,-,-,-,-,-,-,417.0,312.0
30,"ARIELLE MORGAN, HEATHER MYATT",364,CAN,-,-,-,-,-,-,-,11.0,11.0,13.0,(19.0),12.0,9.0,13.0,15.0,(20.0),2.0,18.0,4.0,4.0,8.0,-,-,159.0,120.0
30,ALEX MILLS BARTON,111,GBR,9.0,(25.0),23.0,3.0,19.0,4.0,19.0,21.0,(54.0),7.0,22.0,42.0,40.0,-,-,-,-,-,-,-,-,-,-,288.0,209.0
30,ANDREW LEWIS,257,TTO,27.0,30.0,35.0,11.0,20.0,30.0,(39.0),38.0,(54.0),47.0,7.0,4.0,-,-,-,-,-,-,-,-,-,-,-,342.0,249.0
30,"STEFANO CHERIN, ANDREA TESEI",4588,ITA,-,-,-,-,-,-,-,20.0,15.0,(32.0),19.0,18.0,9.0,20.0,6.0,10.0,(18.0),4.0,6.0,4.0,9.0,12.0,-,202.0,152.0
30,OZ ADAM,3847,ISR,44.0,44.0,(46.0),37.0,43.0,(45.0),24.0,14.0,35.0,8.0,33.0,40.0,-,-,-,-,-,-,-,-,-,-,-,413.0,322.0
30,ISABELLA MAEGLI AGUERO,2016,GUA,28.0,40.0,(51.0),12.0,(43.0),18.0,-,40.0,34.0,30.0,32.0,-,-,-,-,-,-,-,-,-,-,-,-,234.0,328.0
30,SVENJA WEGER,4650,GER,18.0,16.0,15.0,(37.0),16.0,(35.0),-,34.0,13.0,23.0,13.0,32.0,-,-,-,-,-,-,-,-,-,-,-,252.0,180.0
31,EKATERINA MORGUN,1221,RUS,(42.0),(45.0),37.0,34.0,36.0,42.0,-,34.0,26.0,15.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,239.0,326.0
31,"NOORA RUSKOLA, CAMILLA CEDERCREUTZ",3755,FIN,-,-,-,-,-,-,-,(21.0),19.0,19.0,4.0,17.0,17.0,16.0,11.0,5.0,(12.0),6.0,12.0,3.0,2.0,-,-,164.0,131.0
31,TATIANA DROZDOVSKAYA,4698,BLR,26.0,11.0,(38.0),22.0,9.0,28.0,-,20.0,33.0,(41.0),20.0,12.0,-,-,-,-,-,-,-,-,-,-,-,260.0,181.0
31,KHAIRULNIZAM MOHD AFENDY,2555,MAS,29.0,41.0,(47.0),16.0,42.0,40.0,36.0,(53.0),38.0,53.0,19.0,8.0,-,-,-,-,-,-,-,-,-,-,-,422.0,322.0
31,KARL-MARTIN RAMMO,2485,EST,12.0,9.0,9.0,(39.0),16.0,10.0,28.0,5.0,41.0,(47.0),20.0,21.0,44.0,-,-,-,-,-,-,-,-,-,-,301.0,215.0
31,"BENJAMIN GREZ AHRENS, CRISTOBAL GREZ",510,,-,-,-,-,-,-,-,17.0,7.0,25.0,26.0,(32.0),13.0,22.0,2.0,(20.0),13.0,7.0,12.0,2.0,1.0,6.0,-,205.0,153.0
31,SHINNOSUKE YASUDA,4463,JPN,30.0,33.0,11.0,31.0,26.0,(46.0),31.0,(45.0),36.0,9.0,22.0,20.0,-,-,-,-,-,-,-,-,-,-,-,340.0,249.0
32,JOAO PEDRO HERRLEIN SOUTO DE OLIVEIRA,2245,BRA,38.0,37.0,(50.0),44.0,44.0,39.0,26.0,(53.0),19.0,9.0,37.0,29.0,-,-,-,-,-,-,-,-,-,-,-,425.0,322.0
32,"KEIKO MIYAGAWA, SENA TAKANO",2529,,-,-,-,-,-,-,-,17.0,18.0,16.0,3.0,3.0,15.0,(19.0),8.0,(20.0),8.0,1.0,13.0,20.0,16.0,-,-,177.0,138.0
32,"BENJAMIN BILDSTEIN, DAVID HUSSL",507,AUT,-,-,-,-,-,-,-,4.0,4.0,(32.0),15.0,11.0,29.0,16.0,30.0,6.0,1.0,(26.0),20.0,8.0,11.0,1.0,-,214.0,156.0
32,ERIK BOWERS,1334,USA,(39.0),35.0,34.0,21.0,9.0,25.0,4.0,30.0,(39.0),34.0,35.0,29.0,-,-,-,-,-,-,-,-,-,-,-,334.0,256.0
32,CY THOMPSON,993,ISV,1.0,(23.0),17.0,21.0,14.0,7.0,5.0,47.0,43.0,26.0,10.0,(51.0),27.0,-,-,-,-,-,-,-,-,-,-,292.0,218.0
32,PAULINE LIEBIG,3925,GER,23.0,24.0,22.0,21.0,(29.0),11.0,-,23.0,23.0,30.0,(39.0),5.0,-,-,-,-,-,-,-,-,-,-,-,250.0,182.0
32,CHRISTINE NEVILLE,884,USA,(49.0),(48.0),35.0,47.0,45.0,45.0,-,10.0,13.0,28.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,240.0,337.0
33,AGATA BARWINSKA,29,POL,(27.0),13.0,20.0,16.0,9.0,18.0,-,33.0,36.0,(40.0),10.0,27.0,-,-,-,-,-,-,-,-,-,-,-,249.0,182.0
33,"SINEM KURTBAY, SILJA KANERVA",4507,FIN,-,-,-,-,-,-,-,10.0,13.0,9.0,11.0,13.0,(21.0),4.0,17.0,(20.0),7.0,10.0,5.0,20.0,20.0,-,-,180.0,139.0
33,STEPAN NOVOTNY,4597,CZE,40.0,(48.0),33.0,43.0,10.0,11.0,47.0,(53.0),39.0,34.0,46.0,19.0,-,-,-,-,-,-,-,-,-,-,-,423.0,322.0
33,MARIA JOSE PONCELL MAURIN,3124,CHI,(49.0),(47.0),35.0,47.0,37.0,43.0,-,20.0,28.0,13.0,26.0,-,-,-,-,-,-,-,-,-,-,-,-,249.0,345.0
33,KAROLIS JANULIONIS,2492,LTU,21.0,28.0,(43.0),35.0,12.0,41.0,21.0,26.0,31.0,36.0,(45.0),7.0,-,-,-,-,-,-,-,-,-,-,-,346.0,258.0
33,"JAMES PETERS, FYNN STERRITT",2107,GBR,-,-,-,-,-,-,-,11.0,17.0,(25.0),6.0,8.0,23.0,14.0,11.0,17.0,12.0,27.0,10.0,(36.0),8.0,3.0,-,228.0,167.0
33,ROBERT DAVIS,4167,CAN,(28.0),22.0,19.0,5.0,8.0,12.0,6.0,38.0,38.0,30.0,(40.0),28.0,14.0,-,-,-,-,-,-,-,-,-,-,288.0,220.0
34,"CARL P SYLVAN, MARCUS ANJEMARK",732,SWE,-,-,-,-,-,-,-,5.0,(28.0),13.0,18.0,3.0,21.0,13.0,26.0,15.0,11.0,(36.0),27.0,6.0,5.0,7.0,-,234.0,170.0
34,DONGSHUANG ZHANG,1170,CHN,11.0,12.0,8.0,31.0,12.0,(40.0),-,(43.0),41.0,34.0,32.0,2.0,-,-,-,-,-,-,-,-,-,-,-,266.0,183.0
34,"KATE MACGREGOR, STEPHANIE ORTON",2498,,-,-,-,-,-,-,-,18.0,22.0,21.0,19.0,20.0,8.0,15.0,(23.0),1.0,(10.0),9.0,6.0,1.0,3.0,-,-,176.0,143.0
34,HENRY MACHUM,1882,CAN,34.0,38.0,36.0,35.0,45.0,8.0,(48.0),(53.0),10.0,33.0,42.0,43.0,-,-,-,-,-,-,-,-,-,-,-,425.0,324.0
34,STEPHANIE DEVAUX-LOVELL,4600,LCA,21.0,44.0,38.0,(51.0),(51.0),16.0,-,37.0,39.0,17.0,38.0,-,-,-,-,-,-,-,-,-,-,-,-,250.0,352.0
34,BENJAMIN VADNAI,520,HUN,32.0,24.0,22.0,23.0,(36.0),3.0,29.0,13.0,30.0,40.0,43.0,(51.0),-,-,-,-,-,-,-,-,-,-,-,346.0,259.0
34,MATIAS DEL SOLAR,3303,CHI,(28.0),6.0,13.0,10.0,28.0,19.0,9.0,32.0,24.0,22.0,30.0,(40.0),28.0,-,-,-,-,-,-,-,-,-,-,289.0,221.0
35,ALP RONA RODOPMAN,172,TUR,30.0,31.0,(51.0),11.0,12.0,32.0,12.0,44.0,41.0,19.0,28.0,(46.0),-,-,-,-,-,-,-,-,-,-,-,357.0,260.0
35,"JACOPO PLAZZI, UMBERTO MOLINERIS",2068,ITA,-,-,-,-,-,-,-,24.0,19.0,19.0,15.2,7.0,3.0,(31.0),20.0,(23.0),14.0,8.0,22.0,9.0,4.0,10.0,-,228.2,174.2
35,MARTHE ENGER EIDE,3219,NOR,13.0,31.0,29.0,5.0,18.0,(37.0),-,29.0,18.0,12.0,28.0,(51.0),-,-,-,-,-,-,-,-,-,-,-,271.0,183.0
35,"KATLIN TAMMISTE, ANNA MARIA SEPP",2509,EST,-,-,-,-,-,-,-,14.0,18.0,15.0,22.0,2.0,16.0,14.0,(23.0),4.0,(19.0),8.0,11.0,12.0,9.0,-,-,187.0,145.0
35,CECILIA WOLLMANN,799,BER,(41.0),37.0,12.0,(41.0),38.0,29.0,-,36.0,35.0,33.0,41.0,-,-,-,-,-,-,-,-,-,-,-,-,261.0,343.0
35,DANIEL BARRY,1016,CAN,(53.0),43.0,43.0,(47.0),22.0,42.0,43.0,31.0,43.0,18.0,28.0,15.0,-,-,-,-,-,-,-,-,-,-,-,428.0,328.0
35,KRISTIAN RUTH,2629,NOR,24.0,5.0,18.0,29.0,1.0,20.0,(31.0),45.0,12.0,16.0,(47.0),27.0,25.0,-,-,-,-,-,-,-,-,-,-,300.0,222.0
36,"FRANCISCO PICCINI, TOMAS WAGMAISTER",1532,,-,-,-,-,-,-,-,10.0,15.0,(24.0),18.0,11.0,15.0,21.0,5.0,7.0,20.0,2.0,21.0,(23.0),17.0,21.0,-,230.0,183.0
36,OREN JACOB,3830,ISR,4.0,5.0,(25.0),13.0,18.0,20.0,-,39.0,32.0,(42.0),22.0,34.0,-,-,-,-,-,-,-,-,-,-,-,254.0,187.0
36,CORINNE PETERS,955,CAN,37.0,(50.0),43.0,45.0,(49.0),26.0,-,41.0,20.0,31.0,24.0,-,-,-,-,-,-,-,-,-,-,-,-,267.0,366.0
36,MAX GALLANT,3357,CAN,46.0,29.0,48.0,29.0,46.0,42.0,(53.0),(53.0),21.0,41.0,15.0,16.0,-,-,-,-,-,-,-,-,-,-,-,439.0,333.0
36,"CHIKA HATAE, HIROKA ITAKURA",853,,-,-,-,-,-,-,-,19.0,17.0,17.0,8.0,(21.0),11.0,17.0,10.0,8.0,6.0,13.0,(15.0),7.0,14.0,-,-,183.0,147.0
36,NING ZHAO,3734,CHN,22.0,6.0,(50.0),(54.0),21.0,15.0,42.0,11.0,29.0,20.0,49.0,50.0,-,-,-,-,-,-,-,-,-,-,-,369.0,265.0
36,ALESSIO SPADONI,106,ITA,5.0,8.0,23.0,(30.0),26.0,18.0,2.0,49.0,32.0,21.0,15.0,23.0,(53.0),-,-,-,-,-,-,-,-,-,-,305.0,222.0
37,LUCIE BEN-AMORL,2920,SUI,26.0,26.0,(47.0),40.0,(44.0),38.0,-,35.0,36.0,37.0,33.0,-,-,-,-,-,-,-,-,-,-,-,-,271.0,362.0
37,YOUSSEF AKROUT,5232,TUN,15.0,29.0,4.0,(33.0),5.0,7.0,7.0,33.0,29.0,(45.0),35.0,34.0,31.0,-,-,-,-,-,-,-,-,-,-,307.0,229.0
37,"FRITIOF HEDSTROM, NICLAS DURING",1574,,-,-,-,-,-,-,-,25.0,26.0,10.0,17.0,14.0,(29.0),15.0,28.0,9.0,(24.0),5.0,7.0,5.0,3.0,24.0,-,241.0,188.0
37,NILS THEUNINCK,3724,SUI,29.0,43.0,31.0,16.0,18.0,31.0,(45.0),(54.0),34.0,30.0,9.0,24.0,-,-,-,-,-,-,-,-,-,-,-,364.0,265.0
37,"ARANTZA GUMUCIO, BEGONA GUMUCIO",352,,-,-,-,-,-,-,-,18.0,19.0,18.0,(20.0),1.0,20.0,20.0,10.0,6.0,14.0,(17.0),14.0,6.0,7.0,-,-,190.0,153.0
