Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
12,MATHILDE DE KERANGAT,3293,FRA,(15.0),2.0,12.0,12.0,5.0,15.0,-,(28.0),9.0,11.0,19.0,28.0,-,-,-,-,-,-,-,-,-,-,-,156.0,113.0
13,EVERT MCLAUGHLIN,1377,CAN,11.0,31.0,28.0,(46.0),23.0,6.0,17.0,14.0,(54.0),54.0,5.0,3.0,-,-,-,-,-,-,-,-,-,-,-,292.0,192.0
13,MALCOLM LAMPHERE,3029,USA,(54.0),(54.0),14.0,45.0,51.0,26.0,14.0,30.0,8.0,26.0,5.0,31.0,-,-,-,-,-,-,-,-,-,-,-,358.0,250.0
13,NAZLI CAGLA DONERTAS,3624,TUR,14.0,14.0,9.0,(25.0),10.0,7.0,-,21.0,11.0,(51.0),5.0,26.0,-,-,-,-,-,-,-,-,-,-,-,193.0,117.0
13,"GRISELDA KHNG, SARA TAN",1727,SIN,-,-,-,-,-,-,-,6.0,(20.0),14.0,11.0,15.0,3.0,4.0,7.0,14.0,2.0,11.0,3.0,19.0,(24.0),18.0,-,171.0,127.0
13,CHRISTOPHER BARNARD,892,USA,21.0,(26.0),2.0,8.0,2.0,9.0,3.0,(42.0),14.0,5.0,24.0,7.0,26.0,-,-,-,-,-,-,-,-,-,-,189.0,121.0
13,"CARLOS PAZ BLANCO, ANTON PAZ",743,,-,-,-,-,-,-,-,2.0,2.0,2.0,11.0,12.0,2.0,15.0,(19.0),23.0,22.0,1.0,22.0,15.0,(26.0),11.0,-,185.0,140.0
13,FERNANDA DEMETRIO DECNOP COELHO,1447,BRA,(43.0),35.0,33.0,20.0,22.0,(42.0),-,7.0,4.0,22.0,23.0,-,-,-,-,-,-,-,-,-,-,-,-,166.0,251.0
14,CHARLIE BUCKINGHAM,816,USA,8.0,3.0,9.0,8.0,(28.0),3.0,23.0,18.0,28.0,1.0,(45.0),10.0,11.0,-,-,-,-,-,-,-,-,-,-,195.0,122.0
14,AHMED RAGAB,48,EGY,50.0,40.0,16.0,36.0,(54.0),27.0,43.0,(53.0),6.0,12.0,10.0,13.0,-,-,-,-,-,-,-,-,-,-,-,360.0,253.0
14,"TOMASZ JANUSZEWSKI, JACEK NOWAK",4894,,-,-,-,-,-,-,-,22.0,6.0,15.0,8.0,(24.0),5.0,12.0,7.0,4.0,18.0,7.0,13.0,(25.0),16.0,9.0,-,191.0,142.0
14,KRYSTAL WEIR,2640,AUS,34.0,34.0,(44.0),35.0,33.0,(41.0),-,15.0,6.0,9.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,175.0,260.0
14,TINA MIHELIC,4827,CRO,6.0,9.0,13.0,7.0,(24.0),(33.0),-,12.0,21.0,9.0,16.0,24.0,-,-,-,-,-,-,-,-,-,-,-,174.0,117.0
14,"TESS LLOYD, CAITLIN ELKS",4721,AUS,-,-,-,-,-,-,-,11.0,10.0,12.0,3.0,(16.0),2.0,9.0,2.0,18.0,3.0,18.0,19.0,14.0,(20.0),7.0,-,164.0,128.0
