Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,M0Q,M1Q,M2Q,M3Q,Total,Nett
23,TOMAS VIEITO COBIAN,4883,,(29.0),7.0,5.0,3.0,22.0,17.0,29.0,21.0,(34.0),31.0,-,-,-,-,-,-,-,-,-,-,198.0,135.0
24,ALICE READ,153,GBR,-,-,-,-,25.0,9.0,7.0,7.0,11.0,11.0,14.0,22.0,31.0,23.0,(69.0),(43.0),-,-,-,-,272.0,160.0
24,OEL POULIQUEN,3786,,1.0,(7.0),3.0,1.0,32.0,20.0,(49.0),36.0,28.0,15.0,-,-,-,-,-,-,-,-,-,-,192.0,136.0
25,GIBSON ALYSIA,1664,,-,-,-,-,3.0,5.0,21.0,23.0,31.0,13.0,(49.0),17.0,(39.0),14.0,9.0,27.0,-,-,-,-,251.0,163.0
25,FABIEN PIANAZZA,1397,FRA,(7.0),1.0,1.0,7.0,(42.0),34.0,19.0,22.0,35.0,22.0,-,-,-,-,-,-,-,-,-,-,190.0,141.0
26,GIOVANNA PRADA,1677,BRA,-,-,-,-,7.0,7.0,11.0,27.0,17.0,11.0,(54.0),25.0,23.0,(31.0),25.0,14.0,-,-,-,-,252.0,167.0
26,JOOST VINK,2312,NED,11.0,5.0,(23.0),9.0,(50.0),24.0,38.0,26.0,27.0,12.0,-,-,-,-,-,-,-,-,-,-,225.0,152.0
27,LUCA DI TOMASSI,2897,ITA,(15.0),13.0,5.0,9.0,25.0,16.0,31.0,20.0,(45.0),38.0,-,-,-,-,-,-,-,-,-,-,217.0,157.0
27,AMBAR PAPAZIAN,182,FRA,-,-,-,-,11.0,29.0,31.0,3.0,5.0,1.0,29.0,21.0,(36.0),(34.0),12.0,34.0,-,-,-,-,246.0,176.0
28,MARION COUTURIER,3172,,-,-,-,-,21.0,13.0,15.0,3.0,19.0,7.0,(37.0),(45.0),17.0,27.0,26.0,29.0,-,-,-,-,259.0,177.0
28,MATTHEW BARTON,3327,GBR,1.0,(25.0),1.0,9.0,35.0,(68.0),18.0,55.0,25.0,16.0,-,-,-,-,-,-,-,-,-,-,253.0,160.0
29,SHAHAR TIBI,4444,ISR,-,-,-,-,25.0,13.0,23.0,9.0,17.0,(35.0),(32.0),26.0,25.0,6.0,24.0,13.0,-,-,-,-,248.0,181.0
29,LUC SCHMITZ,2896,,(17.0),1.0,9.0,11.0,29.0,35.0,26.0,(40.0),37.0,24.0,-,-,-,-,-,-,-,-,-,-,229.0,172.0
30,KATERINA SVIKOVA,2503,CZE,-,-,-,-,11.0,25.0,13.0,21.0,15.0,17.0,(33.0),(38.0),16.0,28.0,19.0,31.0,-,-,-,-,267.0,196.0
30,YUN POULIQUEN,5244,,1.0,5.0,(37.0),9.0,16.0,43.0,(45.0),37.0,41.0,21.0,-,-,-,-,-,-,-,-,-,-,255.0,173.0
31,MINA MOBEKK,3502,NOR,-,-,-,-,29.0,23.0,(35.0),17.0,13.0,7.0,17.0,20.0,29.0,(38.0),16.0,33.0,-,-,-,-,277.0,204.0
31,MAX CASTELEIN,3355,NED,7.0,(11.0),9.0,7.0,47.0,44.0,(74.0),33.0,20.0,9.0,-,-,-,-,-,-,-,-,-,-,261.0,176.0
