Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
21,MATHIAS MOLLATT,3284,NOR,(17.0),6.0,12.0,15.0,9.0,15.0,10.0,5.0,(42.0),17.0,9.0,3.0,29.0,41.0,-,-,-,-,-,-,-,-,-,-,230.0,171.0
21,"LEONIE MEYER, ELENA STOFFERS",2763,GER,-,-,-,-,-,-,-,-,2.0,18.0,15.0,(21.0),19.0,5.0,4.0,4.0,10.0,13.0,5.0,21.0,22.0,(24.0),-,-,183.0,138.0
22,ASHLEY STODDART,403,AUS,15.0,3.0,17.0,(22.0),12.0,16.0,20.0,-,25.0,21.0,3.0,(32.0),17.0,10.0,-,-,-,-,-,-,-,-,-,-,213.0,159.0
22,"YAGO LANGE, KLAUS LANGE",5194,,-,-,-,-,-,-,-,-,9.0,(35.0),19.0,21.0,11.0,11.0,13.0,5.0,12.0,18.0,14.0,(26.0),16.0,18.0,17.0,-,245.0,184.0
22,JEEMIN HA,2160,KOR,13.0,13.0,14.0,16.0,17.0,24.0,6.0,(29.0),23.0,31.0,(42.0),10.0,15.0,8.0,-,-,-,-,-,-,-,-,-,-,261.0,190.0
22,SOPHIA REINEKE,4544,USA,22.0,(28.0),23.0,23.0,(33.0),23.0,28.0,-,20.0,20.0,20.0,1.0,24.0,27.0,-,-,-,-,-,-,-,-,-,-,292.0,231.0
22,JAMES ESPEY,2088,IRL,(42.0),33.0,38.0,38.0,23.0,29.0,14.0,36.0,(57.0),21.0,28.0,24.0,2.0,-,-,-,-,-,-,-,-,-,-,-,385.0,286.0
22,"RAGNA AGERUP, MAIA AGERUP",4093,NOR,-,-,-,-,-,-,-,-,11.0,10.0,6.0,7.0,10.0,(14.0),13.0,13.0,(25.0),23.0,15.0,24.0,13.0,1.0,-,-,185.0,146.0
23,"THOMAS BARROWS III, JOSEPH MORRIS",4754,,-,-,-,-,-,-,-,-,22.0,15.0,24.0,8.0,4.0,(25.0),7.0,5.0,16.0,7.0,(23.0),16.0,22.0,16.0,23.0,-,233.0,185.0
23,SVENJA WEGER,4650,GER,(16.0),11.0,12.0,15.0,12.0,14.0,8.0,-,(32.0),20.0,15.0,22.0,18.0,16.0,-,-,-,-,-,-,-,-,-,-,211.0,163.0
23,JACK WETHERELL,2051,GBR,14.0,(35.0),27.0,8.0,13.0,7.0,23.0,25.0,13.0,12.0,21.0,9.0,(49.0),20.0,-,-,-,-,-,-,-,-,-,-,276.0,192.0
23,MAURA DEWEY,3348,CAN,16.0,30.0,26.0,23.0,(31.0),30.0,(32.0),-,10.0,17.0,12.0,25.0,28.0,24.0,-,-,-,-,-,-,-,-,-,-,304.0,241.0
23,MARCUS MAGNUSSON,3098,SWE,30.0,40.0,22.0,35.0,(42.0),28.0,39.0,(42.0),10.0,37.0,6.0,16.0,28.0,-,-,-,-,-,-,-,-,-,-,-,375.0,291.0
23,"SINEM KURTBAY, SILJA KANERVA",4507,FIN,-,-,-,-,-,-,-,-,9.0,14.0,13.0,10.0,15.0,5.0,(18.0),7.0,(23.0),19.0,23.0,13.0,4.0,15.0,-,-,188.0,147.0
24,IGOR LES,1975,MNE,39.0,37.0,24.0,41.0,38.0,33.0,(42.0),41.0,(57.0),24.0,9.0,11.0,16.0,-,-,-,-,-,-,-,-,-,-,-,412.0,313.0
