,Rating
"LOGAN DUNNING BECK, OSCAR GUNN",1284.5266006680627
"MARK HASSETT, OISIN O'DRISCOLL",1285.606892723691
"JOHANNES SCHEFFOLD, NICK FEDERSPIEL",1286.2944163248662
"THOMAS STAPLES, WILLIAM STAPLES",1287.0765107549603
"HANS HENKEN, JUDGE RYAN",1288.5365175673255
"TOM METHVEN ,  WILLIAM ALLOWAY",1289.1871279688219
"DYLAN FLETCHE, R-SCOTT, STUART BITHELL",1289.5794528960078
"JOLBERT VAN DIJK, PIM VAN VUGT",1290.2343852319766
"KKBIYAMOE U, KNSYGAODNUUGKNWGOODUK,",1290.361445834473
"TOM FYFE, JAMES WILSON",1290.559538526272
"JORDAN JANOV, GRANT JANOV",1290.9411660241637
"PHILLIP HADAMCZIK, JONAS VON MAYDELL",1290.9874163224176
"GRAEME WILLCOX, ANDREW TARBOTON",1291.1212777291357
"CARLOS PAZ, LUIS BUGALLO ARRIOLA",1292.3223048784375
"ANDER BELAUSTEGUIGOITIA, DANEL BELAUSTEGUIGOITIA",1293.417103788307
"BRADLEY FUNK, SAMUEL HODGES",1293.9097679882811
"AL HADI MUSAB, AL RAHSDI HASHIM",1294.0350660251336
"MARCEL MARCINIAK, PATRYK ROZAK",1295.190529778854
"JOSE PEDRO CHIFFLET, FEDERICO RADOVITZKY",1297.1495203549355
"JOHANNES REDER, PAUL LUCAN",1298.2582966315915
"GRAEME WILLCOX ,  ANDREW TARBOTON",1298.9591836030013
"STAPLES, STAPLES",1299.1878216594644
"MAS I ROMERO NIL, ALEGRE SANTIAGO",1300.7802312070467
"JAKOB PORTHUN, MALTE JACOBS",1300.8764115448532
"JAMES OLSSON, HENRIK MERGED ERIKSSON MERGED",1301.370868192769
"DENIS SHCHEGLOV, MICHAIL POPOV",1301.695425560761
"FNROABNLCE,I SP,R IMNCAENU",1301.746449296771
"IOANNIS ORFANOS, PAVLOS SERAFEIM KAGIALIS",1302.325516650771
"THEO WILLIAMS, DREW BARNES",1302.4954301649946
"TAL SADE, ELY REUVENY",1303.0894354575203
"VICTOR SILEN, CHRISTOFFER SILEN",1305.8997527191773
"STEFAN SCHNEIDMADEL, LUKAS MEIER",1307.0775762213405
"LEVI SLAP, MAX SLAP",1307.325175104389
"VICTOR SILEN ,  CHRISTOFFER SILEN",1308.675816616689
"JAMES WIERZBOWSKI, WILLIAM PHILLIPS",1309.588655069972
"PEDRO COSTA, JOAO BOLINA",1310.1326298630277
"LINUS RINDSFUSER, CEDRIC SCHENK",1310.1466840450298
"JOAKIM SALSKO, V-IVERSEN, ANDERS JOHANSEN",1310.401306893044
"NAUDY YANNIS, AUBRIOT VIRGIL",1311.2755804564397
"WADE WADDELL, IAN MACDIARMID",1312.2850074162166
"WESTERLIND, ARONSSON",1312.5996113391484
"EMILE AMOROS, BREWAL NAEL",1312.9384678315905
"DMEO LVIOASK,O WV,I EABLREAKNSDANDER",1313.0637585451582
"SOLUNE ROBERT, VALENTIN SIPAN",1313.9251903184738
"SANTIAGO SILVEIRA, PHILIPP UMPIERRE",1316.4921596199254
"DOUGLAS LEUNG, AUGUSTIN CLOT",1317.771310782581
"PONTUS DACKHAMMAR, MARCUS HOGLANDER",1317.8247584802414
"MACIEJ KRUSIEC, ADAM GLOGOWSKI",1317.9150796604029
"LARS VAN STEKELENBORG ,  FLORIS VAN DE WERKEN",1318.3397151775455
"SEAN DONNELLY, TADGH DONNELLY",1318.5928578521264
"SCHNEITER SEBASTIEN, CUJEAN LUCIEN",1320.360453835745
"HASSETT MARK, O'DRISCOLL OISIN",1321.567815996302
"CAMPOLI EDOARDO, CIANCHI LORENZO",1321.7170134760518
"ROIHU JUUSO, ROIHU HENRI",1321.915577245675
"JOHN COOLEY, THOMAS CUNICH",1324.3054069466978
"LHIITLTDLEEBCRHAINLDD,,  JRAYCAKN",1324.317353670332
"TOBIAS HEMDORFF, SEBASTIAN BYRSTING",1324.388235241138
"JOLBERT VAN DIJK, PIM VAN VUGHT",1324.433507469661
"PEACH MORGAN, HAWES RHOS",1325.01265828305
"BERTRAM RADICH, JONATHAN WEIMANN",1325.6156453962049
"TOMASZ JANUSZEWSKI ,  JACEK NOWAK",1326.1183781296843
"MALTHE EBDRUP, SEBASTIAN WRIGHT OLSEN",1326.1550813906003
"PANAGIOTIS KAMPOURIDIS, STELIOS NOUTSOS",1326.7501922143265
"HARRISON SLY, THOMAS DWYER",1327.982114612042
"BENJI DANIEL, ALEX BURGER",1328.388123322091
"PETERS, STERRITT",1331.2235436323238
"ARUMAOLR, OLSU,C AESMILE",1331.5404312899932
"BUGALLO ARRIOLA LUIS, LORENZO ROMAN JORGE",1331.9425026694148
"KAMBOURIDIS NOUTSOS, NOUTSOS STYLIANOS",1332.1082014786277
"WEI HONG, WANG LIUHAN",1333.4090761657494
"ISAAC KALE MCHARDIE, WILLIAM MCKENZIE",1333.4865668725527
"CHARLIE HIBBEN, SCOTT RASMUSSEN",1333.501576323208
"ANAND THAKUR, SATYAM RANGAD",1334.7121353588232
"WWIIZZNNEERR,,  JMAAIRMTIEN",1335.5112241198926
"HASSON, HARDEE",1335.5840645945505
"ANTONIS TSIBOUKELIS, STYLIANOS NOUTSOS",1335.681964932488
"IVAN ZOTOV, IVAN ZOTOV",1335.8611324693984
"CLAUDIO DE FONTES, GIOVANNI SANFILIPPO",1336.562579363748
"TIM FISCHER ,  FABIAN GRAF",1337.5200289764302
"RYAN LITTLECHILD, JACK HILDEBRAND",1338.321980272701
"TOM SIGANTO, JOEL TURNER",1338.6847345654307
"BENJAMIN JOSE GREZ AHRENS, CRISTOBAL GREZ AHRENS",1340.614361979981
"DING MINGLIANG, ZHANG WENWEI",1341.304018384528
"SARAH ROECK, JULIAN GABRIEL",1341.9027696814724
"FYNN STERRITT, JAMES PETERS",1342.4171636082262
"MANU DYEN, MARC MALLARET",1343.6525923684314
"KLAES MEIE, R-ANDERSEN, CARL EMIL BAAD NIELSEN",1344.207102337479
"XIN WANG, TIANYU QI",1345.4138676575376
"JOHN FERGUSON, ARTHUR FERGUSON",1346.7220808263066
"VICTOR PAYA CANAL ,  ENRIQUE ORTIZ RAPALO",1347.0417817882799
"MARSANS BALCELLS, RUIZ IBANEZ",1347.8491015087102
"ALEXANDER HEINZEMANN, EDWARD COLEMAN",1347.8675408536972
"TIMOTHEE DEPERY, GOULON CORENTIN",1348.8138305892917
"KLAES MEIE, R-ANDERSEN, CARL EMIL NIELSEN",1351.031364479977
"CARL EMIL SLOTH, ANDREAS HOFFMANN-PETERSEN",1351.0717717741627
"DANIEL NYBORG, SEBASTIAN WRIGHT OLSEN",1351.1923226236477
"TYTUS BUTOWSKI, BORYS PODUMIS",1353.8842736796198
"WEI HONG, ZHIBO ZHOU",1354.1890060112785
"STYLIANOS SOTIRIOU, ALFONSO PANAGIOTIDIS",1354.6258905817363
"LUCIEN CUJEAN, SEBASTIEN SCHNEITER",1355.2084015692383
"SANGWOO BAE, KYOUNGDUK KIM",1356.4847787135966
"KIM NICLAS HOLSTE ,  YANNIK HOLSTE",1356.521472096369
"MEIER-ANDERSEN KLAES, NIELSEN CARL EMIL",1356.8066460442208
"LENNART FROHMANN, MAGNUS FROHMANN",1357.0100759638328
"BMEURNGKSBTYR, OAMX,E LFREDRIK",1357.7357652099167
"DONG GYU LEE, WONJAE LEE",1357.7612948754158
"JONATHAN GOLDSBERRY, CHAD FREITAS",1358.0667749749728
"CARLOS PAZ, ALVARO DEL ARCO",1358.5342693685889
"HUW EDWARDS, ROWAN EDWARDS",1358.9253933036914
"HARRY MELGES IV, WILLIAM ROWE",1359.0662905911008
"BELAUSTEGUIGOITIA, BELAUSTEGUIGOITIA",1359.161224751916
"YI NIAN KOH, JEN-E TAN",1359.3046492999085
"LINOV SCHEEL, MAXIMILIAN STINGELE",1364.135884659645
"MORITZ DORAU, RIKO ROCKENBAUCH",1365.0099287782248
"MARIO SEGERS ,  FEDERICO VILLAMBROSA",1365.9617396669494
"GUSTAVO ABDULKLECH, NICOLAS BERNAL",1366.3949769517094
"HUISMAN, SWART",1366.5941408239223
"AKIRA SAKAI, RUSSELL ALYSWORTH",1366.6951389791116
"DANIEL NYBORG, SEBASTIAN EMIL WRIGHT OLSEN",1367.074214444804
"MARIUS WESTERLIND, OLLE ARONSSON",1367.50391304474
"ABU, WIRTHEIM",1368.3147331525995
"SEAN DONNELLY, MARCUS OLEARY",1368.5701990416699
"HDEANVERYY,,  MOITLTEOS",1368.7744184532244
"KALINCHEV PAVEL, KARACHOV PAVEL",1369.3498754552697
"KELAPANDA, THAKKAR",1369.4491705533712
"SEBASTIEN SCOTTO DI FASANO, MATHIEU FREI",1371.6537493175865
"TIAGO ALVES, RICARDO ALVES",1371.767994763282
"RYAN WOOD, ANDREW WOOD",1371.8334683429273
"NOAH LYONS, JOHN MICHEL",1371.851683029875
"SILEN VICTOR, EBM SILEN CHRISTOFFER",1373.2424407703897
"FREDERICK STRAMMER, MICHAEL KUSCHNER",1374.5271313328874
"MATHISEN TOMAS, MATHISEN MADS",1374.960596941721
"TOMAS MATHISEN, MADS MATHISEN",1375.0565662970755
"TOBIAS HEMDORFF ,  SEBASTIAN BYRSTING",1375.3652109831028
"ALEC ANDERSON, CHRISTOPHER BROCKBANK",1375.6499365254545
"DEHN-TOFTEHOJ, FUGLBJERG",1376.7576652210992
"SIMON HEINDL, CONRAD JACOBS",1378.8415762994175
"HDEE UJNOINNGCHKE, ,J AARNTHUR",1379.76930527412
"YANNIS SAJE, JULIAN DEUSCHL",1380.074951090105
"AHMED AL HASANI, ABDUL RAHMAN AL MAASHRI",1380.4641631737084
"HARRY PRICE, HARRY MORTON",1380.574696265409
"ALEXANDR MOSKVICHEV, KIRILL ELCHANINOV",1381.0401198135173
