,Rating
TETIANA NIKITENKOVA,1374.6717802628325
MORITZ FISCHER,1375.322766948383
ABREU GARCIA INES,1375.395008467644
EMILS MIKUS BASKEVICS,1376.1324526000749
SACKER MOLLY,1376.4762737491292
LISA FASSELT,1376.5160890597701
SELINA EBERLE,1377.0242404058854
JOSEPH JAECKY,1377.1380242513515
YI XIN LI,1377.6814163086485
BAUDET LEONIE,1378.540081335338
BRECHT ZWAENEPOEL,1378.787913150434
ALEKSANDER KRYSIAK,1379.4566940891962
CHRISTOFF SCHIEGG,1379.747532541761
OSKA KNOBEL,1380.5460781759482
HENRY BRENNE,1380.9892780178757
JUAN BARTOLOME CHA VACCARI,1382.314627378462
TOMAS PELLEJERO,1382.3249350438205
JUERGEN LEMKE,1382.4658346964648
MOMOKO TADA,1383.0044580447056
KLAEBOE MIA,1383.1273101858862
HENRIETTE HABERLAND,1383.5234354212914
JACK DE RIJK,1383.5477205942307
THOMAS VEZ,1383.906237379356
PENRUDDOCKE ADRIANA,1384.9062837203426
LENA ABENDROTH,1385.3687937728146
MARCUS ANDERER,1385.8137042220092
GU MIN,1386.1535447739136
SANDRA LULI,1387.628570269669
KOBA HANNA,1387.968462159537
LUCA VANLAEKE,1388.0980003708087
"RICARDO GI, ESSLER",1389.0789746082035
MARILENA MAKRI,1390.014858938477
COLLIN FINLEY RIEHL,1390.0341910850289
LIHUEL GOMEZ LACCHINI,1390.411343202628
KILMARTIN SOPHIE,1390.8409899058015
LOIC QUEYROUX,1391.150351696222
KERSTIN NOLLERT,1391.5150754015638
THOMAS THYM,1391.6450324472269
LEON PFAFF,1394.026252404513
CALDECOAT PAIGE,1394.3699360320863
BARWINSKA AGATA,1395.7584401858674
MAX FRANK,1396.2497318104538
BIANCA TUNGER,1397.125635548365
ELENA OETLING RAMIREZ,1397.6760962270573
LENA HAVERLAND,1398.3007267984806
IGNACIO FRIAS,1398.4878136692387
HALD LISA MARIA,1398.5373011222089
HENSEL LINDA,1398.762552889795
WILLIAM DE SMET,1399.951134756512
CESAR SIERHUIS,1400.235595212654
TRISTAN SCHNITZER,1400.868769082739
YOLANDA GEBEL,1402.371203591648
FINN PETZOLD,1402.8058940134097
STEPHANIE NORTON,1403.2256791289878
MAXIMILIAN OTT,1403.2523575888138
NICO HEISE,1404.6207594015689
INGRID BOEN,1405.4293283697582
DONERTAS DENIZ,1406.0681997866725
REMO STEINMANN,1406.1326163514645
SINGLETON IRIS,1406.2175038161442
FEDERICO ISEM,1406.5455729344776
LORENZO BRANDO CHIAVARINI,1407.9985319417021
MATTIVI EMMA,1408.390452948446
MARIIA KISLUKHINA,1408.4629349803593
WIKTORIA GOLEBIOWSKA,1408.6413509421548
ADRIANA PENRUDDOCKE,1409.0309520614758
PAULINE LIEBIG,1409.5595975335802
SINDRE SOREBO,1410.30233691641
JAN PUTZIER,1410.4437910657173
PAIGE RAILEY,1411.9730703794314
WOLFGANG FUSS,1412.0101041864214
ANDERSEN PUK,1413.8828637336494
KARL SCHMID,1414.1145574336958
AGUSTIN SAGUIR,1414.5861578890242
FREDERIK LAY,1414.9627247782762
FRAZZA FRANCESCA,1415.082834869942
JOSEPH RICHARDSON,1415.5564691639147
PERELLO MARGA,1415.6644943280464
HALLIE SCHIFFMAN,1416.5372557864782
SEBASTIEN BAUDIER,1416.872471159825
FRANCISCO RENNA,1417.4866106973855
BAVO SMETS,1417.7922092975534
SOPHIA MONTGOMERY,1418.760111274713
EKATERINA ZYUZINA,1418.9337934897555
JOSEFIN OLSSON,1419.335420871633
IUORIO ALINA,1419.545467590719
GUIDO BRUCH,1419.9984978890557
KLAUS SARZIO,1420.5269353990634
FRANK STORCK,1420.9516942462853
ANDERSSOHN HANNAH,1421.3977089127086
VIDMAR LANA,1421.5346517112796
HANS HABERLAND,1422.1390021909026
MONCADA SANCHEZ ANA,1422.5686102832683
VERONICA JORDANA,1422.6111075551867
CLARA BEN-AMOR NUNEZ,1422.8052339430737
REINO MARTINA,1422.8938765765743
CLARA GRAVELY,1422.9679777107083
FATIMA REYES,1423.6602105420025
ZYUZINA EKATERINA,1424.0768576878363
SYLVIE STANNAGE,1424.5124989517942
MAURA DEWEY,1424.7174556309883
JANNES LLULL,1425.254157931801
HAJI-MICHAEL ANYA,1425.8548177155305
MAREK ZALESKI,1426.2252202543941
MATTI RODRIAN,1426.4833072803488
MORITZ POPP,1427.2073820491928
LEA SOPHIE CLAASEN,1427.598684633664
MILDA EIDUKEVICIUTE,1428.715078008893
ANTON THONFELD,1429.3323808540028
JEANETTE SCHLOSSER,1429.619088122135
STEPHANIE LOUISE NORTON,1429.917799952148
VICTOR AUGUST RONNING SOLSTAD,1430.3358913870732
MATTEO WALLAU,1430.6219625570384
BARBARA SCHOL,1433.4662941835177
LAURA BO VOSS,1433.7650774208466
JAKOB SUIKAT,1433.9572437081358
JOEL RODRIGUEZ,1434.9470279913598
SHANA BURGER,1435.059109118232
HYE WON JUNG,1435.6800587183714
MARIANNE BERG,1435.7621633718559
LASSE WEIGT,1437.2710995906982
TOM NACHTSHEIM,1437.5370209034595
SARONA ALIDA CAUNE,1438.4083573749003
FLORENCIA CHIARELLA SALAS,1438.6202646581628
SEGNINI NICOL,1439.2077889623756
PIERRE VANDECLEE,1439.7589547783152
LENNY ZUGER,1441.1147341744409
BIRGIT RIEMANN,1441.4174664497602
LINE-ANNELIEK PAHLER,1441.5443861483113
BERNARDO LOW-BEER,1441.8185421771132
BOROVKOVA ELIZAVETA,1442.0117193257777
NIELS BROEKHUIZEN,1443.6540002606746
GASKELL-BROWN HANNA,1444.4213557741916
LAURA SCHEWE,1445.6847818709643
KUMPINA ESTERE,1445.784197225597
NETHRA KUMANAN,1445.8511569381412
BAUTISTA BECERRA,1446.6075563614197
LEVI VOGEL,1447.2242939023702
"SEBASTIEN VAN DE VOORD, E, -VAN BOCXLAE",1447.346722117545
ZHANG DONGSHUANG,1447.8398658920682
OLIVIA CHRISTIE,1448.144412192134
LAURA BOUCKAERT,1448.2778683974361
AOIFE HOPKINS,1448.7983368138598
NIKLAS BUTTNER,1449.0609387952609
THOMAS BUTTNER,1449.9667667517156
SIJP TE WITT,1450.0252879560874
GEORG JENSEG,1450.2940221718054
KAKON SHAI,1450.4298527060657
GRY DAHL,1450.8700873716593
SANKO EKATERINA,1450.9568911879023
HENRIETTE SCHADE,1451.3076331917443
MARIT BOUWMEESTER,1451.3627919121072
JUAN PABLO BISIO,1452.3481055672996
THORSTEN WYK,1452.5981874348588
FELIPE BLAS ALFARO,1454.5853805649144
ANNALISE MURPHY,1454.7750942812077
JOHANNA WILD,1454.8495662670332
ROMAN AVRAMENKO,1456.5697881522053
YUMIKO TOMBE,1456.5946634188479
PAUL PATALAS,1457.0063100356597
CORALIE VITTECOQ,1457.2208745361775
HANNA KOBA,1458.3247425308475
MAILYS RADULIC,1458.6635043333
CAREN NIEZEN,1459.4242054393992
OPSTAELE CANNELLE,1459.6347720256103
CHRISTIE OLIVIA,1459.8001708189877
ROCA DE TOGORES ASCENSIC/N,1459.8901157092912
PORTOLOU VARVARA,1459.9949678161363
TIMOTEO FILIPPINI,1460.6040863965745
CARLES-TOLRA MIRIAM,1460.6150688581938
AGUSTIN VIDAL INCATASCIATO,1461.0313141232357
SOFIE FORLI,1461.6315448902517
ANNA-KATHARINA SCHMOLZER SCHMOLZER,1462.1334985151366
DANTE VOLKER,1462.5552802682414
ALINA SHAPOVALOVA,1463.033698798006
MATTHEW CHASSOT,1463.937514018572
JAN CEGIELSKI,1464.0721527985659
SOREN HOMME HALAND,1465.41785102512
TATIANA DROZDOVSKAYA,1465.9900810903744
MARTIJN VAN DIJK,1466.5579042882625
WILFRIED LIEKMEIER,1467.218985668432
BOCKL JOHANNA,1467.2320264816767
MAX STRUVE,1468.4048180883833
BEREZA EKATERINA,1468.8135636208622
PALANTI ALESSIA,1469.7051784231498
NICOLO VILLA,1469.7055974763814
HECTOR RENE DAVID,1470.5187983228438
RUDOLF FREUND,1470.732125688781
LEONARD ALEXANDER MAIER,1470.9896638595794
FINN DAMMANN,1471.5692530181627
NUR SHAZRIN MOHAMAD LATIF,1471.6528494486433
TOBIAS SORGE,1472.1395171540355
SOREN HAMPEL,1472.9553654465053
BETTINA CIESLA,1473.2322240121298
TOM STRUVE,1473.4333215917939
ANTOINE COMBY,1473.4427368026109
HIMMELOVA KLARA,1474.3302047527832
ERKAN ZULAL ALEV,1474.8246992054453
"EMILIE VAN DE VOORD, E, -VAN BOCXLAER",1476.8045591738771
EMMA PLASSCHAERT,1477.0974447941105
MARTIN RENN,1477.2101764611014
MAELLE FRASCARI,1477.2650587723144
REINO CAHO MARTINA,1478.2985015381716
SAM WHALEY,1478.3729282026052
"EDUARDO ""EDY"" BRANZ",1478.477477220394
IDA-LINN VITTERSO,1478.8783733312946
DAVID BUCHLER,1479.4997964655095
HIGHFIELD NANCY JANE,1479.8217452081265
ANNA WEINZIEHER,1480.6327833778541
BENDIK STENING,1481.0025205093887
NANCY JANE HIGHFIELD,1481.5607591995101
HANNAH QUINT,1481.785302395315
ANG JANIA,1482.4140820985267
PAIGE CALDECOAT,1482.7698056465022
FELIX D URSEL,1482.774538097606
CLAUDINE TATIBOUET,1483.0727709631253
JACOB HOFFMANN,1483.1182485915197
JESSICA WEBER,1483.7743676278208
SABRINA QUEREN,1484.854562972233
HABERLAND HENRIETTE,1485.2692436232196
BERTHOLD OELZE,1486.1942265328612
ANA CAROLINA TONNIGES ROTH,1486.4328589127558
AENNA HARTENBERGER,1486.5525479113403
KAZUMASA SEGAWA,1487.0352796498155
MATHILDE HEIDER,1487.1984474890119
WEIYI LU,1487.2745448920793
ANA MONCADA SANCHEZ,1488.5188010816314
TUZUN ECE,1490.0014676728513
MIKKEL JANSEN,1491.0472328442715
TILL HEIMANN,1492.3458779072953
DELLA VALLE GIORGIA,1492.7750076744421
MARIE DIETMAIR,1492.7888633271436
ENNIO TURRIN,1493.769897046069
LEVIN KOSKA,1493.8757957244634
JETTE FINTZEN,1494.0411888464594
SOFIA ALEJANDRA D'AGOSTINO,1494.3864846573424
"JARI M, USSBACH",1494.5916474452958
MITCHELL KENNEDY,1495.6946257225536
VON ALLMEN ANJA,1495.7153955002445
LUCIE BEN-AMOR,1495.8451383211914
EBRU BOLAT,1495.8799152490742
NANCY HIGHFIELD,1495.8962215294548
MIRJA SPARN,1496.4748166292059
HANNA REVUTSKA,1497.1846964732185
FLORENCIA CHIARELLA,1498.9280990399104
NILAS GOA DIAB,1499.083287164229
IAN JONES,1499.5786376730546
EMILS AMSILS,1500.0
JULES COCK,1500.0
UWE CLAASEN,1500.0
ANDRES FONTAN,1502.339894881323
CARL AMEND,1502.5017921896035
MAITE CARLIER,1502.5882928137928
AKSEL NAESHAGEN,1504.0918007262185
CARLOTTA RIZZARDI,1504.3969074119595
LUCIANA CARDOZO,1504.9054990573711
LILIENTHAL MIA MARIN,1505.1754176432285
TONCI STIPANOVIC,1505.5758769617148
MARTHE EIDE,1506.4547456367725
NILS FLORYZAK,1506.6908091989794
EVA DEICHMANN,1507.0501003948732
MIKA HYNER,1508.0966240062453
MANUEL CADARSO,1510.2946290583232
LUKE ELLIOTT,1513.012199045046
SARA CARMO,1514.0177385708334
ALEJANDRO KUFFER,1514.087687336574
BRENDA BOWSKILL,1514.1855538980233
BAUDET ROSINE,1514.2693159762591
IAN RAWET,1516.0843205532487
ARTHUR FROMM,1516.2256323721792
LEO CONRADT,1516.5097736790035
FELIX KLIER,1516.797198682587
KATHARINA SCHOCH,1517.1547428894823
ANDERS BULTYNCK,1517.225461902394
FALASCA LUCIA,1517.6604004854792
TOMAS BODETTO,1518.2522255911033
VERSTRAELEN ELINE,1518.4343341215222
MORITZ HARTMER,1518.8150813401094
WIND ROOS,1520.356886818759
BART MEYNENDONCK,1520.6760489466233
MAURICE HORRAS,1521.4865823229627
ZAN LUKA ZELKO,1521.6743752849688
ELINE VERSTRAELEN,1523.3311342205213
ALEXANDER ROTHHOFT,1523.9718901744445
JESSE MO METT,1524.0042696341252
SUSANNAH PYATT,1524.2272969877724
SAFIN ROMI,1524.569782228902
SANDRA LULIC,1526.7452919237157
MATILDA TALLURI,1526.7994610083733
KYM AHRENS,1527.140352360048
WALTER GAHWILER,1528.6496126148122
LEON KAHL,1529.4404399057164
EMELIE JOY HARDER,1529.4858368638543
LETIZIA LAY,1529.6405068805543
ANTONY MUNOS,1530.3414437984075
VIKTORIJA ANDRULYTE,1530.363579576466
HELENE GRUNDVIG HVIDSTEN,1530.3832364775337
PIERRE-PHILIPP SCHABER,1531.5032886088463
DOLORES MOREIRA FRASCHINI,1532.3983327074018
JACQUES PERRET,1532.5986458179284
SAKELLARIS CHRISTINA,1533.535508528519
BENJAMIN GALVAN,1534.182153266993
ARTEM FILATOV,1534.4073150419088
YUYA LONFILS,1534.4623749837226
MAX SCHWARTING,1535.137535816571
FRIIS JENSEN ANNELIE,1535.556198215514
LUKA SCHERENS,1535.6093476334463
NAUMENKO SOFIIA,1536.0105045771334
BORIS DE WILDE,1536.3023043859887
PAPENTHIN GESA,1536.425011271106
ATHANASIA FAKIDI,1536.942320183955
FABIANA EBERLE,1537.1275591065237
CHARLOTTE ROSE,1537.8641355945117
TONI SCHMIDT,1537.8665014848634
VALENTINA BALBI,1539.0067325963835
TILL KOLLREP,1539.008052909114
JONATAN VADNAI,1539.0153786506148
TIMO LAUKHARDT,1539.7713171340001
NUR ALIA AMEERA MOHAMAD LATIF,1540.5562944817955
HANNE BIRKELAND,1541.1250929767134
PHYLLIS-SOLVEIG VOGT,1541.2697226872365
ARIKAN OKYANUS,1541.3664330934319
PAULINE BASTIAN,1542.0673767944463
ROGER TORRES,1542.157554759933
PERES LUISA,1542.4865368115495
FLORIAN CIESLA,1543.0076384372232
SERRANO CASTRO MARINA,1543.1657636108419
ALEXANDER BORODULIN,1543.7852448697383
MARIAN FIEDLER,1545.2839196174973
ANAIS WIENEN,1545.41733107534
KOURAVELOU ARGYRO,1545.890961927365
CORNELIUS BRACHT,1546.5197836087596
KERSTIN ALTMANN,1547.1172632009839
MILIVOJ DUKIC,1547.6981533731653
MARC MESSERLI,1548.6923668082557
AGNES BOMER,1549.1303930202282
METTE AABYE,1549.9787313525837
AGNESE CAIAFA,1550.1419590121504
