Pos;Sail #;Bow;Crew / Club;"1Q(CR)2Q(CR)3Q(CR)4Q(CR)5Q(CR)6Q(CR)7Q(CR)8Q(CR)9F(CR)10F(CR1)1F(CR1)2F(CR1)3F(SL1)4/1F3(SF(L1C)5/R1F)4(SF(L1C)6RF)(SL1)7F(CR1)8F(CR)MR     TOTAL      NET
(rank)";;;;;;;;;;;;;;;;;;;;
90;CYP 17;;CHRISTOFIDES, Iakovos / LARNACA;-44;42;42;43;40;-44;43;43;33;36;-37;22;25;29;;;;;;523;398
91;HUN 196;;SANTA, Bence / MAGYAR SZORF;-48;38;40;38;41;43;41;-45;-37;33;36;33;27;31;;;;;;531;401
92;GER 730;;POGGEMANN, Lars / LARS;DNC (58);DNC (58);43;35;46;47;46;42;-42;29;33;32;34;23;;;;;;568;410
93;POL 46;;UGNIEWSKI, Daniel / UR RACING;46;48;44;42;48;50;DNC (58);DNC (58);21;35;26;BFD (58);11;44;;;;;;589;415
94;UKR 5;;MENDELENKO, Oleksandr;41;46;47;41;43;-48;-49;40;16;28;28;BFD (58);BFD 58;37;;;;;;580;425
95;GBR 553;;YELLAND, Clay / Weymouth Warriors;46;39;-50;DNC (58);45;45;45;39;-40;37;34;39;40;22;;;;;;579;431
96;AUS 5225;;MARQUARDT, Jack / DIVERSITY;45;42;44;-50;50;DNF (58);47;46;29;38;-41;29;22;40;;;;;;581;432
97;HUN 401;;KOSSOVICS, Mate;47;44;-48;RDG 46.40;-49;44;38;47;36;-39;31;35;38;27;;;;;;569,4;433,4
98;TUR 1826;;TUNCER, Ali Berk / GALATASARAY;-53;43;49;49;DNC (58);46;43;37;44;25;43;30;30;-52;;;;;;602;439
99;GRE 1;;KALPOGIANNAKIS, Alexandros /;-49;41;42;40;42;-46;42;41;41;41;40;37;-43;41;;;;;;586;448
100;EST 143;;ROOLAHT, Romek / ROMEK ROOLAHT;-51;-51;49;45;44;41;44;49;38;-40;30;38;35;36;;;;;;591;449
101;LAT 188;;DZINRIEKS, Martins;-51;44;-53;46;49;49;50;47;34;34;-48;36;42;43;;;;;;626;474
102;CYP 3;;CHARALAMPOUS, Vasilis / PARIMACH;45;-50;47;47;RET (58);50;48;46;39;43;39;40;37;-48;;;;;;637;481
103;FRA 1;;ARNOUX, Tom / BANQUE POPULAIRE /;22;11;24;25;DNC (58);DNC (58);DNC 58;DNC 58;DNC (58);DNC 58;DNC 58;DNC 58;DNC 58;DNC 58;;;;;;662;488
104;EST 207;;ERVIN, Frank;50;47;45;47;50;51;-52;DNC (58);-47;42;44;46;45;33;;;;;;657;500
105;FRA 16;;POULIQUEN, Yun / BANQUE;29;20;32;19;DNC (58);DNC (58);DNC 58;DNC 58;DNC (58);DNC 58;DNC 58;DNC 58;DNC 58;DNC 58;;;;;;680;506
106;CZE 777;;ZÍMA, Jakub;-54;48;-52;48;51;49;49;45;43;46;-47;45;44;45;;;;;;666;513
107;AUT 53;;PETER, Theo / PATRIK, STRöCK,;-53;-54;51;50;48;52;47;51;-52;47;46;47;48;46;;;;;;692;533
108;TUR 348;;TÜRKER, Ozan / DOGUS GRUBU;50;DNF (58);50;49;DNC (58);DNC 58;50;DNF 58;50;49;49;42;32;DNC (58);;;;;;711;537
109;GRE 4;;KONTARINIS, Petros / FORWARD;54;52;52;51;DNC (58);DNC (58);DNC 58;DNC 58;-51;48;45;43;46;38;;;;;;712;545
110;TUR 2004;;DERINLER, Dora;48;53;DNF (58);RET (58);DNC 58;DNC 58;DNC 58;DNC 58;46;45;42;41;DNC (58);47;;;;;;728;554
111;GRE 19;;SOLIDAKIS, Vassilis / ELVALHALCOR;56;DNC (58);DNC (58);DNC 58;51;DNF 58;53;50;-53;51;51;48;49;51;;;;;;745;576
112;HUN 53;;HAMRÁK, Mihály;55;50;DNC (58);DNC (58);DNC 58;DNC 58;DNC 58;DNC 58;49;50;50;44;47;-53;;;;;;746;577
113;UKR 10;;MENDELENKO, Vladyslav;55;DNF (58);DNF (58);DNC 58;DNC 58;53;54;DNC 58;-54;52;52;49;51;49;;;;;;759;589
114;GRE 696;;ZANNARAS, Finneas;DNC (58);DNC (58);DNC 58;DNC 58;DNC 58;DNC 58;DNC 58;DNC 58;55;DNC (58);DNC 58;50;50;50;;;;;;785;611
