Pos;Sail #;Bow;Crew / Club;"1Q(CR)2Q(CR)3Q(CR)4Q(CR)5Q(CR)6Q(CR)7Q(CR)8Q(CR)9F(CR)10F(CR1)1F(CR1)2F(CR1)3F(SL1)4F(SL1)5F(SL1)6F(SL1)7/1F6(CF(R1C)8RF)(CR1)9F(CR)MR     TOTAL      NET
(rank)";;;;;;;;;;;;;;;;;;;;;
51;GBR 667;;ROBERTS, Jennie / West Pennine;24;23;13;-34;-26;17;10;25;5;5;7;1;13;9;-21;14;BFD (45);11;;;303;177
52;CYP 1;;LAPPA, Natasa;-30;27;21;28;18;19;17;DNC (46);4;3;8;7;5;-13;5;-9;9;RDG 9;;;278;180
53;ESP 345;;TORRES FULLANA, Andrea /;23;-29;11;18;-31;28;20;24;9;11;-14;11;3;3;1;-17;11;12;;;276;185
54;CHN 6;;DU, Jie;-26;21;15;-31;25;19;21;22;18;17;3;6;-21;5;9;2;4;-21;;;286;187
55;CHN 7;;LU, Yunxiu / CYA;29;RDG 28.80;RDG 28.80;RDG 28.80;-35;22;13;-31;13;8;5;-14;11;3;-15;8;8;2;;;303,4;208,4
56;TUR 577;;VATAN, Merve Vatan / ?ÇDAS;27;24;26;30;-35;28;31;DNC (46);11;6;-17;12;5;1;-19;5;10;8;;;341;224
57;ISR 44;;GEVA, Linoy;-33;-30;22;22;29;17;24;24;14;-20;BFD (45);4;17;15;9;7;16;10;;;358;230
58;FIN 6;;BLINNIKKA, Aleksandra /;25;20;15;23;27;-34;-28;27;7;30;10;5;11;17;13;BFD (45);18;DNF (45);;;400;248
59;BRA 16;;PRADA, Giovanna / PETROBRAS;20;-31;24;17;14;20;-27;23;12;10;19;DSQ (45);-43;31;11;21;17;9;;;394;248
60;GBR 714;;HALL , Emily / Weymouth &;27;32;31;19;-37;29;BFD (46);28;3;9;6;-25;1;15;19;23;24;DNC (45);;;419;266
61;GRE 137;;PONTIFEX, Danae / QUALCO;23;22;BFD (46);16;-25;20;19;23;15;13;18;16;19;13;-37;18;36;DNF (45);;;424;271
62;GBR 469;;KENYON, Lucy / DOG SQUAD;31;27;-34;-35;33;30;25;29;17;19;-28;17;3;11;5;28;25;DNF (45);;;442;300
63;TUR 191;;URALP PALOMBO, Dilara /;25;24;28;29;-30;-36;27;26;21;-25;16;22;25;19;13;-26;15;13;;;420;303
64;ITA 239;;COLASANTO, Carola;DNF (46);36;-38;34;32;26;29;30;16;-28;15;13;7;11;-23;16;23;20;;;443;308
65;NOR 21;;GYSLER, Maya;DNF (46);29;33;33;38;33;23;DNC (46);23;14;-25;8;17;23;11;BFD (45);13;19;;;479;317
66;FRA 19;;PAPAZIAN, Ambar / SEAFOODIA;-32;-35;29;26;26;32;25;28;28;15;27;24;-29;29;1;-37;14;23;;;460;327
67;SUI 226;;BERGER, Manon;28;26;27;18;-36;-34;33;33;27;21;12;18;-37;-31;25;24;31;16;;;477;339
68;ITA 4;;OPRANDI, Linda /;-32;31;27;27;28;31;24;BFD (46);22;23;22;19;25;-27;25;15;-26;22;;;472;341
69;AUS 420;;COSTIN, Samantha;31;-39;-32;32;31;29;28;31;20;24;20;15;23;21;-33;27;19;DNF (45);;;500;351
70;NED 119;;VAN DEN BRULE, Fianne;34;34;35;33;-39;37;30;BFD (46);25;-26;24;21;15;25;17;11;21;DNF (45);;;518;362
71;POL 125;;WAWRZYNIAK , Pola;29;30;-33;-31;27;30;26;29;24;29;23;30;15;29;21;-31;27;DNF (45);;;509;369
72;JPN 4;;NIIJIMA , Rina / ELLEAIR;35;32;-36;-40;33;33;36;34;19;12;DNC 45;26;DNC (47);DNC (47);DNC 47;10;7;4;;;543;373
73;ESP 513;;GÓMEZ ROA, Julia;35;28;30;DNC (46);34;31;29;DNC (46);26;16;26;23;-31;21;31;-36;30;17;;;536;377
74;EST 127;;MILLEND, Emma Viktoria;DNF (46);DNC (46);36;32;36;32;BFD 46;BFD 46;10;18;11;20;27;23;-39;29;12;DSQ (45);;;554;378
75;FIN 402;;HÄMÄLÄINEN, Sofia /;30;-34;32;30;29;24;22;DNF (46);30;31;31;28;27;-43;-37;20;32;14;;;540;380
76;BRA 49;;MARTINELLI, Bruna /;33;35;34;-37;32;36;34;DNF (46);-36;33;29;29;7;17;31;13;22;DNF (45);;;549;385
77;GER 68;;WANSER, Helena / ALICE;DNC (46);DNC (46);DNC 46;DNC 46;DNC 46;DNC 46;DNC 46;DNC 46;-29;22;21;-27;19;27;15;12;20;5;;;565;417
78;AUT 28;;ABICHT, Lorena;36;33;37;35;-40;38;32;DNC (46);33;34;30;32;21;-37;29;30;28;DNF (45);;;616;448
79;FIN 36;;KASKEALA, Siri;37;37;38;36;39;40;DNF (46);RET (46);34;-38;32;34;37;35;35;19;35;DNF (45);;;663;488
80;JPN 31;;YAMABE, Miki / SAGAMI;DNF (46);37;37;BFD (46);38;DNC 46;35;DNC 46;-37;36;36;36;33;25;23;35;37;DNF (45);;;674;500
81;GRE 366;;DIVARI, Aikaterini;DNF (46);38;39;38;41;39;DNF (46);DNC 46;35;-39;35;-37;35;33;35;34;29;24;;;669;501
82;ARG 5;;FERRETTI, Chiara / FAY-ENARD;DNC (46);40;BFD (46);37;40;38;DNF 46;DNC 46;32;37;33;35;31;-39;39;22;33;DNF (45);;;685;509
83;GRE 399;;KOSTI, Emilia / FORWARD CO;DNF (46);40;40;39;41;40;31;DNF (46);-40;40;40;40;33;37;29;33;38;DSQ (45);;;698;521
84;SGP 73;;SHAHRIN, Marsha;DNF (46);42;41;42;42;39;DNC (46);DNC 46;38;-42;38;39;29;35;27;32;34;DNF (45);;;703;524
85;FRA 621;;BONDOIS, Lila;36;38;39;36;DNC (46);DNC (46);DNF 46;35;31;32;34;33;41;33;DNC (47);DNC (45);DNC 45;DNC 45;;;708;524
86;SUI 130;;SANDERA, Elena / ELENA;DNF (46);33;35;DNC (46);DNC 46;DNC 46;DNC 46;DNC 46;DNC (45);DNC (45);DNC 45;DNC 45;39;19;27;DNC 45;DNC 45;DNC 45;;;744;562
87;GRE 182;;CHEROUVEIM , Marina;DNF (46);39;41;38;DNF (46);DNF 46;DNC 46;BFD 46;41;41;39;DNC (45);35;41;33;39;40;DNF (45);;;747;565
88;HUN 55;;SZENTIVANYI, Sara;DNF (46);DNC (46);42;43;DNF 46;DNC 46;DNC 46;DNC 46;39;35;37;38;39;39;-41;38;39;DNC (45);;;751;573
89;USA 321;;LINDSAY, B / US SAILING TEAM;DNC (46);41;43;41;43;DNC (46);DNC 46;DNF 46;42;-43;41;41;41;41;43;40;41;DNF (45);;;770;590
