,Unnamed: 0,RANK,COUNTRY,BOAT_NUMBER,BOW,SPONSOR,CREW,CLUB,CATEGORY,NETT,TOTAL,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11F,12F,13F,14F,15F,16F,17F,18F,19F,20F,QF,SF,F
35,35,36,EST,1,,,INGRID PUUSTA,TPLK,OPEN,343.0,477.0,23-0-0,21-0-0,23-0-0,7-0-0,27-1-0,15-0-0,15-0-0,15-0-0,26-1-0,16-0-0,38-1-0,25-0-0,43-1-0,15-0-0,28-0-0,27-0-0,32-0-0,35-0-0,19-0-0,27-0-0,nan-0-0,nan-0-0,nan-0-0
36,36,37,FRA,18,,BANQUE POPULAIRE RIVES-HEXAGON-SOBIO-SHIPSHAPE-INTERSPORT,LUCIE BELBEOCH,STADE FRANCAIS,OPEN,347.0,482.0,15-0-0,11-0-0,13-0-0,11-0-0,15-0-0,19-0-0,23-0-0,32-1-0,24-1-0,22-0-0,42-1-0,28-0-0,29-0-0,33-0-0,13-0-0,37-1-0,37-0-0,28-0-0,13-0-0,37-0-0,nan-0-0,nan-0-0,nan-0-0
37,37,38,SWE,49,,,JOHANNA HJERTBERG,,OPEN,350.0,495.0,19-1-0,17-0-0,13-0-0,13-0-0,13-0-0,12-0-0,15-0-0,29-1-0,5-0-0,18-0-0,21-0-0,32-0-0,39-0-0,39-0-0,9-0-0,21-0-0,48-1-BFD,48-0-BFD,49-1-BFD,35-0-0,nan-0-0,nan-0-0,nan-0-0
38,38,39,HKG,3,,,KWAN CHING MA,WAHK,OPEN,363.0,545.0,15-0-0,13-0-0,49-1-BFD,17-0-0,21-0-0,21-0-0,22-0-0,18-0-0,48-1-UFD,10-0-0,22-0-0,45-1-0,40-1-0,24-0-0,32-0-0,33-0-0,34-0-0,25-0-0,25-0-0,31-0-0,nan-0-0,nan-0-0,nan-0-0
39,39,40,CZE,98,,,BARBORA SVIKOVA,,U23,365.0,524.0,21-0-0,23-0-0,11-0-0,25-1-0,23-0-0,7-0-0,2-0-0,11-0-0,48-1-UFD,6-0-0,29-0-0,43-1-0,37-0-0,43-1-0,40-0-0,34-0-0,31-0-0,36-0-0,23-0-0,31-0-0,nan-0-0,nan-0-0,nan-0-0
40,40,41,EST,127,,,EMMA VIKTORIA MILLEND,TPLK,U23,378.0,547.0,9-0-0,7-0-0,17-0-0,9-0-0,7-0-0,24-0-0,19-0-0,31-1-0,48-1-UFD,9-0-0,41-0-0,42-0-0,45-1-0,44-0-0,45-1-0,40-0-0,33-0-0,29-0-0,41-0-0,7-0-0,nan-0-0,nan-0-0,nan-0-0
41,41,42,ITA,25,,TRENTINO,SOFIA RENNA,CIRCOLO SURF TORBOLE,U23,385.0,559.0,29-1-0,15-0-0,1-0-0,21-0-0,15-0-0,9-0-0,14-0-0,48-1-UFD,19-0-0,27-0-0,16-0-0,36-0-0,44-0-0,6-0-0,41-0-0,38-0-0,48-1-BFD,38-0-0,49-1-BFD,45-0-0,nan-0-0,nan-0-0,nan-0-0
42,42,43,ESP,345,,W2FLY // OKMOBILITY,ANDREA TORRES FULLANA,CLUB NAUTIC S ARENAL,U23,402.0,570.0,7-0-0,15-0-0,49-1-BFD,11-0-0,29-1-0,23-0-0,25-0-0,21-0-0,17-0-0,20-0-0,37-0-0,35-0-0,38-0-0,29-0-0,42-1-0,18-0-0,42-0-0,48-1-BFD,25-0-0,39-0-0,nan-0-0,nan-0-0,nan-0-0
43,43,44,FRA,712,,,MANON PIANAZZA,CNANGOULINS,U23,413.0,559.0,9-0-0,27-1-0,9-0-0,11-0-0,23-0-0,48-0-DNE,18-0-0,13-0-0,21-0-0,28-1-0,43-1-0,39-0-0,41-0-0,17-0-0,22-0-0,42-0-0,40-0-0,48-1-BFD,19-0-0,41-0-0,nan-0-0,nan-0-0,nan-0-0
44,44,45,CYP,1,,,NATASA LAPPA,LIMASSOL NAUTICAL CLUB,OPEN,425.0,574.0,29-1-0,25-1-0,11-0-0,13-0-0,11-0-0,14-0-0,24-0-0,16-0-0,23-0-0,12-0-0,39-0-0,41-0-0,31-0-0,41-0-0,33-0-0,46-1-0,38-0-0,37-0-0,49-1-BFD,41-0-0,nan-0-0,nan-0-0,nan-0-0
45,45,46,TUR,577,,TYF,MERVE VATAN,TYF,U23,433.0,627.0,13-0-0,17-0-0,3-0-0,49-1-DSQ,17-0-0,22-0-0,20-0-0,48-1-UFD,16-0-0,26-0-0,48-1-DNC,34-0-0,32-0-0,26-0-0,37-0-0,45-0-0,41-0-0,39-0-0,45-0-0,49-1-BFD,nan-0-0,nan-0-0,nan-0-0
46,46,47,NOR,126,,,ODA SVERRE,,U23,487.0,664.0,25-0-0,41-1-0,31-0-0,39-1-0,35-0-0,6-0-0,16-0-0,19-0-0,12-0-0,17-0-0,46-0-0,46-0-0,48-1-DNF,48-0-DNC,48-0-DNC,32-0-0,43-0-0,34-0-0,49-1-BFD,29-0-0,nan-0-0,nan-0-0,nan-0-0
