,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,RANK,COUNTRY,BOAT_NUMBER,BOW,SPONSOR,CREW,CLUB,CATEGORY,NETT,TOTAL,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10F,11F,12F,13F,14F,15F,16F,17F,18F,19F,QF,SM,F
25,25,25,25,26,CHN,18,,,JINGYE HUANG,,U23,258.0,400.0,19-0-0,15-0-0,41-1-BFD,19-0-0,13-0-0,14-0-0,13-0-0,18-0-0,21-1-0,36-1-0,44-1-0,1-0-0,7-0-0,24-0-0,33-0-0,21-0-0,34-0-0,19-0-0,8-0-0,nan-0-0,nan-0-0,nan-0-0
26,26,26,26,27,ISR,24,,,YOAV OMER,,OPEN,259.0,379.0,19-1-0,7-0-0,7-0-0,11-0-0,27-1-0,19-0-0,15-0-0,17-0-0,17-0-0,32-0-0,17-0-0,16-0-0,31-0-0,13-0-0,37-1-0,21-0-0,37-1-0,20-0-0,16-0-0,nan-0-0,nan-0-0,nan-0-0
27,27,27,27,28,GER,220,,"NORDMANN, NRV, ASCON, BENZING",SEBASTIAN KOERDEL,,OPEN,261.0,422.0,21-0-0,1-0-0,1-0-0,1-0-0,12-0-0,10-0-0,29-1-0,32-1-0,5-0-0,25-0-0,37-0-0,43-0-0,36-0-0,47-1-0,19-0-0,9-0-0,20-0-0,53-1-0,21-0-0,nan-0-0,nan-0-0,nan-0-0
28,28,28,28,29,NZL,35,,,ELI LIEFTING,,U23,269.0,395.0,23-1-0,15-0-0,19-1-0,19-0-RDG,17-0-0,8-0-0,11-0-0,11-0-0,12-0-0,6-0-0,22-0-0,9-0-0,42-1-0,11-0-0,19-0-0,41-0-BFD,41-0-0,42-1-0,27-0-0,nan-0-0,nan-0-0,nan-0-0
29,29,29,29,30,FRA,3,,BP MED / BANQUE POPULAIRE / SOORUZ / ARMéE DE CHAMPIONS / BAOUW / NUTRIPURE,THOMAS GOYARD,ACPV,OPEN,270.0,465.0,41-1-DNC,9-0-0,9-0-0,15-0-0,34-1-0,15-0-RDG,2-0-0,8-0-0,16-0-0,51-0-0,33-0-0,42-0-0,6-0-0,60-1-DNC,7-0-0,41-0-BFD,6-0-0,10-0-0,60-1-DNC,nan-0-0,nan-0-0,nan-0-0
30,30,30,30,31,BRA,7,,PETROBRAS / SEVERNE / CB VELA/ DOBRO,MATEUS ISAAC,CB VELA,OPEN,270.0,431.0,11-0-0,9-0-0,17-0-0,13-0-0,9-0-0,17-0-0,11-0-0,39-1-0,36-1-0,24-0-0,25-0-0,31-0-0,43-1-0,32-0-0,7-0-0,11-0-0,18-0-0,43-1-0,35-0-0,nan-0-0,nan-0-0,nan-0-0
31,31,31,31,32,GBR,983,,MATTHEW BARTON,MATTHEW BARTON,WEYMOUTH & PORTLAND NATIONAL SAILING ACADEMY,OPEN,278.0,434.0,5-0-0,11-0-0,5-0-0,3-0-0,15-0-0,48-1-0,24-1-0,20-0-0,19-0-0,46-1-0,19-0-0,38-1-0,33-0-0,36-0-0,23-0-0,19-0-0,16-0-0,16-0-0,38-0-0,nan-0-0,nan-0-0,nan-0-0
32,32,32,32,33,GRE,80,,OINO EFOOD,LEONIDAS TSORTANIDIS,NAUTICAL CLUB OF ANDROS,OPEN,281.0,402.0,13-0-0,9-0-0,21-1-0,13-0-0,25-1-0,13-0-0,19-0-0,13-0-0,12-0-0,34-0-0,20-0-0,20-0-0,22-0-0,34-0-0,9-0-0,17-0-0,35-1-0,33-0-0,40-1-0,nan-0-0,nan-0-0,nan-0-0
33,33,33,33,34,GBR,60,,HOLIDAY EXTRAS,SAMUEL OLIVER SILLS,WEYMOUTH & PORTLAND NATIONAL SAILING ACADEMY,OPEN,287.0,439.0,7-0-0,13-0-0,17-1-0,1-0-0,18-1-0,10-0-0,7-0-0,6-0-0,16-0-0,44-0-0,16-0-0,28-0-0,57-1-0,60-1-BFD,31-0-0,41-0-BFD,39-0-0,25-0-0,3-0-0,nan-0-0,nan-0-0,nan-0-0
34,34,34,34,35,GBR,360,,,ANDY  BROWN,WEYMOUTH & PORTLAND NATIONAL SAILING ACADEMY,OPEN,290.0,487.0,13-0-0,9-0-0,15-0-0,7-0-0,21-0-0,60-1-DNC,60-1-DNC,46-0-0,7-0-0,8-0-0,32-0-0,41-1-0,25-0-0,25-0-0,13-0-0,23-0-0,24-0-0,36-1-0,22-0-0,nan-0-0,nan-0-0,nan-0-0
35,35,35,35,36,CHN,1,,,KUN BI,,OPEN,297.0,452.0,3-0-0,3-0-0,3-0-0,19-0-0,27-1-0,22-1-0,18-0-0,10-0-0,14-0-0,41-0-0,46-1-0,60-1-BFD,17-0-0,6-0-0,15-0-0,41-0-BFD,30-0-0,41-0-0,36-0-0,nan-0-0,nan-0-0,nan-0-0
36,36,36,36,37,ISR,253,,,YOAV COHEN,,OPEN,299.0,455.0,9-0-0,23-0-0,19-0-0,29-1-0,16-0-0,6-0-0,25-0-0,29-1-0,10-0-0,17-0-0,39-0-0,34-0-0,56-1-0,30-0-0,11-0-0,15-0-0,33-0-0,12-0-0,42-1-0,nan-0-0,nan-0-0,nan-0-0
37,37,37,37,38,ISR,30,,,TOMER VARDIMON,BNEI HERZELIA,OPEN,300.0,442.0,9-0-0,19-0-0,21-1-0,9-0-0,20-0-0,27-1-0,6-0-0,7-0-0,20-0-0,23-0-0,28-0-0,25-0-0,2-0-0,44-1-0,35-0-0,41-0-BFD,50-1-0,28-0-0,28-0-0,nan-0-0,nan-0-0,nan-0-0
38,38,38,38,39,LTU,7,,,RYTIS JASIUNAS,,OPEN,301.0,459.0,13-0-0,11-0-0,5-0-0,19-1-0,19-1-0,15-0-0,13-0-0,14-0-0,13-0-0,60-1-DSQ,12-0-0,40-0-0,48-0-0,53-0-0,23-0-0,19-0-0,8-0-0,60-1-BFD,14-0-0,nan-0-0,nan-0-0,nan-0-0
