,Unnamed: 0,Pos,Sail #,Bow,Names,Cat,1Q,2Q,3Q,4Q,5Q,6F,7F,8F,9F,10F,11F,TOTAL,NET
41,41,42,TUR 7,27,"EFE TULCALI, DEFNE DANISMEND",MX,25-0-0,23-0-0,15-0-0,18-0-0,23-0-0,1-0-0,31-1-UFD,6-0-0,6-0-0,14-0-0,9-0-0,171.0,140.0
42,42,43,POL 22,33,"ZOFIA KORSAK, MIKOLAJ BAZYLI",MX,12-0-0,17-0-0,22-0-0,17-0-0,26-1-0,16-0-0,3-0-0,14-0-0,13-0-0,15-0-0,12-0-0,167.0,141.0
43,43,44,USA 1834,58,"NIKOLE BARNES, TED MCDONOUGH",MX,13-0-0,20-0-0,20-0-0,32-1-UFD,22-0-0,7-0-0,14-0-0,1-0-0,15-0-0,10-0-0,27-0-0,181.0,149.0
44,44,45,GBR 895,48,"HAYDN SEWELL, FAYE CHATTERTON",MX,16-0-0,16-0-0,21-0-0,18-0-0,13-0-0,19-0-0,23-1-0,18-0-0,10-0-0,13-0-0,10-0-0,177.0,154.0
45,45,46,POL 7,34,"AGNIESZKA PAWLOWSKA, BARTEK SZLIJA",MX,27-1-0,14-0-0,17-0-0,23-0-0,20-0-0,11-0-0,9-0-0,23-0-0,4-0-0,23-0-0,19-0-0,190.0,163.0
46,46,47,ARG 26,41,"BELEN TAVELLA, JOAQUIN TARASIDO",MX,12-0-0,22-0-0,23-0-0,21-0-0,15-0-0,31-1-UFD,10-0-0,21-0-0,18-0-0,16-0-0,7-0-0,196.0,165.0
47,47,48,SWE 4,45,"HEDVIG LILJEGREN, HUGO LILJEGREN",MX,20-0-0,17-0-0,26-1-0,22-0-0,24-0-0,3-0-0,5-0-0,20-0-0,16-0-0,22-0-0,20-0-0,195.0,169.0
48,48,49,NZL 4,43,"DEREK SCOTT, REBECCA HUME",MX,22-0-0,27-1-0,27-0-0,27-0-0,16-0-0,22-0-0,12-0-0,16-0-0,14-0-0,9-0-0,11-0-0,203.0,176.0
49,49,50,UKR 22,52,"YEHOR SAMARIN, YELYZAVETA VASYLENKO",MX,23-0-0,25-0-0,24-0-0,26-1-0,18-0-0,8-0-0,21-0-0,10-0-0,9-0-0,25-0-0,15-0-0,204.0,178.0
50,50,51,POL 13,49,"RAFAL POGORZELSKI, MALGORZATA GORNISIEWICZ",MX,25-0-0,27-1-0,24-0-0,21-0-0,25-0-0,20-0-0,4-0-0,15-0-0,19-0-0,18-0-0,23-0-0,221.0,194.0
51,51,52,POL 11,51,"JOANNA CYMERMAN, TYMON KOSOBUCKI",MX,26-0-0,28-1-0,22-0-0,25-0-0,21-0-0,21-0-0,27-0-0,17-0-0,17-0-0,24-0-0,17-0-0,245.0,217.0
52,52,53,ARG 5,57,"MARTIN CLOOS, EMILIANA MARIA LOPEZ",MX,27-0-0,25-0-0,23-0-0,23-0-0,25-0-0,23-0-0,15-0-0,22-0-0,31-1-UFD,19-0-0,22-0-0,255.0,224.0
53,53,54,CRO 88,50,"EMA SAMARZIJA, LEON SCHEIDL",MX,29-0-0,32-1-UFD,25-0-0,29-0-0,24-0-0,13-0-0,25-0-0,13-0-0,22-0-0,21-0-0,24-0-0,257.0,225.0
54,54,55,GBR 863,46,"MILLIE IRISH, SZYMON MATYJASZCZUK",MX,26-0-0,32-1-DNF,32-0-DNC,28-0-0,23-0-0,17-0-0,19-0-0,24-0-0,23-0-0,17-0-0,18-0-0,259.0,227.0
55,55,56,CHI 33,62,"PEDRO FELIPE ROBLES, CARMINA SOFIA FUENTES",MX,30-1-0,26-0-0,29-0-0,27-0-0,26-0-0,18-0-0,22-0-0,26-0-0,21-0-0,20-0-0,21-0-0,266.0,236.0
56,56,57,ECU 7,61,"MARIA JOSE CUCALON, JONATHAN MARTINETTI",MX,28-0-0,26-0-0,26-0-0,26-0-0,27-0-0,25-0-0,16-0-0,25-0-0,20-0-0,31-1-DNF,25-0-0,275.0,244.0
57,57,58,UKR 19,56,"MYKHAILO BILOHORODSKYI, POLINA ZATOCHNA",MX,29-0-0,28-0-0,25-0-0,30-1-0,28-0-0,27-0-0,17-0-0,29-0-0,24-0-0,26-0-0,26-0-0,289.0,259.0
58,58,59,ANG 1,59,"MATIAS MONTINHO, MANUELA PAULO",MX,28-0-0,24-0-0,28-0-0,32-1-DNS,32-0-DNS,26-0-0,24-0-0,27-0-0,26-0-0,31-0-DNF,31-0-DNF,309.0,277.0
59,59,60,MOZ 1,60,"DENISE HELENA RUI PARRUQUE, ALCIDIO PORTUGAL ALMEIDA LINO",MX,32-1-DSQ,29-0-0,27-0-0,28-0-0,32-0-RET,28-0-0,26-0-0,28-0-0,25-0-0,31-0-DNF,28-0-0,314.0,282.0
60,60,61,AUT 463,30,"ROSA DONNER, NIKLAS HABERL",MX,32-1-DNC,32-0-DNC,32-0-DNC,32-0-DNC,32-0-DNC,31-0-DNC,31-0-DNC,31-0-DNC,31-0-DNC,31-0-DNC,31-0-DNC,346.0,314.0
