RANK,LYCRA NR.,HELMNAME,NAT.,NETT,TOTAL,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,F1,F2,F3,F4,F5,F6,F7,F8
16TH,7,ADELAIDA MARQUENIE ROCA,ESP,263.0,344.0,17.0-0-0,15.0-0-0,16.0-0-0,22.0-0-0,18.0-0-0,18.0-0-0,19.0-0-0,14.0-0-0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,13.0-0-0,27.0-0-DNC,17.0-0-0,16.0-0-0,13.0-0-0,13.0-0-0,11.0-0-0,14.0-0-0
17TH,109,EMILY BUGEJA,CAN,301.0,382.0,19.0-0-0,18.0-0-0,21.0-0-0,19.0-0-0,22.0-0-0,22.0-0-0,21.0-0-0,18.0-0-0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,19.0-0-0,14.0-0-0,11.0-0-0,27.0-0-DNC,17.0-0-0,15.0-0-0,23.0-0-0,15.0-0-0
18TH,111,EMMA RENNIE (U21) (U19),GBR,303.0,376.0,23.0-0-0,20.0-0-0,27.0-0-DNC,21.0-0-0,21.0-0-0,23.0-0-0,23.0-0-0,19.0-0-0,17.0-0-0,16.0-0-0,19.0-0-0,21.0-0-0,18.0-0-0,16.0-0-0,20.0-0-0,19.0-0-0,18.0-0-0,17.0-0-0,18.0-0-0
19TH,57,CARMEN VERDEYEN,CHI,306.0,382.0,21.0-0-0,25.0-0-0,27.0-0-DNC,20.0-0-0,21.0-0-0,22.0-0-0,22.0-0-0,21.0-0-0,16.0-0-0,22.0-0-0,21.0-0-0,18.0-0-0,17.0-0-0,18.0-0-0,22.0-0-0,15.0-0-0,14.0-0-0,24.0-0-0,16.0-0-0
20TH,12,BENYAPA JANTAWAN (M),THA,312.0,393.0,20.0-0-0,21.0-0-0,19.0-0-0,18.0-0-0,19.0-0-0,19.0-0-0,21.0-0-0,18.0-0-0,27.0-0-DNF,17.0-0-0,17.0-0-0,14.0-0-0,23.0-0-0,19.0-0-0,13.0-0-0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC
21ST,54,MARIJA DOLENC (U21) (U19),CRO,332.0,413.0,25.0-0-0,23.0-0-0,20.0-0-0,18.0-0-0,20.0-0-0,25.0-0-0,27.0-0-DNC,20.0-0-0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,16.0-0-0,19.0-0-0,23.0-0-0,18.0-0-0,22.0-0-0,21.0-0-0,18.0-0-0,17.0-0-0
22ND,24,AIJA AMBRASA (M),LAT,333.0,412.0,22.0-0-0,22.0-0-0,22.0-0-0,22.0-0-0,22.0-0-0,23.0-0-0,25.0-0-0,22.0-0-0,17.0-0-0,23.0-0-0,22.0-0-0,27.0-0-DNC,16.0-0-0,27.0-0-DNC,17.0-0-0,20.0-0-0,16.0-0-0,20.0-0-0,27.0-0-DNC
23RD,157,SOPHIE RENNIE (U21),GBR,336.0,412.0,22.0-0-0,21.0-0-0,23.0-0-0,24.0-0-0,24.0-0-0,25.0-0-0,23.0-0-0,24.0-0-0,18.0-0-0,18.0-0-0,20.0-0-0,20.0-0-0,22.0-0-0,20.0-0-0,27.0-0-DNC,21.0-0-0,20.0-0-0,21.0-0-0,19.0-0-0
24TH,160,EMILIA KOSTI (U21),GRE,360.0,441.0,24.0-0-0,24.0-0-0,27.0-0-DNC,23.0-0-0,25.0-0-0,24.0-0-0,24.0-0-0,23.0-0-0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,22.0-0-0,21.0-0-0,21.0-0-0,21.0-0-0,18.0-0-0,17.0-0-0,19.0-0-0,27.0-0-UFD
25TH,104,MARTYNA DAKOWICZ (M),CAN,369.0,450.0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,23.0-0-0,24.0-0-0,24.0-0-0,27.0-0-DNC,18.0-0-0,24.0-0-0,23.0-0-0,24.0-0-0,20.0-0-0,22.0-0-0,19.0-0-0,23.0-0-0,22.0-0-0,22.0-0-0,27.0-0-UFD
26TH,108,MAGDALENA WOYCIECHOWSKA (U21),POL,432.0,513.0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC
