,RANK,NAT,SAILNO,HELMNAME,HELMID,Q1,Q2,Q3,Q4,Q5,Q6,F1,F2,F3,F4,M/F5,TOTAL,NETT
44,45TH,GBR,224124,DANIEL WHITELEY,GBRDW83,10.0-0-0-0-0,9.0-0-0,7.0-0-0,22.0-0-0,52.0-1-BFD,24.0-0-0,52.0-0-BFD,46.0-0-0,26.0-0-0,19.0-0-0,-0-0,267.0,215.0
45,46TH,USA,218131,MARSHALL MCCANN,USAMM228,7.0-0-0-0-0,33.0-0-0,12.0-0-0,17.0-0-0,21.0-0-0,22.0-0-0,32.0-0-0,39.0-1-0,34.0-0-0,38.0-0-0,-0-0,255.0,216.0
46,47TH,ARG,222148,FACUNDO OLEZZA,ARGFO1,12.0-0-0-0-0,52.0-1-DSQ,12.0-0-0,3.0-0-0,13.0-0-0,22.0-0-0,34.0-0-0,52.0-0-DSQ,33.0-0-0,37.0-0-0,-0-0,270.0,218.0
47,48TH,SUI,191817,GAUTHIER VERHULST,SUIGV8,8.0-0-0-0-0,30.0-0-0,11.0-0-0,12.0-0-0,25.0-0-0,17.0-0-0,43.0-0-0,38.0-0-0,52.0-1-BFD,39.0-0-0,-0-0,275.0,223.0
48,49TH,PUR,214311,PEDRO FERNANDEZ,PURPF2,17.0-0-0-0-0,16.0-0-0,4.0-0-0,5.0-0-0,40.0-0-0,27.0-0-0,42.0-1-0,41.0-0-0,39.0-0-0,35.0-0-0,-0-0,266.0,224.0
49,50TH,AUS,198098,STEFAN ELLIOTT SHIRCORE,AUSSE15,16.0-0-0-0-0,18.0-0-0,20.0-0-0,9.0-0-0,42.0-0-0,12.0-0-0,52.0-1-BFD,43.0-0-0,29.0-0-0,45.0-0-0,-0-0,286.0,234.0
50,51ST,TUR,191719,BERKAY ABAY,TURBA13,22.0-0-0-0-0,35.0-0-0,18.0-0-0,21.0-0-0,6.0-0-0,9.0-0-0,38.0-0-0,45.0-0-0,52.0-1-BFD,50.0-0-0,-0-0,296.0,244.0
51,52ND,ESP,211309,JOAQUIN BLANCO ALBALAT,ESPJB21,9.0-0-0-0-0,26.0-0-0,17.0-0-0,4.0-0-0,34.0-1-0,29.0-0-0,1.0-0-0,2.0-0-0,7.0-0-0,6.0-0-0,135.0-0-0,101.0,
52,53RD,SLO,214148,ZAN LUKA ZELKO,SLOZZ2,21.0-0-0-0-0,16.0-0-0,25.0-0-0,28.0-1-0,7.0-0-0,11.0-0-0,9.0-0-0,13.0-0-0,16.0-0-0,1.0-0-0,147.0-0-0,119.0,
53,54TH,GER,224211,NICO NAUJOCK,GERNN7,25.0-0-0-0-0,15.0-0-0,13.0-0-0,41.0-0-10%,42.0-1-0,18.0-0-0,7.0-0-0,1.0-0-0,2.0-0-0,9.0-0-0,173.0-0-0,131.0,
