Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Valtteri Uusitalo,12,Ilca 7,21,O,44,,387,276,World Championship 2022,Q1
Omer Golani,12,Ilca 7,26,O,45,,365,278,World Championship 2022,Q1
Samuel King,12,Ilca 7,24,O,46,,382,282,World Championship 2022,Q1
Adonis Bougiouris,12,Ilca 7,18,O,47,,381,283,World Championship 2022,Q1
Pedro Fernandez,12,Ilca 7,22,O,48,,401,294,World Championship 2022,Q1
Wannes Van Laer,12,Ilca 7,40,O,49,,395,300,World Championship 2022,Q1
Renzo Sanguineti,12,Ilca 7,26,O,50,,411,318,World Championship 2022,Q1
Emil Bengtson,12,Ilca 7,(38),O,51,,421,319,World Championship 2022,Q1
Tom Ramshaw,12,Ilca 7,(36),O,52,,439,339,World Championship 2022,Q1
Berkay Abay,12,Ilca 7,20,O,53,,442,340,World Championship 2022,Q1
Bruno Gaspic,12,Ilca 7,15,O,54,,443,350,World Championship 2022,Q1
Santiago Sampaio,12,Ilca 7,17,O,55,,468,360,World Championship 2022,Q1
Zan Luka Zelko,12,Ilca 7,16,O,56,,477,362,World Championship 2022,Q1
Willem Wiersema,12,Ilca 7,(50),O,57,,477,363,World Championship 2022,Q1
Leopoldo Barreto Haschke,12,Ilca 7,(45),O,58,,475,366,World Championship 2022,Q1
James Percival-Cooke,12,Ilca 7,46,O,59,,483,368,World Championship 2022,Q1
Ilija Markovic,12,Ilca 7,34,O,60,,467,369,World Championship 2022,Q1
Paul Hameeteman,12,Ilca 7,14,O,61,,511,401,World Championship 2022,Q1
Aleksi Tapper,12,Ilca 7,17,O,62,,520,406,World Championship 2022,Q1
George Gautrey,12,Ilca 7,3,O,63,,559,431,World Championship 2022,Q1
Francisco Guaragna Rigonat,12,Ilca 7,(48),P,64,,223,111,World Championship 2022,Q1
Karl-Martin Rammo,12,Ilca 7,30,P,65,,222,133,World Championship 2022,Q1
Kazumasa Segawa,12,Ilca 7,(36),P,66,,245,173,World Championship 2022,Q1
Arthit Romanyk,12,Ilca 7,25,P,67,,280,197,World Championship 2022,Q1
Erik Voets,12,Ilca 7,32,P,68,,277,199,World Championship 2022,Q1
Gianmarco Planchestainer,12,Ilca 7,23,P,69,,300,204,World Championship 2022,Q1
Luke Ruitenberg,12,Ilca 7,(43),P,70,,311,204,World Championship 2022,Q1
James Juhasz,12,Ilca 7,(41),P,71,,287,204,World Championship 2022,Q1
Zac Littlewood,12,Ilca 7,(64 DSQ),P,72,,338,210,World Championship 2022,Q1
Matias Dyck,12,Ilca 7,(44),P,73,,303,212,World Championship 2022,Q1
