Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Amado Vrieswijk,4,IQFOIL Masc,7.0,O,19,,223.0,121.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Vardimon Tomer,4,IQFOIL Masc,7.0,O,20,,172.0,125.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
yoav omer,4,IQFOIL Masc,3.0,O,21,,192.0,127.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Rutkowski Maciek,4,IQFOIL Masc,25.0,O,22,,217.0,129.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Tomas Vieito Cobian,4,IQFOIL Masc,7.0,O,23,,198.0,135.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Oel Pouliquen,4,IQFOIL Masc,(7.0),O,24,,192.0,136.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
fabien Pianazza,4,IQFOIL Masc,1.0,O,25,,190.0,141.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Joost Vink,4,IQFOIL Masc,5.0,O,26,,225.0,152.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Luca DI TOMASSI,4,IQFOIL Masc,13.0,O,27,,217.0,157.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Matthew Barton,4,IQFOIL Masc,(25.0),O,28,,253.0,160.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Luc Schmitz,4,IQFOIL Masc,1.0,O,29,,229.0,172.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Yun Pouliquen,4,IQFOIL Masc,5.0,O,30,,255.0,173.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Max Castelein,4,IQFOIL Masc,(11.0),O,31,,261.0,176.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Roi Hillel,4,IQFOIL Masc,9.0,O,32,,251.0,176.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
BERNAT TOMĂS,4,IQFOIL Masc,7.0,O,33,,261.0,177.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Alexandre Cousin,4,IQFOIL Masc,5.0,O,34,,249.0,179.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Daniele Benedetti,4,IQFOIL Masc,15.0,O,35,,257.0,181.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
Louis Pignolet,4,IQFOIL Masc,5.0,O,36,,261.0,181.0,European Championship 2021 - Gold Fleet & Medal Race,Q2
