Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Chloe Martin,,Ilca 6,17,aa,17,,157,119,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Manami Doi,,Ilca 6,32,aa,23,,181,144,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Josefin Olsson,,Ilca 6,13,aa,3,,71,50,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Elizabeth Yin,,Ilca 6,3,aa,18,,164,126,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Joyce Floridia,,Ilca 6,24,aa,25,,191,150,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Paige Railey,,Ilca 6,15,aa,7,,116,75,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Alison Young,,Ilca 6,2,aa,8,,99,77,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Evi Van Acker,,Ilca 6,4,aa,1,,44,27,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Amelie Riou,,Ilca 6,39,aa,39,,257,218,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Tatiana Drozdovskaya,,Ilca 6,5,aa,15,,144,116,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Mathilde de Kerangat,,Ilca 6,30,aa,16,,149,117,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Ashley Stoddart,,Ilca 6,27,aa,24,,184,149,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Marie Bolou,,Ilca 6,34,aa,26,,195,154,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Dongshuang Zhang,,Ilca 6,7,aa,9,,127,99,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Isabella-Anna Bertold,,Ilca 6,11,aa,14,,149,110,Semaine Olympique Francaise De Voile 2015,Race 3,0
,,Tina Mihelic,,Ilca 6,1,aa,20,,169,136,Semaine Olympique Francaise De Voile 2015,Race 3,0
