Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Joseph Jonathan Weston,,Formula Kite Masc.,20,aa,54,,159.0,102.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Jan Marciniak,,Formula Kite Masc.,9,aa,17,,264.0,192.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Jan Koszowski,,Formula Kite Masc.,15,aa,47,,136.0,87.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Chitresh Tatha,,Formula Kite Masc.,22,aa,86,,209.0,149.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Nicolas Parlier,,Formula Kite Masc.,4,aa,16,,226.0,168.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Jindrich Houstek,,Formula Kite Masc.,19,aa,73,,184.0,116.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Evan Heffernan,,Formula Kite Masc.,9,aa,37,,104.0,59.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Alejandro Climent,,Formula Kite Masc.,8,aa,26,,322.0,238.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Dvir Azulay,,Formula Kite Masc.,16,aa,32,,91.0,43.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Vojta Koska,,Formula Kite Masc.,20,aa,85,,215.0,147.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Gaspard Petit,,Formula Kite Masc.,25,aa,75,,188.0,124.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Bruce Kessler,,Formula Kite Masc.,11,aa,24,,283.0,217.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Benoit Gomez,,Formula Kite Masc.,5,aa,8,,162.0,99.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Sven van de Kamp,,Formula Kite Masc.,13,aa,35,,87.0,56.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Hector Paturau,,Formula Kite Masc.,12,aa,39,,122.0,69.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Mario Calbucci,,Formula Kite Masc.,2,aa,18,,262.0,196.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Matheo Coguiec,,Formula Kite Masc.,19,aa,66,,137.0,97.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Minh Claeys,,Formula Kite Masc.,29,aa,90,,252.0,184.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Carlos Espí Blat ,,Formula Kite Masc.,32,aa,81,,204.0,140.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Anil Garnier,,Formula Kite Masc.,16,aa,53,,143.0,101.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Denis Taradin,,Formula Kite Masc.,5,aa,12,,195.0,126.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Gilberto di Fiore,,Formula Kite Masc.,32,aa,91,,268.0,200.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Pedro Afonso,,Formula Kite Masc.,27,aa,72,,,,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Gian Andrea Stragiotti,,Formula Kite Masc.,15,aa,41,,124.0,75.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Bruno Lobo,,Formula Kite Masc.,26,aa,36,,116.0,58.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Zohar Haruvi,,Formula Kite Masc.,6,aa,27,,309.0,242.0,Semaine Olympique Francaise De Voile 2023,2Q,0
,,Haoran Zhang,,Formula Kite Masc.,12,aa,25,,318.0,234.0,Semaine Olympique Francaise De Voile 2023,2Q,0
