Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,"Blair Tuke, Peter Burling",,49er,6.0,G,1,,80,52,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Lewis Brake, David Gilmour",,49er,31.0,G,21,,247,207,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Matthew Mcgovern, Ryan Seaton",,49er,13.0,G,19,,234,193,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Benjamin Jose Grez Ahrens, Cristobal Grez Ahrens",,49er,38.0,G,33,,293,252,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Thomas Barrows, III, Joseph Morris",,49er,33.0,G,31,,287,246,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Hans Henken, Judge Ryan",,49er,25.0,G,39,,357,316,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Niclas Düring, Victor Bergström",,49er,2.0,G,23,,258,217,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Noe Delpech, Julien D'Ortoli",,49er,35.0,G,22,,251,210,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Fritiof Hedström, Victor Vasternas",,49er,19.0,G,18,,220,179,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Lucien Cujean, Sebastien Schneiter",,49er,36.0,G,35,,309,268,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Gubreal Birgas, Murci Siffeutte Grual",,49er,14.0,G,13,,193,153,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Lukasz Przybytek, Pawel Kolodzinski",,49er,24.0,G,25,,262,221,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Christian Lubeck, Jonas Warrer",,49er,1.0,G,2,,139,98,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Tom Siganto, Joel Turner",,49er,40.0,G,36,,310,269,Semaine Olympique Francaise De Voile 2016,Race 05,0
,,"Jacek Nowak, Tomasz Januszewski",,49er,29.0,G,12,,191,150,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Logan Dunning-Beck, Jack Simpson",,49er,32.0,G,32,,288,249,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Matthew Mcgovern, Ryan Seaton",,49er,7.0,G,19,,234,193,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Alain Sign, Dylan Fletcher",,49er,2.0,G,5,,143,111,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Christian Lubeck, Jonas Warrer",,49er,4.0,G,2,,139,98,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Niclas Düring, Victor Bergström",,49er,38.0,G,23,,258,217,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Lukasz Przybytek, Pawel Kolodzinski",,49er,33.0,G,25,,262,221,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Tom Siganto, Joel Turner",,49er,30.0,G,36,,310,269,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Benjamin Jose Grez Ahrens, Cristobal Grez Ahrens",,49er,18.0,G,33,,293,252,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Tom Pelsmaekers, Yannick Lefebvre",,49er,13.0,G,9,,167,147,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Petar Cupac, Pavle Kostov",,49er,22.0,G,8,,159,132,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Gubreal Birgas, Murci Siffeutte Grual",,49er,19.0,G,13,,193,153,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Sébastien SCOTTO DI FASANO, Mathieu Frei",,49er,25.0,G,34,,308,267,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"William Phillips, Sam Phillips",,49er,1.0,G,3,,143,102,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Jack Hawkins, Christopher Thomas",,49er,27.0,G,38,,338,297,Semaine Olympique Francaise De Voile 2016,Race 11,0
,,"Klaus Lange, Yago Lange",,49er,12.0,G,14,,201,160,Semaine Olympique Francaise De Voile 2016,Race 11,0
