ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Nacionalidade
,,BERNAT TOMAS,,IQFOIL MASC.,25,1,U23,19,0,335.0,191.0,World Championship 2024,2Q,ESP
,,NOAH LYONS,,IQFOIL MASC.,11,0,OPEN,20,0,340.0,197.0,World Championship 2024,2Q,USA
,,TOM ARNOUX,,IQFOIL MASC.,5,0,OPEN,21,0,370.0,208.0,World Championship 2024,2Q,FRA
,,JOSHUA ARMIT,,IQFOIL MASC.,1,0,OPEN,22,0,379.0,217.0,World Championship 2024,2Q,NZL
,,THOMAS CROOK,,IQFOIL MASC.,3,0,OPEN,23,0,389.0,240.0,World Championship 2024,2Q,NZL
,,GERONIMO NORES,,IQFOIL MASC.,21,0,OPEN,24,0,401.0,242.0,World Championship 2024,2Q,USA
,,ETHAN WESTERA,,IQFOIL MASC.,9,0,OPEN,25,0,389.0,251.0,World Championship 2024,2Q,ARU
,,JINGYE HUANG,,IQFOIL MASC.,15,0,U23,26,0,400.0,258.0,World Championship 2024,2Q,CHN
,,YOAV OMER,,IQFOIL MASC.,7,0,OPEN,27,0,379.0,259.0,World Championship 2024,2Q,ISR
,,SEBASTIAN KOERDEL,,IQFOIL MASC.,1,0,OPEN,28,0,422.0,261.0,World Championship 2024,2Q,GER
,,ELI LIEFTING,,IQFOIL MASC.,15,0,U23,29,0,395.0,269.0,World Championship 2024,2Q,NZL
,,THOMAS GOYARD,,IQFOIL MASC.,9,0,OPEN,30,0,465.0,270.0,World Championship 2024,2Q,FRA
,,MATEUS ISAAC,,IQFOIL MASC.,9,0,OPEN,31,0,431.0,270.0,World Championship 2024,2Q,BRA
,,MATTHEW BARTON,,IQFOIL MASC.,11,0,OPEN,32,0,434.0,278.0,World Championship 2024,2Q,GBR
,,LEONIDAS TSORTANIDIS,,IQFOIL MASC.,9,0,OPEN,33,0,402.0,281.0,World Championship 2024,2Q,GRE
,,SAMUEL OLIVER SILLS,,IQFOIL MASC.,13,0,OPEN,34,0,439.0,287.0,World Championship 2024,2Q,GBR
,,ANDY  BROWN,,IQFOIL MASC.,9,0,OPEN,35,0,487.0,290.0,World Championship 2024,2Q,GBR
,,KUN BI,,IQFOIL MASC.,3,0,OPEN,36,0,452.0,297.0,World Championship 2024,2Q,CHN
,,YOAV COHEN,,IQFOIL MASC.,23,0,OPEN,37,0,455.0,299.0,World Championship 2024,2Q,ISR
,,TOMER VARDIMON,,IQFOIL MASC.,19,0,OPEN,38,0,442.0,300.0,World Championship 2024,2Q,ISR
,,RYTIS JASIUNAS,,IQFOIL MASC.,11,0,OPEN,39,0,459.0,301.0,World Championship 2024,2Q,LTU
,,PIERRE  LE COQ,,IQFOIL MASC.,17,0,OPEN,40,0,461.0,308.0,World Championship 2024,2Q,FRA
,,JAKOB EKLUND,,IQFOIL MASC.,7,0,OPEN,41,0,456.2,309.2,World Championship 2024,2Q,FIN
,,ONUR CAVIT BIRIZ,,IQFOIL MASC.,23,1,OPEN,42,0,498.0,342.0,World Championship 2024,2Q,TUR
,,JORGE ARANZUEQUE CAMPELLO,,IQFOIL MASC.,15,0,OPEN,43,0,509.0,343.0,World Championship 2024,2Q,ESP
