ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Nacionalidade
,,SEBASTIAN DUCOS,,KITE MASC.,19.0,0,Bronze,8,0,311.0,240.0,World Championship 2024,Q3,ESP
,,ADAM KEATON,,KITE MASC.,17.0,0,Bronze,9,0,326.0,244.0,World Championship 2024,Q3,USA
,,JAN KOSZOWSKI,,KITE MASC.,20.0,0,Bronze,10,0,342.0,271.0,World Championship 2024,Q3,POL
,,PEDRO AFONSO RODRIGUES,,KITE MASC.,16.0,0,Bronze,11,0,367.0,275.0,World Championship 2024,Q3,POR
,,NEIL MARCELLINI,,KITE MASC.,21.0,0,Bronze,12,0,348.0,276.0,World Championship 2024,Q3,USA
,,MATHEO COGUIEC,,KITE MASC.,23.0,0,Bronze,13,0,364.0,277.0,World Championship 2024,Q3,FRA
,,ANGELO SOLI,,KITE MASC.,20.0,0,Bronze,14,0,360.0,279.0,World Championship 2024,Q3,ITA
,,CARLOS ESPI,,KITE MASC.,20.0,0,Bronze,15,0,364.0,286.0,World Championship 2024,Q3,ESP
,,KIKO PEIRO,,KITE MASC.,22.0,0,Bronze,16,0,353.0,286.0,World Championship 2024,Q3,ESP
,,ADAM FARRINGTON,,KITE MASC.,18.0,0,Bronze,17,0,371.0,298.0,World Championship 2024,Q3,GBR
,,CEDRIC BAKER,,KITE MASC.,24.0,0,Bronze,18,0,376.0,306.0,World Championship 2024,Q3,SUI
,,MAC MORRIN,,KITE MASC.,23.0,0,Bronze,19,0,410.0,330.0,World Championship 2024,Q3,CAN
,,LEONARD COLLADO,,KITE MASC.,22.0,0,Bronze,20,0,428.0,335.0,World Championship 2024,Q3,ESP
,,JJ RICE,,KITE MASC.,19.0,0,Bronze,21,0,422.0,336.0,World Championship 2024,Q3,TGA
,,CHRISTIAN MANEV,,KITE MASC.,24.0,0,Bronze,22,0,427.0,340.0,World Championship 2024,Q3,BUL
,,LOUIS GARINO,,KITE MASC.,25.0,0,Bronze,23,0,436.8,351.8,World Championship 2024,Q3,FRA
,,REECE DORMAN,,KITE MASC.,30.0,0,Bronze,24,DNC,485.0,394.0,World Championship 2024,Q3,GBR
,,MARCELO CAIRO,,KITE MASC.,23.0,0,Bronze,25,0,489.0,399.0,World Championship 2024,Q3,ESP
,,CHITRESH TATHA,,KITE MASC.,25.0,0,Bronze,26,0,485.0,401.0,World Championship 2024,Q3,IND
,,TAKUMI IWAKI,,KITE MASC.,26.0,0,Bronze,27,0,524.0,434.0,World Championship 2024,Q3,JPN
,,GIORGIO CAIOZZI,,KITE MASC.,26.0,0,Bronze,28,0,531.0,439.0,World Championship 2024,Q3,CHI
,,MINH CLAEYS,,KITE MASC.,27.0,0,Bronze,29,0,540.0,450.0,World Championship 2024,Q3,BEL
,,GEORGE MANEV,,KITE MASC.,25.0,0,Bronze,30,0,561.0,467.0,World Championship 2024,Q3,BUL
,,PHILIPPE ETTORE,,KITE MASC.,30.0,0,Bronze,31,DNC,560.0,469.0,World Championship 2024,Q3,FRA
,,MIKHAIL NOVIKOV,,KITE MASC.,10.0,0,Bronze,1,0,245.0,155.0,World Championship 2024,Q4,VAN
,,OSCAR TIMM,,KITE MASC.,18.0,0,Bronze,2,0,285.0,209.0,World Championship 2024,Q4,AUS
,,JOSEPH JONATHAN PEN WESTON,,KITE MASC.,30.0,0,Bronze,3,RET,293.0,211.0,World Championship 2024,Q4,THA
,,MARCIN KROCZAK,,KITE MASC.,19.0,0,Bronze,4,0,301.0,226.0,World Championship 2024,Q4,SUI
,,EJDER GINYOL,,KITE MASC.,19.0,0,Bronze,5,0,317.0,227.0,World Championship 2024,Q4,TUR
