Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Derin Deniz SORGUC,,Formula Kite Fem.,11.0,G,36,,250.0,176.0,World Championship 2023,Race 1 Yellow,0
,,LI Wan,,Formula Kite Fem.,9.0,G,10,,147.0,91.0,World Championship 2023,Race 1 Yellow,0
,,Monika ZIZLAVSKA,,Formula Kite Fem.,28.0,G,48,,389.0,304.0,World Championship 2023,Race 1 Yellow,1
,,Maya ASHKENAZI,,Formula Kite Fem.,5.0,G,12,,142.0,98.0,World Championship 2023,Race 1 Yellow,0
,,Mareike WEBER,,Formula Kite Fem.,28.0,G,53,,452.0,367.0,World Championship 2023,Race 1 Yellow,1
,,Maria ASHIDA,,Formula Kite Fem.,28.0,G,52,,445.0,360.0,World Championship 2023,Race 1 Yellow,1
,,Dominika BRAUNOVA,,Formula Kite Fem.,21.0,G,40,,273.0,211.0,World Championship 2023,Race 1 Yellow,1
,,Sofia TOMASONI,,Formula Kite Fem.,6.0,G,19,,195.6,121.6,World Championship 2023,Race 1 Yellow,0
,,Alina KORNELLI,,Formula Kite Fem.,4.0,G,17,,170.0,116.0,World Championship 2023,Race 1 Yellow,0
,,Mariska WILDENBERG,,Formula Kite Fem.,14.0,G,37,,278.0,194.0,World Championship 2023,Race 1 Yellow,0
,,Elena LENGWILER,,Formula Kite Fem.,18.0,G,23,,217.0,145.0,World Championship 2023,Race 1 Yellow,0
,,Anais Mai DESJARDINS,,Formula Kite Fem.,13.0,G,35,,239.0,172.0,World Championship 2023,Race 1 Yellow,0
,,Lysa CAVAL,,Formula Kite Fem.,8.0,G,22,,195.0,130.0,World Championship 2023,Race 1 Yellow,0
,,Gal ZUKERMAN,,Formula Kite Fem.,2.0,G,13,,159.1,102.1,World Championship 2023,Race 1 Yellow,0
,,Lily YOUNG,,Formula Kite Fem.,28.0,G,3,,133.0,49.0,World Championship 2023,Race 1 Yellow,1
,,Madeleine ANDERSON,,Formula Kite Fem.,19.0,G,9,,129.0,83.0,World Championship 2023,Race 1 Yellow,1
,,Zoe BOUTANG,,Formula Kite Fem.,10.0,G,39,,271.0,202.0,World Championship 2023,Race 1 Yellow,0
,,Chloe REVIL,,Formula Kite Fem.,28.0,G,28,,185.0,114.0,World Championship 2023,Race 1 Yellow,1
,,Marie-Eve MAYRAND,,Formula Kite Fem.,20.0,G,45,,334.0,253.0,World Championship 2023,Race 1 Yellow,0
,,Izabela SATRJAN,,Formula Kite Fem.,7.0,G,27,,170.0,111.0,World Championship 2023,Race 1 Yellow,0
,,Lizeth LOAIZA,,Formula Kite Fem.,17.0,G,42,,308.0,230.0,World Championship 2023,Race 12 Yellow,0
