Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,COWLES/HUGHES,,470,33,G,55,,239,206,World Championship 2023,Race 3 Blue,1
,,LINCK DUARTE/BUSATO BARBACHAN,,470,14,G,32,,243,210,World Championship 2023,Race 3 Blue,0
,,SAMARZIJA/SCHEIDL,,470,28,G,62,,285,252,World Championship 2023,Race 3 Blue,0
,,HASSON/LASRY,,470,2,G,7,,131,98,World Championship 2023,Race 3 Blue,0
,,VADLAU/MAHR,,470,5,G,4,,112,93,World Championship 2023,Race 3 Blue,0
,,MERMOD/SIEGENTHALER,,470,19,G,12,,124,101,World Championship 2023,Race 3 Blue,0
,,DUARTE HADDAD/SWAN,,470,20,G,23,,183,157,World Championship 2023,Race 3 Blue,0
,,le CLECH/RETORNAZ,,470,13,G,30,,227,196,World Championship 2023,Race 3 Blue,0
,,LOFFLER/HOERR,,470,9,G,17,,161,134,World Championship 2023,Race 3 Blue,0
,,DONG/WANG,,470,15,G,27,,211,178,World Championship 2023,Race 3 Blue,0
,,BERTA/FESTO,,470,21,G,37,,131,105,World Championship 2023,Race 3 Blue,0
,,ISOZAKI/SEKI,,470,12,G,3,,112,91,World Championship 2023,Race 3 Blue,0
,,KONGARA/SHEKHAR,,470,33,G,56,,249,216,World Championship 2023,Race 3 Blue,1
,,MAS/RODRIGUEZ,,470,1,G,11,,121,99,World Championship 2023,Race 1 Yellow,0
,,PACAUD/de GENNES,,470,10,G,14,,142,113,World Championship 2023,Race 1 Yellow,0
,,DONG/WANG,,470,2,G,27,,211,178,World Championship 2023,Race 1 Yellow,0
,,COSTA/JOAO,,470,12,G,10,,140,116,World Championship 2023,Race 1 Yellow,0
,,KONGARA/SHEKHAR,,470,14,G,56,,249,216,World Championship 2023,Race 1 Yellow,0
,,DIESCH/MARKFORT,,470,18,G,8,,122,98,World Championship 2023,Race 1 Yellow,0
,,VERMA/SHARMA,,470,24,G,52,,218,190,World Championship 2023,Race 1 Yellow,0
,,LOFFLER/HOERR,,470,5,G,17,,161,134,World Championship 2023,Race 1 Yellow,0
,,XAMMAR HERNANDEZ/BRUGMAN CABOT,,470,7,G,2,,106,86,World Championship 2023,Race 1 Yellow,0
,,COWLES/HUGHES,,470,21,G,55,,239,206,World Championship 2023,Race 1 Yellow,0
,,LINCK DUARTE/BUSATO BARBACHAN,,470,23,G,32,,243,210,World Championship 2023,Race 1 Yellow,0
,,McNAY/DALLMAN-WEISS,,470,9,G,18,,161,135,World Championship 2023,Race 1 Yellow,0
,,DUARTE HADDAD/SWAN,,470,3,G,23,,183,157,World Championship 2023,Race 1 Yellow,0
,,DIAS FERREIRA DUQUE/MARTINS,,470,27,G,44,,183,151,World Championship 2023,Race 1 Yellow,0
,,LECOINTRE/MION,,470,33,G,20,,174,141,World Championship 2023,Race 1 Yellow,1
,,BALLESTER BOVER/WIZNER PEREZ-la FUENTE,,470,6,G,29,,215,182,World Championship 2023,Race 1 Yellow,0
,,RUIZ PONCE/GIL ROIG,,470,17,G,51,,219,187,World Championship 2023,Race 1 Yellow,0
,,NORDSTROM/BORNARTH,,470,15,G,21,,176,144,World Championship 2023,Race 1 Yellow,0
,,HEATHCOTE/GRUBE,,470,28,G,13,,142,112,World Championship 2023,Race 1 Yellow,0
,,KAMAN SHAH/NOOR JAMALI,,470,16,G,43,,178,149,World Championship 2023,Race 1 Yellow,0
,,PAWLOWSKA/SZLIJA,,470,4,G,46,,193,160,World Championship 2023,Race 1 Yellow,0
,,di SALLE/BELLICO,,470,22,G,41,,173,141,World Championship 2023,Race 1 Yellow,0
,,SPANAKI/SPANAKIS,,470,25,G,48,,211,178,World Championship 2023,Race 1 Yellow,0
,,LEIGH/ORR,,470,26,G,25,,191,161,World Championship 2023,Race 1 Yellow,0
