ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,SOFIA RENNA,4.0,IQFOIL Fem,11.0,0,G,43,0,392.0,268.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,KAROLINA LIPINSKA,4.0,IQFOIL Fem,31.0,0,G,44,0,377.0,268.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,JENNIE ROBERTS,4.0,IQFOIL Fem,21.0,0,G,45,0,380.0,273.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,LINA ERZEN,4.0,IQFOIL Fem,23.0,0,G,46,0,405.0,280.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,ZOFIA NOCETI-KLEPACKA,4.0,IQFOIL Fem,11.0,0,G,47,0,392.0,283.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,INGRID PUUSTA,4.0,IQFOIL Fem,23.0,0,G,48,0,377.0,288.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,DANAE PONTIFEX,4.0,IQFOIL Fem,19.0,0,G,49,0,394.0,289.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,JENNA GIBSON,4.0,IQFOIL Fem,7.0,0,G,50,0,433.0,295.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,SARA CHOLNOKY,4.0,IQFOIL Fem,27.0,0,G,51,0,421.0,299.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,ALISA ENGELMANN,4.0,IQFOIL Fem,19.0,0,G,52,0,402.0,301.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,HELENA WANSER,4.0,IQFOIL Fem,13.0,0,G,53,0,432.0,315.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,IULIIA KAVALERCHIK,4.0,IQFOIL Fem,19.0,0,G,54,0,436.0,317.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,RINA NIIJIMA,4.0,IQFOIL Fem,25.0,0,G,55,0,420.0,320.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,DILARA URALP,4.0,IQFOIL Fem,27.0,0,G,56,0,443.0,327.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,LUCY KENYON,4.0,IQFOIL Fem,23.0,0,G,57,0,438.0,331.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,INES BOUCHET,4.0,IQFOIL Fem,27.0,0,G,58,0,477.0,349.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,FIONA WYLDE,4.0,IQFOIL Fem,31.0,0,G,59,0,475.0,366.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,MERVE VATAN,4.0,IQFOIL Fem,27.0,0,G,60,0,499.0,376.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,LINDA OPRANDI,4.0,IQFOIL Fem,31.0,0,G,61,0,502.0,378.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,NATASA LAPPA,4.0,IQFOIL Fem,29.0,0,G,62,0,528.0,397.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,AYSE-ZEYNEP TURKOGLU,4.0,IQFOIL Fem,31.0,0,G,63,0,539.0,408.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,ELIF ERCAN,4.0,IQFOIL Fem,35.0,0,G,64,DNFs,560.0,422.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,MANON BERGER,4.0,IQFOIL Fem,33.0,0,G,65,0,548.0,423.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,ELENA SANDERA,4.0,IQFOIL Fem,29.0,0,G,66,0,562.0,424.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,GELLY SKARLATOU,4.0,IQFOIL Fem,35.0,0,G,67,DNFs,567.0,436.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,JUNNA WATANABE,4.0,IQFOIL Fem,35.0,0,G,68,DNFs,569.0,438.0,European Championship 2021 - Gold Fleet & Medal Race,R2
,,HELENE NOESMOEN,4.0,IQFOIL Fem,1.0,0,G,1,0,31.0,13.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,ISLAY WATSON,4.0,IQFOIL Fem,1.0,0,G,2,0,146.7,42.7,European Championship 2021 - Gold Fleet & Medal Race,R3
,,SHACHAR RESHEF,4.0,IQFOIL Fem,25.0,0,G,3,0,113.0,46.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,LUCIE BELBEOCH,4.0,IQFOIL Fem,5.0,0,G,4,0,85.0,52.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,SASKIA SILLS,4.0,IQFOIL Fem,15.0,0,G,5,0,108.0,52.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,PILAR LAMADRID TRUEBA,4.0,IQFOIL Fem,1.0,0,G,6,0,162.0,68.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,PALMA CARGO,4.0,IQFOIL Fem,3.0,0,G,7,0,113.6,80.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,NICOLE VAN DER VELDEN,4.0,IQFOIL Fem,5.0,0,G,8,0,118.0,81.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,MAJA DZIARNOWSKA,4.0,IQFOIL Fem,3.0,0,G,9,0,135.0,85.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,MAYA MORRIS,4.0,IQFOIL Fem,3.0,0,G,10,0,125.0,87.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,WENNEKES SARA,4.0,IQFOIL Fem,7.0,0,G,11,0,127.0,89.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,DANIELA PELEG,4.0,IQFOIL Fem,3.0,0,G,12,0,139.0,89.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,MARTA MAGGETTI,4.0,IQFOIL Fem,5.0,0,G,13,0,131.0,91.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,SHARON KANTOR,4.0,IQFOIL Fem,13.0,0,G,14,0,139.0,93.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,LOLA SORIN,4.0,IQFOIL Fem,19.0,1,G,15,0,138.0,100.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,MARIANA AGUILAR-CHAVEZ-PEON,4.0,IQFOIL Fem,15.0,0,G,16,0,145.2,105.2,European Championship 2021 - Gold Fleet & Medal Race,R3
,,HELLE OPPEDAL,4.0,IQFOIL Fem,7.0,0,G,17,0,153.5,105.5,European Championship 2021 - Gold Fleet & Medal Race,R3
,,NAAMA GAZIT,4.0,IQFOIL Fem,5.0,0,G,18,0,166.0,115.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,LENA ERDIL,4.0,IQFOIL Fem,21.0,0,G,19,0,190.0,130.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,MARION MORTEFON,4.0,IQFOIL Fem,9.0,0,G,20,0,192.0,133.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,MANON PIANAZZA,4.0,IQFOIL Fem,17.0,0,G,21,0,209.0,144.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,DELPHINE COUSIN,4.0,IQFOIL Fem,27.0,0,G,22,0,253.0,151.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,GIORGIA SPECIALE,4.0,IQFOIL Fem,11.0,0,G,23,0,228.0,153.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,ALICE READ,4.0,IQFOIL Fem,7.0,0,G,24,0,272.0,160.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,GIBSON ALYSIA,4.0,IQFOIL Fem,21.0,0,G,25,0,251.0,163.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,GIOVANNA PRADA,4.0,IQFOIL Fem,11.0,0,G,26,0,252.0,167.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,AMBAR PAPAZIAN,4.0,IQFOIL Fem,31.0,0,G,27,0,246.0,176.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,MARION COUTURIER,4.0,IQFOIL Fem,15.0,0,G,28,0,259.0,177.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,SHAHAR TIBI,4.0,IQFOIL Fem,23.0,0,G,29,0,248.0,181.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,KATERINA SVIKOVA,4.0,IQFOIL Fem,13.0,0,G,30,0,267.0,196.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,MINA MOBEKK,4.0,IQFOIL Fem,35.0,1,G,31,BFDs,277.0,204.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,NEEV ROBINSON,4.0,IQFOIL Fem,23.0,0,G,32,0,301.0,223.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,ODA SVERRE,4.0,IQFOIL Fem,9.0,0,G,33,0,308.0,225.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,ALEKSANDRA BLINNIKKA,4.0,IQFOIL Fem,7.0,0,G,34,0,319.0,225.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,THERESA MARIE STEINLEIN,4.0,IQFOIL Fem,11.0,0,G,35,0,304.0,227.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,BARBORA SVIKOVA,4.0,IQFOIL Fem,21.0,0,G,36,0,325.0,229.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,CATRIN WILLIAMS,4.0,IQFOIL Fem,35.0,0,G,37,DNFs,329.0,234.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,MIKA KAFRI,4.0,IQFOIL Fem,13.0,0,G,38,0,322.0,235.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,ANDREA TORRES FULLANA,4.0,IQFOIL Fem,23.0,0,G,39,0,325.0,237.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,LINOY GEVA,4.0,IQFOIL Fem,1.0,0,G,40,0,354.0,238.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,MAJA KUCHTA,4.0,IQFOIL Fem,29.0,0,G,41,0,334.0,245.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,ANNA KHVORIKOVA,4.0,IQFOIL Fem,17.0,0,G,42,0,372.0,265.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,SOFIA RENNA,4.0,IQFOIL Fem,27.0,0,G,43,0,392.0,268.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,KAROLINA LIPINSKA,4.0,IQFOIL Fem,19.0,0,G,44,0,377.0,268.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,JENNIE ROBERTS,4.0,IQFOIL Fem,17.0,0,G,45,0,380.0,273.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,LINA ERZEN,4.0,IQFOIL Fem,17.0,0,G,46,0,405.0,280.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,ZOFIA NOCETI-KLEPACKA,4.0,IQFOIL Fem,35.0,0,G,47,BFDs,392.0,283.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,INGRID PUUSTA,4.0,IQFOIL Fem,9.0,0,G,48,0,377.0,288.0,European Championship 2021 - Gold Fleet & Medal Race,R3
,,DANAE PONTIFEX,4.0,IQFOIL Fem,9.0,0,G,49,0,394.0,289.0,European Championship 2021 - Gold Fleet & Medal Race,R3
