ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,SANTIAGO GUINAND,3,Ilca 6,28,0,O,36,,211,177,Central and South American Championship 2023,Q2
,,AGNESE CAIAFA,3,Ilca 6,DNC,0,O,37,DNC,231,193,Central and South American Championship 2023,Q2
,,ROGER TORRES,3,Ilca 6,13,0,P,38,,126,88,Central and South American Championship 2023,Q2
,,BENJAMIN GALVAN,3,Ilca 6,17,0,P,39,,123,94,Central and South American Championship 2023,Q2
,,TOMAS BODETTO,3,Ilca 6,21,0,P,40,,127,101,Central and South American Championship 2023,Q2
,,MANUEL CADARSO,3,Ilca 6,14,0,P,41,,149,115,Central and South American Championship 2023,Q2
,,ANDRES FONTAN,3,Ilca 6,22,0,P,42,,138,116,Central and South American Championship 2023,Q2
,,SOFIA ALEJANDRA D'AGOSTINO,3,Ilca 6,14,0,P,43,,156,118,Central and South American Championship 2023,Q2
,,ANA CAROLINA TONNIGES ROTH,3,Ilca 6,26,0,P,44,,161,123,Central and South American Championship 2023,Q2
,,"EDUARDO ""EDY"" BRANZ",3,Ilca 6,DNC,0,P,45,DNC,165,127,Central and South American Championship 2023,Q2
,,HECTOR RENE DAVID,3,Ilca 6,DNC,0,P,46,DNC,167,129,Central and South American Championship 2023,Q2
,,DANTE VOLKER,3,Ilca 6,18,0,P,47,,155,129,Central and South American Championship 2023,Q2
,,FELIPE BLAS ALFARO,3,Ilca 6,DNC,0,P,48,DNC,182,144,Central and South American Championship 2023,Q2
,,BAUTISTA BECERRA,3,Ilca 6,DNC,0,P,49,DNC,184,146,Central and South American Championship 2023,Q2
,,MATTEO WALLAU,3,Ilca 6,16,0,P,50,,178,148,Central and South American Championship 2023,Q2
,,VERONICA JORDANA,3,Ilca 6,21,0,P,51,,187,149,Central and South American Championship 2023,Q2
,,AGUSTIN SAGUIR,3,Ilca 6,DNC,0,P,52,DNC,187,149,Central and South American Championship 2023,Q2
,,FEDERICO ISEM,3,Ilca 6,19,0,P,53,,188,160,Central and South American Championship 2023,Q2
,,IGNACIO FRIAS,3,Ilca 6,DNC,0,P,54,DNC,204,166,Central and South American Championship 2023,Q2
,,LIHUEL GOMEZ LACCHINI,3,Ilca 6,25,0,P,55,,212,174,Central and South American Championship 2023,Q2
,,JUAN BARTOLOME CHA VACCARI,3,Ilca 6,24,0,P,56,,210,176,Central and South American Championship 2023,Q2
,,JOSE LUIZ PEREZ FRAQUELLI,3,Ilca 6,DNC,0,P,57,DNC,220,182,Central and South American Championship 2023,Q2
,,MARLENE RIQUELME ANTONETTI,3,Ilca 6,DNC,0,P,58,DNC,220,182,Central and South American Championship 2023,Q2
,,IGNACIO GARCIA CANTELLI,3,Ilca 6,DNC,0,P,59,DNC,222,184,Central and South American Championship 2023,Q2
