Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
MUNCH ANNA,7,Ilca 6,19.0,G,27,0,282,216,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
AINSWORTH ELYSE,7,Ilca 6,24.0,G,28,0,271,220,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
ANDERSSOHN HANNAH CRIS,7,Ilca 6,49.0,G,29,0,277,228,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",1
ALBANO CAROLINA,7,Ilca 6,23.0,G,30,0,296,230,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
LULIC SANDRA,7,Ilca 6,38.0,G,31,0,293,240,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
DONERTAS NAZLI CAGLA,7,Ilca 6,30.0,G,32,0,306,240,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
CATTAROZZI FEDERICA,7,Ilca 6,9.0,G,33,0,305,254,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
HOPKINS AOIFE,7,Ilca 6,31.0,G,34,0,327,261,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
GOLEBIOWSKA WIKTORIA,7,Ilca 6,5.0,G,35,0,330,264,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
KUMANAN NETHRA,7,Ilca 6,35.0,G,36,0,320,269,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
GUZEL ECEM,7,Ilca 6,52.0,G,37,0,340,274,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
SAKELLARIS CHRISTINA,7,Ilca 6,34.0,G,38,0,345,283,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
GRAVELY CLARA,7,Ilca 6,53.0,G,39,0,351,293,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
PLETIKOS LIN,7,Ilca 6,29.0,G,40,0,370,310,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
BAUDET ROSINE,7,Ilca 6,46.0,G,41,0,379,313,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
VON ALLMEN ANJA,7,Ilca 6,43.0,G,42,0,377,321,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
REINO CAHO MARTINA,7,Ilca 6,33.0,G,43,0,393,327,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
SACKER MOLLY,7,Ilca 6,47.0,G,44,0,379,328,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
CHRISTIE OLIVIA,7,Ilca 6,66.0,G,45,DNF,397,331,Semaine Olympique Francaise De Voile 2022,"Ra.10
1",0
